,PCC,SSIM,JS,RMSE
SpaOTsc,1.0,0.8571428571428571,0.2857142857142857,1.0
SpaGE,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571
Seurat,0.7142857142857143,0.2857142857142857,1.0,0.7142857142857143
Tangram,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.5714285714285714
gimVI,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.42857142857142855
LIGER,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.2857142857142857
novoSpaRc,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
SpaGE,1.0,0.8571428571428571,0.42857142857142855,1.0
gimVI,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571
Seurat,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.7142857142857143
SpaOTsc,0.5714285714285714,0.14285714285714285,1.0,0.5714285714285714
Tangram,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.42857142857142855
LIGER,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
novoSpaRc,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.14285714285714285
SpaGE,1.0,1.0,0.6666666666666666,1.0
novoSpaRc,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334
SpaOTsc,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666
Tangram,0.5,0.3333333333333333,0.5,0.5
LIGER,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333
Seurat,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
gimVI,1.0,0.8571428571428571,1.0,1.0
SpaGE,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571
Tangram,0.7142857142857143,1.0,0.8571428571428571,0.7142857142857143
Seurat,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
LIGER,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.42857142857142855
novoSpaRc,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857
SpaOTsc,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285
SpaGE,1.0,0.8571428571428571,0.8571428571428571,1.0
Seurat,0.8571428571428571,1.0,0.42857142857142855,0.8571428571428571
SpaOTsc,0.7142857142857143,0.2857142857142857,1.0,0.7142857142857143
LIGER,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.5714285714285714
Tangram,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.42857142857142855
gimVI,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.2857142857142857
novoSpaRc,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.14285714285714285
gimVI,1.0,1.0,1.0,1.0
SpaGE,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.8571428571428571
Tangram,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.7142857142857143
novoSpaRc,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714
Seurat,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.42857142857142855
LIGER,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.14285714285714285
SpaOTsc,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.2857142857142857
gimVI,1.0,0.7142857142857143,1.0,1.0
SpaGE,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571
Tangram,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143
Seurat,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.5714285714285714
LIGER,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.42857142857142855
SpaOTsc,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.2857142857142857
novoSpaRc,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285
gimVI,1.0,1.0,1.0,1.0
SpaGE,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.8571428571428571
SpaOTsc,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.7142857142857143
Tangram,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.5714285714285714
LIGER,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.42857142857142855
novoSpaRc,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.2857142857142857
Seurat,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.14285714285714285
