	PCC	SSIM	RMSE	JS
Gad2	0.1316815373233353	0.12295511405480584	1.3178152091068482	0.2797231785182079
Slc32a1	0.2882220013022944	0.08659833748415993	1.1931286591962376	0.32010788476604096
Crhbp	0.015341326174488834	0.0661668498999691	1.4033236788606627	0.5441261247355322
Cnr1	0.14130950924364144	0.02986781103692158	1.3104888330362512	0.1907342777826013
Vip	0.3548805224361318	0.139002865285064	1.1358868584184496	0.34474411555866824
Cpne5	0.21836983890221318	0.027521558417796844	1.2503040918894783	0.22164161437533303
Pthlh	0.027063218813505867	0.03793150533441286	1.3949457202246223	0.4515214793234685
Crh	0.09987486784828879	0.1563850736610272	1.3417340512573366	0.4172370820926127
Tbr1	0.26753285911778524	0.06778844387238447	1.2103446954336725	0.15579075646233786
Lamp5	0.04909446877097665	0.04839928580732255	1.3790616601363563	0.2355006988017914
Rorb	0.33729589642860225	0.12716498648470373	1.1512637435196147	0.25112159216344027
Syt6	-0.10377515710752941	-0.020591658193454855	1.4857827277953737	0.35963774788955993
Kcnip2	0.2481181576654362	0.11333658203204933	1.2262804266027922	0.13430194605681367
Aldoc	0.10472514264076246	0.058243920647001096	1.3381142382915125	0.22393066903981243
Gfap	0.11991122581948008	0.009443557622366225	1.326716830510958	0.4494779073949935
Serpinf1	0.22777856043181702	0.167768493585267	1.2427561623811678	0.34687952138106715
Mfge8	0.14996935345077922	0.05537000086366038	1.303863985658951	0.33862411552329963
Sox10	0.4024294804884033	0.1726424071862155	1.0932250632981237	0.3111565398908139
Plp1	0.30624400573761246	0.06579318725923393	1.1779269877733405	0.32083396979660933
Pdgfra	0.13688854262425915	0.04049241040942679	1.3138580268626778	0.38484286407348844
Bmp4	0.011279832856302704	0.010349682883061002	1.4062148961973948	0.520198155665788
Itpr2	0.1346211547290871	0.01436937486675668	1.3155826429920052	0.3403189280998744
Tmem2	0.04052777063165404	0.03882357594691086	1.385259708046361	0.2959937849011174
Ctps	0.1893736302834354	0.08580550066073878	1.273284233560254	0.08827867921883348
Anln	0.25290341924742016	0.13970848686136597	1.222371940738642	0.2980142190526295
Mrc1	0.026956773493393614	0.029942368116931118	1.3950220259957233	0.548576812383158
Hexb	0.03642030581899158	0.011252594433941549	1.3882216639867067	0.16319428785937268
Ttr	-0.06003773189873901	-0.00427510695691435	1.4560478919999404	0.27152157276601796
Foxj1	0.24734021987276844	0.1708080786382243	1.2269146507620137	0.41042679715945335
Vtn	0.30981250473176536	0.09405965279938663	1.1748936081775523	0.3350919781068197
Flt1	0.17676331101082823	0.07596618438395779	1.2831497878183762	0.5053642912666501
Apln	0.02460814953750774	0.007176493185813815	1.39670458613301	0.3240066288135756
Acta2	0.1143093901706537	0.033457580907867934	1.330932462470841	0.4444673210170987
