	PCC	SSIM	RMSE	JS
Gad2	0.14025047843283328	0.16225618957708304	1.311296702937339	0.3267464067254582
Slc32a1	0.26625882862858874	0.13654859278643613	1.211396856006652	0.33584004051788874
Crhbp	0.14764141216685966	0.21551130281152775	1.3056481821939123	0.4748273216360795
Cnr1	0.2395002224330991	0.272058389538455	1.2332881071079076	0.2132631529800429
Vip	0.4326262081394639	0.3674692981706662	1.0652453162164428	0.3824746636104882
Cpne5	0.3786338876609725	0.15165999157204815	1.1147790026180344	0.18326340088630066
Pthlh	0.3580415973548288	0.2882734279414319	1.133100527442442	0.39197634950544824
Crh	0.4098967241005055	0.35467909627695104	1.0863731181316056	0.3988682047239779
Tbr1	0.4122676485718407	0.20110528955205534	1.084188499688278	0.08750486489517081
Lamp5	0.118624810263846	0.10398561594418435	1.3276860997511053	0.1964081137511996
Rorb	0.49899106471856736	0.40531107527406873	1.0010084268191097	0.198181594221987
Syt6	0.3920524797090842	0.4103900167606208	1.1026763081620252	0.26629757602679344
Kcnip2	0.350491192637046	0.31330921767098246	1.1397445392393457	0.11447469679337444
Aldoc	0.17305625397442181	0.17448244214185285	1.2860355718451797	0.21675857857926079
Gfap	0.06181609078507286	0.16971822336614295	1.3698057593797175	0.5529197551453855
Serpinf1	0.17505445711622714	0.07280783191974484	1.2844808623594004	0.5000738393437572
Mfge8	0.12898924223284106	0.10849485878144258	1.3198566268857832	0.4843346657519902
Sox10	0.5813835955826585	0.2801720457716476	0.9150042671128332	0.36041443403205786
Plp1	0.5410186937708228	0.4697483321300279	0.958103654339317	0.37549091167791826
Pdgfra	0.1223660123354009	0.1045300010261498	1.3248652668589418	0.5234811536998186
Bmp4	0.058868336394780285	0.12678392652974696	1.3719560223310043	0.5359547236015998
Itpr2	0.1712919184386122	0.14486683339740114	1.2874067590015126	0.4059198390984479
Tmem2	0.1547233170612769	0.2583971334475149	1.3002128156103707	0.25286829084027385
Ctps	0.35667836658071095	0.41386361799969007	1.1343029872298573	0.07803150263632731
Anln	0.2241912203570905	0.18574139530577044	1.24563941784362	0.40039144541121735
Mrc1	-0.013752967365986767	0.03426544420892273	1.423905170554548	0.2278744606082602
Hexb	0.059212569655245295	0.09525662945363414	1.371705092463211	0.15901926287319396
Ttr	0.006370352837993854	0.05038561496187295	1.4097018458965063	0.31714478145907843
Foxj1	0.2644011596949217	0.2602184307135776	1.2129293798940535	0.42328356732926026
Vtn	0.21973950606263654	0.20352710910753832	1.2492081443357352	0.4959810652244982
Flt1	0.16291998876511762	0.2485890035053145	1.2938933582292464	0.5078279934177901
Apln	0.02471287868057929	0.0536693379776925	1.3966296010892956	0.47236570845270776
Acta2	0.11165765909121562	0.09865310897886677	1.3329233593187457	0.5680558283610884
