	PCC	SSIM	RMSE	JS
Gad2	0.1943835273315609	0.19451720395088326	1.2693435095894547	0.3265933418586917
Slc32a1	0.2721167502945133	0.10128458416054929	1.2065514905759227	0.33057029873244154
Crhbp	0.10157620173311714	0.1898069699991252	1.3404654402608738	0.4615726035249418
Cnr1	0.2533364973722131	0.129311680657178	1.2220175961317319	0.22277730236737459
Vip	0.43073932993954145	0.3211935074269033	1.067015154588218	0.38824377443308056
Cpne5	0.3416048158546624	0.08128633144074288	1.1475148662612948	0.18965564459358839
Pthlh	0.3772940868185154	0.3133747309540079	1.1159802087685111	0.3617044550175905
Crh	0.39813646046725043	0.36137655914362266	1.0971449672060187	0.3830141774205471
Tbr1	0.4680319834651785	0.17255965430373493	1.0314727495526215	0.08376313622366904
Lamp5	0.2149033195202696	0.1666625062496713	1.2530735656614334	0.17983287786046653
Rorb	0.5839062149321215	0.4118841825886657	0.9122431529673194	0.1818625518754678
Syt6	0.46931104473791485	0.29967796406061403	1.030231969278847	0.23540816950906987
Kcnip2	0.4384775102179081	0.3358985292837022	1.059738165569299	0.09379464645676404
Aldoc	0.2357592142288011	0.23132484646114176	1.2363177469980755	0.1720363333399047
Gfap	0.10709615671302398	0.09089689275199749	1.3363411565068093	0.49593990741043803
Serpinf1	0.22051530361704627	0.19968795984789262	1.2485869584317786	0.41943184394778676
Mfge8	0.1877219375502172	0.1935270891346002	1.2745807643690403	0.41716748521874925
Sox10	0.5910370214166836	0.47272494987662733	0.9043925901767642	0.33334233402792657
Plp1	0.5829273081868933	0.5272165394996691	0.9133155991365811	0.3406756005129603
Pdgfra	0.2068163549066584	0.22106373023384648	1.2595107344467817	0.44034456286142
Bmp4	0.07693494629887904	0.18565010863659923	1.358723705321339	0.5020149073201162
Itpr2	0.2786549496364677	0.09015765862807226	1.2011203523074028	0.32279405544736706
Tmem2	0.12215572373349778	0.03671804343625149	1.3250239818708958	0.19133304323305
Ctps	0.37471295749645767	0.12060223757926443	1.118290697898845	0.06453095320525659
Anln	0.3371783764208337	0.31074475361919657	1.1513658181300757	0.29829277747124655
Mrc1	0.041807589013093546	0.03923986663020154	1.3843355164026576	0.5692833284802636
Hexb	0.15265081119138135	0.0364584662393226	1.301805814097186	0.14029984526719416
Ttr	-0.012146208187843014	0.06427498566313504	1.4227763058104699	0.28636979490566905
Foxj1	0.2992219557784648	0.2673289820647837	1.1838733413854186	0.3765287000858802
Vtn	0.4381208141588494	0.43924326671511005	1.0600747009915377	0.40597869401221093
Flt1	0.2906410552626931	0.2484806253899931	1.1910994456696744	0.46253023705993324
Apln	0.12061705278377778	0.13532017592059922	1.3261847135419882	0.39472034292036495
Acta2	0.14572169887805192	0.11415884130055608	1.307117669624237	0.5606432901658585
