	PCC	SSIM	RMSE	JS
Gad2	0.21512832240397115	0.21726778874372346	1.2528939920009408	0.21668936549980672
Slc32a1	0.20639728694824155	0.1355581386220487	1.2598434133270355	0.31284972143171264
Crhbp	0.14848877936246563	0.08531024553541354	1.30499901964525	0.3936801886194532
Cnr1	0.2826113215860231	0.1472757486186736	1.1978219220017436	0.15626155685438897
Vip	0.3889353792337775	0.33362805362428133	1.1054995438861333	0.2540131949651667
Cpne5	0.2773963497375336	0.05075309889658032	1.202167750575989	0.19985562495440826
Pthlh	0.2503042176130363	0.0510840309553124	1.2244964535571046	0.32141288827983855
Crh	0.27566548261666207	0.08841564491799422	1.2036066777675658	0.29959869180607823
Tbr1	0.28590281486399954	0.08081283119078703	1.195070864121454	0.0788140705186269
Lamp5	0.2799461722726262	0.10670010290179416	1.2000448556011332	0.1659159964423727
Rorb	0.3192582384076814	0.10049063320433976	1.1668262609251798	0.2395836539131327
Syt6	0.06814605868502838	0.016060356646250065	1.3651768686254329	0.29850074648330505
Kcnip2	0.1831032734185283	0.07410885638351293	1.2781993010336634	0.1152666197001179
Aldoc	0.2336279926917405	0.2440193193209409	1.2380403929664505	0.1336074221895267
Gfap	0.2200231215390575	0.2886346407265552	1.2489810874956773	0.26715811131556855
Serpinf1	0.29355781632797695	0.17661875330932308	1.1886481259582449	0.24596013475700154
Mfge8	0.15837824249213195	0.12212612607377149	1.2973987494273826	0.3307937153206437
Sox10	0.41125209065125945	0.3054870231432512	1.0851247940663242	0.17957112155775573
Plp1	0.4664259989884898	0.48889901169598804	1.033028558183665	0.19424930070098098
Pdgfra	0.11606658366949402	0.05367545430397835	1.3296115344945734	0.37053008044067803
Bmp4	0.054930759338610316	0.031560606443839734	1.3748230727343718	0.4215530237162035
Itpr2	0.2214170854351535	0.36052157979151506	1.247864507520626	0.24616684475021905
Tmem2	0.10065493132643184	0.06281239802367392	1.3411525406705747	0.141585423213139
Ctps	0.16505885729108716	0.07108961301268661	1.2922392523901387	0.07439386083316113
Anln	0.18394983124873135	0.20666087692046917	1.277536824323484	0.15453737012528132
Mrc1	0.06128822635133956	0.018131047412413257	1.3701910623330307	0.46568091801304107
Hexb	0.03490080079612466	0.061810552407991784	1.3893158022594256	0.14815163549478125
Ttr	0.030409764635479584	0.059699212710357705	1.3925446027790434	0.1988577949244914
Foxj1	0.1255223068328772	0.20071355460613438	1.3224807697408105	0.2326141110080153
Vtn	0.4307243626675816	0.1715622332962425	1.0670291817306767	0.35571512657588794
Flt1	0.20434477775954252	0.26682349996378224	1.261471539306739	0.43147919426323655
Apln	0.043455478860012456	0.11755312749709286	1.3831446208838678	0.18769511724918533
Acta2	0.19589047666618623	0.15849573258840707	1.2681557659324143	0.4480311741210032
