	PCC	SSIM	RMSE	JS
Gad2	0.23338926819999656	0.19086634418324008	1.2382332024299807	0.2586200540091437
Slc32a1	0.26596988559242707	0.2998721903049413	1.21163535307251	0.30795126552989244
Crhbp	0.07848231311762308	0.14382854707554407	1.3575843891871915	0.5044603120150046
Cnr1	0.22687437143759542	0.3239288641579868	1.2434835170298029	0.1819688181872844
Vip	0.3278634903321801	0.3597592873924834	1.1594278844911576	0.21986599467291784
Cpne5	0.2440978553533526	0.2589666129780676	1.2295545084677177	0.21026386782752465
Pthlh	0.23341456314854098	0.3553375698995423	1.2382127740024804	0.3316041912670729
Crh	0.25449100756641285	0.34196249520803146	1.221072473224739	0.3423315627158841
Tbr1	0.27283017949968796	0.31502842650690355	1.2059600495043894	0.09502415380327559
Lamp5	0.17367101608208854	0.18765227348173477	1.2855574541170156	0.19248186377079782
Rorb	0.3701286941442325	0.381214610482656	1.122382560320471	0.22388372607021323
Syt6	0.19447364489776314	0.23728868874858652	1.2692725121913258	0.3047238597777745
Kcnip2	0.3043315463918608	0.3258663575850883	1.1795494509414504	0.12549309217302865
Aldoc	0.08838855812462881	0.049411901155769995	1.3502677081789145	0.18783951760276513
Gfap	0.0006711202747593402	0.0824988849414411	1.413738929028441	0.5171958386623954
Serpinf1	0.06951268247637843	0.02222939280029412	1.3641754414470462	0.3764280736605099
Mfge8	0.31820117096216805	0.08883148010443445	1.1677318433937078	0.31351207520474783
Sox10	0.37760597803466506	0.05403063656850447	1.115700696392483	0.3112422682174755
Plp1	0.3211641055882335	0.1340223867950212	1.1651917390813968	0.22478740598422559
Pdgfra	0.03314609337767052	0.015156317623485167	1.3905782298183234	0.40505477477198576
Bmp4	0.009804179498859353	0.18257986005383614	1.4072638846365255	0.5476069135177646
Itpr2	0.08233515256573629	0.21256538951876555	1.3547434055453196	0.33098962415355593
Tmem2	0.02904282248430474	0.2643713226466525	1.3935258716763732	0.248221981760832
Ctps	0.23142269748548644	0.23220919903622772	1.239820392246002	0.08978571571996544
Anln	0.011767338616847908	0.019666328096413485	1.4058681740356391	0.4159414050286101
Mrc1	0.11192727545310865	0.0175881318982922	1.3327210695017102	0.4494743127728331
Hexb	0.0824539545072084	0.08504900496600068	1.3546557093909806	0.16916101659839552
Ttr	-0.012228029672469063	0.034736753556206465	1.4228338129749853	0.40320667327029464
Foxj1	0.07805701775941463	0.06146507632012247	1.3578976266571685	0.41200549934869
Vtn	0.10298799968605088	0.02736194651626911	1.3394118114410902	0.33185112816416584
Flt1	0.16780325593445256	0.13223062162690186	1.2901137500744244	0.536085270908357
Apln	0.014002923642968462	0.025362174256403525	1.4042770925690073	0.4302576899536882
Acta2	0.3115266225631121	0.19052585283494122	1.173433745412912	0.365705433333672
