	PCC	SSIM	RMSE	JS
Gad2	0.07222096957291713	0.09299514248171155	1.3621887023662207	0.2800793859445503
Slc32a1	0.21421643658619016	0.19657810555971827	1.2536216043238968	0.3243627653191715
Crhbp	0.0428142235995735	0.12485908599960724	1.3836081644746308	0.43118914867880814
Cnr1	0.28780730209843086	0.20554784749173938	1.1934761814980388	0.15351574621304157
Vip	0.19090810391064	0.14150753021864898	1.2720785322371884	0.34814517513738463
Cpne5	0.285237323837105	0.33393393904297713	1.195627597676547	0.19368893776638096
Pthlh	0.24327567231308905	0.14694972154705913	1.2302230104228342	0.28660088377559356
Crh	0.1392813184561354	0.24789722196145078	1.3120355799625747	0.3309257660448919
Tbr1	0.2193022296067731	0.2644937323956398	1.2495581382178482	0.09853499191958093
Lamp5	0.36414589560055743	0.3396937049563666	1.1277004073772818	0.18376878979065792
Rorb	0.502299998019655	0.48881072948460313	0.9976973508838689	0.1863328321154331
Syt6	0.09188000569771355	0.143330175190726	1.3476794828907124	0.3039626042637511
Kcnip2	0.4215815812341725	0.44051869248789916	1.075563497675361	0.10404895191175667
Aldoc	0.32876879256602193	0.29915553558104896	1.1586468033304864	0.1473044506628321
Gfap	0.2867815927001934	0.1272404774262196	1.1943353024170442	0.2647354668241987
Serpinf1	0.29590705336509404	0.32576480458737744	1.1866700861106296	0.13075307235524902
Mfge8	0.2965859936623231	0.3414940203052797	1.1860978090677663	0.17433324924259036
Sox10	0.2051071927226133	0.19561037649506174	1.2608670090674794	0.21589149568251897
Plp1	0.20177845994141322	0.09833132827998196	1.2635042857533851	0.3004838556848626
Pdgfra	0.26331477984679763	0.23865904653101144	1.2138247156432458	0.23022100789019123
Bmp4	0.2806275253334934	0.2084215106393935	1.1994769482291086	0.3544401609680888
Itpr2	0.3515035758083603	0.1385055397542334	1.138855938379951	0.1960118824505716
Tmem2	0.1910890462955307	0.09336372520450792	1.271936282762994	0.16722559681547308
Ctps	0.516340605162056	0.3280891709002503	0.9835236599471752	0.051378076695882964
Anln	0.09887803041451343	0.11683571936132069	1.3424767927867416	0.16636154175088752
Mrc1	0.1535555440857056	0.1984461246577611	1.3011106454981411	0.15234577355090428
Hexb	0.20307094759997463	0.1370983292681049	1.2624809324500892	0.14488791938356488
Ttr	0.19577510173112656	0.12496617425509628	1.2682467411894836	0.2936162685069633
Foxj1	0.32899143968452216	0.34980551982962044	1.158454626056176	0.22177997004809874
Vtn	0.41327268129532546	0.40907650292190156	1.0832611122944238	0.20033322777684556
Flt1	0.20383863395144944	0.16403066318818177	1.2618727083573453	0.4393798807618561
Apln	0.1613939721629661	0.22009769351042996	1.2950722202541713	0.18345791180606202
Acta2	0.2980369349628282	0.2074553602039742	1.1848738878354719	0.29987264694455473
