	PCC	SSIM	RMSE	JS
Gad2	0.09178880589912583	0.10991451333915457	1.3477471529191771	0.23254386172987476
Slc32a1	0.1177353382510389	0.07104927699556352	1.328355872309044	0.3509039982321793
Crhbp	-0.0011358570288193398	0.012169179992337376	1.4150165066378684	0.4395031512715344
Cnr1	0.17447779431627972	0.21352801440822142	1.2849297301282432	0.15340460500194347
Vip	0.26977071175769307	0.3564759635120387	1.208494342760698	0.20120935102964504
Cpne5	0.244382163770366	0.03254826478111379	1.2293232579184652	0.19997765730224903
Pthlh	0.41320731406929484	0.24002920602117972	1.0833214536144897	0.3111696210483088
Crh	0.29643605522701755	0.3827036554743233	1.1862242155452603	0.3194459830668999
Tbr1	0.025722182458894613	0.011802612087556093	1.3959067429746919	0.09065987109005177
Lamp5	0.06392285810175094	0.0438495892726481	1.368266890557723	0.18263913322405195
Rorb	0.16807695738904238	0.032356509657137295	1.2899015796648647	0.2532529889147018
Syt6	0.02177268713453369	0.014390491788061866	1.398733221787104	0.30129211067933637
Kcnip2	0.08338823195796866	0.026736607534806417	1.3539658548442284	0.12246646501665338
Aldoc	0.22306627296164172	0.21133004957791104	1.2465421990757932	0.13279641567115386
Gfap	0.07877927517845357	0.005863463323290917	1.3573656285773164	0.2898572889453733
Serpinf1	0.2122700295158545	0.17421584079986496	1.2551732712929689	0.13650945750352161
Mfge8	0.12243787069452952	0.03954825243102914	1.3248110275095621	0.2266688707692565
Sox10	0.38771077694312217	0.0886027393175737	1.1066067260385481	0.27315958931296247
Plp1	0.02058901896511876	0.008551403431217117	1.3995792089302286	0.2437926708506282
Pdgfra	0.1741357432756464	0.20754792137666114	1.285195904696522	0.2534729466039407
Bmp4	-0.004941372232491439	0.1670889241789955	1.4177033344338945	0.43922267322353803
Itpr2	0.15490091425366495	0.1858620018484027	1.3000762175705969	0.2214875105823833
Tmem2	0.09925610024879433	0.11512315341407243	1.3421951421095262	0.1370519813207502
Ctps	0.2790255959081309	0.4045823580090024	1.2008117288666609	0.0729837446857298
Anln	0.06163929232825831	0.09073252149486158	1.3699348215676115	0.15348964966920814
Mrc1	0.039758587192201045	0.07752144977860646	1.3858148597902955	0.23747429254139227
Hexb	-0.06493103537532652	0.06258471642875106	1.4594046973854287	0.1502508806683331
Ttr	-0.025607044926244944	0.009953539169341122	1.4322060221394448	0.20058750639282855
Foxj1	0.0753007134162808	0.0584726034265477	1.3599259440011582	0.2510859359869325
Vtn	0.0776292853270987	0.06228129888472806	1.3582125862124108	0.2692957702533727
Flt1	0.01782009806194092	0.09549039123155365	1.4015562078904005	0.5715826213943189
Apln	0.0032210145958957454	0.03522207158614856	1.4119341241036034	0.20743446809384275
Acta2	0.2626522438251021	0.16408519245456119	1.2143704180972945	0.1690753557520422
