,Gad2,Slc32a1,Crhbp,Flt1,Cnr1,Vip,Cpne5,Apln,Pthlh,Crh,Tbr1,Acta2,Lamp5,Rorb,Syt6,Kcnip2,Aldoc,Gfap,Serpinf1,Mfge8,Sox10,Plp1,Pdgfra,Bmp4,Itpr2,Tmem2,Ctps,Anln,Mrc1,Hexb,Ttr,Foxj1,Vtn
0,73.32695,2.5564518,2.3278165,0.114295185,1603.4459,1183.948,192.34352,0.03146965,62.608265,369.7571,192.85008,1.4892243,693.5468,40.96461,1.8660148,130.7801,161.0459,0.009910009,0.59235,0.42225873,1.0182146,144.37154,11.928538,1.6185079,0.29866868,1.3698723,142.18938,0.08145937,0.008508538,166.11548,0.90386456,0.19346377,1.6183131
1,305.62524,43.436417,2.8907282,0.06730218,946.91565,276.78223,16.39149,0.018025432,92.077576,254.23401,71.53264,0.76157635,4115.7812,510.372,1.7339276,75.07283,358.64636,0.009912565,37.211838,5.104458,0.30836204,270.6812,0.088025115,14.860768,0.48146558,15.540705,203.66382,0.65192944,0.11992368,207.91414,0.0016686782,0.014677144,2.639123
2,1184.8645,28.48376,1.5617458,0.06612796,3045.0144,6329.001,28.98969,0.032674424,467.4441,491.72885,56.610813,2.4875925,457.23468,10.4787245,51.415733,155.52742,802.65717,0.012852225,5.748289,15.985787,0.31440246,270.4178,14.933806,40.13219,1.0658538,2.6984992,141.96446,0.12473806,0.054206554,177.1438,0.054945532,0.07283238,0.60317624
3,270.93274,11.644739,1.783083,0.06423585,1000.21326,8488.361,112.38585,0.04033276,265.6602,141.53802,248.48315,21.635983,2382.237,181.03839,15.6105385,173.12605,446.7726,0.009818221,36.29501,1.9501759,0.12787984,234.89442,0.26493514,3.8019521,3.4871576,3.3437989,452.14142,0.22629182,2.909901,282.54614,0.003811154,0.4774727,0.9998079
4,1217.3234,46.070004,4.29132,0.1459561,583.11615,2415.6646,73.36175,0.046438385,39.961887,438.83505,89.38358,8.826759,535.10236,67.30299,29.430252,105.4981,25.850233,0.5263556,5.8030066,2.290358,0.19716857,164.43617,0.08297944,4.7785554,5.646959,2.4788988,67.66111,0.45537755,0.18163866,20.590656,0.2211144,0.02452934,3.3043122
5,497.27393,38.669525,21.647148,0.06728845,17017.004,8933.321,50.06093,0.018666998,42.8468,80.22149,10.308107,26.942,2583.0857,6.452307,3.5526416,81.122215,2073.255,0.0074273003,1767.0812,1.8686606,0.39820984,22.293056,0.05829432,3.603983,1.8257077,0.43576336,281.6197,7.92019,0.009625372,92.05116,0.0037062755,0.015771955,1.5991552
6,574.7358,69.48244,0.29585007,0.043385625,456.47208,7073.6436,154.13986,0.43927792,318.84192,393.7273,176.43727,1.729153,2619.4736,396.09628,10.6175785,80.938736,150.74983,0.048934996,57.400146,6.1861773,0.18136077,56.047165,2.158298,3.2067719,0.29485857,18.158215,117.31972,1.5900013,0.041766483,40.967934,0.046276372,0.01979681,1.3422468
7,113.47068,5.864785,0.5115024,0.082525425,1075.2267,554.474,102.53801,0.047200717,127.477394,1219.1633,80.189514,16.093163,1064.2426,16.366926,18.383194,356.80814,647.101,0.0082625635,45.79424,2.916458,0.2043306,106.483986,0.24904013,12.606656,0.7490216,19.630116,93.9895,8.304798,0.066709384,58.61314,0.071377695,0.12810071,13.406764
8,274.87173,9.313787,1.9444252,0.051979307,1233.7876,1786.2332,39.977016,0.018178249,265.04474,485.4962,96.76394,2.2794323,1753.0361,111.01843,3.2983363,12.2234125,213.98816,0.007528493,44.238247,7.291526,0.41310057,75.023155,23.682884,1.6552564,5.1962047,26.04674,154.04117,1.3232819,0.009475025,100.23253,0.0039750175,0.15260008,1.1063788
9,323.9784,17.5442,1076.2997,0.24841808,3496.3171,8491.707,26.868925,0.0144873075,23.747742,5516.0273,56.029438,2.0668786,5326.999,24.855085,301.3277,87.94903,93.40501,0.0075226277,288.05893,69.57581,1.7170285,321.49033,10.115197,0.952689,3.4629555,2.1803172,255.4003,26.08349,0.51775086,304.9297,0.0055342996,0.010818963,2.284927
