,Gad2,Slc32a1,Crhbp,Flt1,Cnr1,Vip,Cpne5,Apln,Pthlh,Crh,Tbr1,Acta2,Lamp5,Rorb,Syt6,Kcnip2,Aldoc,Gfap,Serpinf1,Mfge8,Sox10,Plp1,Pdgfra,Bmp4,Itpr2,Tmem2,Ctps,Anln,Mrc1,Hexb,Ttr,Foxj1,Vtn
0,6.591253,6.637381,4.9400206,2.653867,62.404312,3.4848762,12.327851,9.62316,3.4736059,3.3783534,68.5096,0.3162949,174.71434,7.1114454,4.0160832,5.873938,13.742331,1.7242525,6.8168993,3.275998,6.6721187,2.7308161,3.0764222,5.664975,6.047104,1.1879228,27.017706,6.1589994,3.6090505,26.309195,2.105847,2.185547,3.2255728
1,3.9079022,4.904324,4.439929,2.0872438,60.95758,15.998939,2.7827256,11.189576,5.8012886,5.199867,97.9386,1.7489164,83.387505,8.469154,1.3882624,1.7647568,4.9479103,2.1104934,7.032456,3.624909,6.799759,1.9964391,2.4404356,3.7560372,2.191572,0.5754061,10.684614,3.823642,4.877439,14.38657,4.8363166,4.6344023,9.037066
2,4.455521,3.5933433,6.876658,1.4429923,106.99031,28.724138,5.7810283,14.132905,6.323624,7.300695,114.412506,0.94252837,43.793083,2.7337284,1.4237686,1.2408824,4.7315936,2.3932595,8.729653,4.6943893,10.388146,0.55958724,2.0142643,3.8284762,3.5642729,0.4944986,10.229646,5.021847,5.586589,15.212451,11.936017,5.0569816,9.350788
3,2.181899,3.703708,2.208367,2.1633677,97.57091,13.382463,15.320935,19.061283,5.2987046,8.375077,67.83199,0.7578771,152.647,6.787032,3.0078344,7.1223526,30.959621,2.872542,7.862318,4.3682604,12.075738,1.5477,4.147627,4.390257,5.542448,0.6359009,25.18812,6.5984488,6.4500747,29.482168,5.0596676,4.332226,5.966614
4,5.223083,1.3154864,0.630016,0.6627632,25.49819,1.5831864,4.6171155,1.8282949,1.1996565,2.4637995,4.949046,0.57845724,1.4633317,0.44973207,0.5001538,3.6280758,1.0151901,0.56904685,1.9158771,1.0769582,1.1174567,0.26608753,0.76032495,1.6830997,0.70552754,0.3576623,6.44476,0.94124275,0.60016674,1.6090347,0.58699584,0.85108376,0.6999743
5,3.0931652,4.329193,1.795252,1.2935816,179.58165,2.4821718,44.834003,14.067354,2.54633,4.119926,48.439865,0.61271787,163.6271,0.9663939,3.4471245,9.446655,6.67027,1.0725366,8.856845,3.3917756,9.213928,2.956088,2.3768647,5.1716986,3.3224697,0.3629716,25.086246,7.672508,5.2799544,20.171488,5.6159906,4.189498,3.8091528
6,3.08552,2.8076775,2.3665276,1.667173,42.872013,10.303022,4.2496624,6.864175,3.2885728,5.2884226,46.48553,0.60893345,43.670696,5.6866918,1.2429645,2.6115103,15.471431,1.9060484,4.2528563,2.1974387,5.33672,1.0907274,2.1648486,5.3321586,1.7976754,0.43621695,7.511515,3.5379035,2.5604742,12.427023,2.5596814,3.4211793,6.3296556
7,1.4153159,0.9093363,0.45253247,0.9816586,45.674953,7.8827596,6.3118253,2.365871,1.1379673,4.4778643,8.352984,0.27101952,19.480356,1.015177,1.1481541,5.1871743,3.7447429,0.86616665,2.6912699,0.9285444,2.5549753,0.28290886,0.7903423,2.9183383,0.5578708,0.09815619,4.6572995,1.3952857,0.75534296,4.3251066,1.5938953,2.226565,2.0381691
8,4.281816,3.0578291,3.3195443,1.3614417,43.931435,14.789181,3.803711,9.095679,5.561549,13.097572,60.5093,1.5363685,12.490068,4.911414,0.97118264,1.3255416,23.870054,1.6665385,3.8987255,2.3398993,5.376679,0.8109914,1.989253,4.0212584,1.6590291,0.46332914,6.7790504,3.4649997,2.7978518,8.896359,2.8281262,3.3460195,7.551408
9,6.954176,2.9362946,4.299863,1.1648791,57.561905,20.020338,2.159223,4.781336,3.717881,5.5097575,44.763447,0.37452325,7.9243994,0.84318405,1.2887601,1.4299847,2.5137675,1.3546525,3.6103094,2.3188674,2.028994,0.52734804,1.318479,2.840272,1.5418468,0.4081036,10.744577,1.7654656,2.0522242,4.27371,2.299946,2.272306,3.8642924
