	PCC	SSIM	RMSE	JS
USP40	-0.014131149069851818	0.0038094992641029874	1.424170740515232	0.4766836419648782
PANK2	0.16355462951711716	0.06055926347546043	1.293402776000487	0.4429423415319667
NRIP2	0.12440701782337027	0.13490204482929907	1.3233238320053256	0.4636064793806009
TMEM245	-0.03408612715818087	-0.00794933490388302	1.4381141311858254	0.44327584867807734
COL6A1	0.3559954621508638	0.35265378922484425	1.134904875176009	0.28839170599135455
SLC7A4	0.2942879375200257	0.10916679993840905	1.1880337221476285	0.2958907063903474
ADAM19	0.14287609872761153	0.08107852737441543	1.3092928635506944	0.3887457083767749
ABCF1	0.1969872049834904	0.15550784555564798	1.2672906493906673	0.1926718793343606
PIP4K2C	0.406682067220983	0.29342390482782055	1.0893281716535352	0.15014653281667706
GM1966	-0.05442833218318356	-0.008119484975477377	1.452190298950646	0.6931471805599454
GRIPAP1	0.3519861434237964	0.16996972051347753	1.1384321293570412	0.19770007454955255
MAST2	0.22716349022051252	0.16723144672667423	1.2432509881592595	0.19215599537308983
RPUSD1	0.30594693659512207	0.17154646692236508	1.1781791573482174	0.22130474282376308
PIGQ	0.26926620507080706	0.19826346544386306	1.2089117378280294	0.24514380139912303
PDZRN3	0.41395931064089486	0.41931283396036373	1.0826270727809322	0.21662923879448148
PHACTR4	0.011726306766844939	0.027940878537812398	1.4058973598617752	0.5155381414445933
NACAD	0.36539306324965587	0.28964010847297245	1.1265939257339745	0.2697283991883511
NKTR	0.0389445621665222	0.042406449041126025	1.3864021334616285	0.2687141468768597
CALD1	0.2218331289185059	0.12101304512577252	1.2475310585965338	0.5027381915922949
SEMA4G	0.2143367636002038	0.23403842734981356	1.25352561712938	0.44246991754061216
DYM	0.3259340125451347	0.1854904214299633	1.1610908555792396	0.20681045656227875
HFE2	-0.010501821646048416	0.007045550307211475	1.42162007698685	0.5649938757878727
MTFR1	-0.06113018641589845	-0.02538471758844238	1.4567979862808011	0.4366408809424853
COL1A1	0.02227155509896731	0.021462016630117955	1.3983765193259166	0.6205997634048277
FBXO25	0.22160699356486083	0.07676413404723012	1.2477123117410833	0.20473894651128444
TACSTD2	-0.08168236521935966	-0.03213546732393617	1.4708381047684072	0.6326871439773685
KIRREL3	0.3405805521676997	0.3543348982473829	1.1484071123363007	0.2523256071030577
KCNT2	0.08158544751813314	0.053269234949484	1.355296685218308	0.3923250120074782
PCSK1	0.22654658361065602	0.1860471414825313	1.243747093575976	0.3110606200465461
USO1	0.25546994480622504	0.18916554317971965	1.2202705070547064	0.2355794733137585
SARS	0.2196425361377779	0.07186354778552566	1.2492857670382882	0.4516041682181921
AFAP1L1	0.2699189298155953	0.21653307573196695	1.2083716896587777	0.3297500241037852
ZMYM2	0.10231577404935367	0.052344228723411705	1.3399135986701876	0.44532385833453064
GABRE	-0.04314361063349188	-0.0036226738059731106	1.4443985673168553	0.6443086361244248
SEMA3A	0.17113962615188222	0.10996436980484298	1.2875250474053836	0.4401239615490149
MTA1	0.04807192850570255	0.040204062670845205	1.3798029362878579	0.15007335369287417
SSBP3	0.2777049859403457	0.15825461489872872	1.2019109900983969	0.29112814448048335
TCF20	0.23598429243651256	0.20871317932790917	1.2361356782841335	0.17432684306942198
RUVBL1	0.31783671397262625	0.18321056866181384	1.1680439084446899	0.20296664634760836
DCLRE1A	0.04242082475016522	0.024006863935226323	1.3838924634882834	0.45983435578003995
SVIL	-0.11019477684340696	-0.08419452944707934	1.4900971624987458	0.5428533276283707
GATSL2	0.13140652438756595	0.1454458956030066	1.3180238811284368	0.2328385098042514
CHGA	0.3794919239288297	0.3491687020801788	1.1140090449104714	0.21372479040201264
GLG1	0.39619479198617025	0.35892125812341263	1.098913288675526	0.10545287652673388
MAP7	0.3905870923808068	0.3877570577851683	1.1040044452982904	0.30953050940139193
NEURL4	0.21486402101299482	0.18295422919702856	1.2531049269610306	0.20494483085008566
ZYX	0.33887479157783573	0.28033804319331646	1.1498914804642777	0.2758006722429531
U2AF2	0.15125580493937402	0.10682156430484398	1.302876966609377	0.1327746562513375
BECN1	0.35612136485406265	0.160982093291912	1.1347939329639873	0.1395050815380461
GTF3C1	0.18879589893801546	0.17164926434318478	1.2737378859576916	0.1744050433360289
CDK18	0.28967608412921514	0.2466488555944971	1.1919093219459145	0.3059547054301931
LRP1	0.2837549536610188	0.28796346477111984	1.196866781508269	0.11649432479682152
DYNC1I1	0.4522098033563644	0.35521447610163537	1.046699762724379	0.16155259312625853
MYADM	0.3370557770026843	0.18746673623588525	1.1514722949314202	0.2629016301355415
KCNS1	0.1703890598995372	0.17987199086255912	1.2881078682318985	0.36735200770876225
CACNA1I	0.3574008370834107	0.3507903209109146	1.1336658792753616	0.1854921193240484
SAFB	0.33323674647435875	0.24705314602142672	1.154784182023326	0.13256383948202013
ICAM1	0.2202516935125408	0.17403658515805973	1.2487980673331132	0.49772228522375883
FAIM2	0.40896138223412903	0.19687275937671167	1.087233753859648	0.1648668847971948
ABL1	0.05366617051759547	0.07686372714314103	1.3757425845574487	0.3406681464120505
SOX2	0.42434534152163994	0.4054314579633336	1.0729908279928213	0.3154778389022973
CSF2RA	-0.05706630599483984	-0.01592834215383073	1.454005712502423	0.4610089249767144
SDHAF2	0.20654484853987534	0.06486045958975799	1.2597262809516399	0.3622493148527953
NRG1	0.20809996988320045	0.09841617307262615	1.2584911840110757	0.2830751561645407
LRRC49	0.26660247777128077	0.14983097104885393	1.2111131427151793	0.26317383606906314
NCAM2	0.31970912304161	0.2906739009626151	1.1664397772353188	0.2389844714737624
BAIAP2L1	-0.04304063905450176	-0.015440230074975018	1.4443272752769725	0.5546873184722706
CRIM1	0.04064581857494307	0.05241579027273858	1.3851744882324803	0.3861276806867997
LIX1	0.13088531005772608	0.14655954933654916	1.3184192731769921	0.31651084359786874
SEMA5B	0.17489959464784824	0.15214714661508616	1.2846014209490442	0.36780854053931145
FAM43B	0.28728168221310074	0.2407934641757254	1.1939165111404562	0.25010558753962897
RXRB	0.28007400006698135	0.23501940808684627	1.1999383316929404	0.1460732338712925
CPT2	-0.00933596147720598	0.00019632007853908682	1.4207997476612995	0.5898248841293043
SUCLG2	-0.04435284444560598	-0.023843240219445415	1.445235513295744	0.6121479739548459
WDR44	0.09308605288600066	0.056565157671903024	1.3467842790246694	0.4811884063332838
TM4SF1	-0.08594434413273021	-0.05474535381265879	1.4737329094057243	0.6896378122472464
PPM1A	0.3774714887523909	0.16154780727790657	1.1158212323195944	0.1490833572932958
BCL2L14	0.12253956033368682	0.01035483539679393	1.3247342674410691	0.6216140112953652
NT5DC2	0.05100695805178752	0.0669805744363209	1.377674157374096	0.5516398913471784
PTGFRN	0.2012452167496417	0.20677514352330936	1.2639262504199826	0.2972998144221774
NLRC3	0.003094835202421644	0.02999932421057529	1.412023487621632	0.5209226195735169
SIRT1	0.054245390338264435	0.03601233569984902	1.3753214967139398	0.43345000113177556
CACNA2D3	0.3656536538302701	0.2501112883608255	1.1263625936346873	0.21938826388085714
SLIT2	0.30841061595896124	0.3179195229542761	1.1760862077594811	0.3268852293772181
SNX32	0.3268290000251146	0.19191786935163493	1.160319783486333	0.1714908210924685
CCDC92	0.45446189938966186	0.40519759338733113	1.0445459306419589	0.14445893806698373
BMP4	0.1502378529336991	0.11617921815584709	1.303658043404252	0.5781187295989642
DYRK1B	0.20229527053038718	0.14524635675973357	1.2630951899754925	0.19122751310031613
ALG1	0.11722221450027806	0.06731711125808126	1.3287421010111193	0.426624058810807
PAQR4	0.36362257074391036	0.3464990669516969	1.1281643756617115	0.14538196187282992
MFSD2A	0.38808355128506977	0.23271533640708392	1.106269812220265	0.3407091621655868
TIFA	-0.06625653710131978	-0.042503452036610885	1.460312663165885	0.654123950022488
SLC5A6	0.10060913996699358	0.06882871484733682	1.3411866835254564	0.4446868780411656
SYT12	0.37930312331559524	0.24208833862249995	1.1141785105488302	0.27998047006799803
TMEM252	0.11408263858466101	0.09911691354551759	1.331102822035427	0.5755873791509896
LRRC56	-0.011358473027588663	0.013470730432323602	1.4222225374585993	0.4942462551887462
HAS2	-0.054756013995063135	-0.007358970092643652	1.4524159280282374	0.67904849737542
MARS	0.20773792104364108	0.1571755618015723	1.2587788359806173	0.33535606605298035
SMPD1	0.43673656469822647	0.20104487939264298	1.061379701428074	0.19752325163861512
MBLAC2	0.11268802035043225	0.059272066958065917	1.3321501264118603	0.4413009098970666
RHO	-0.03477882866356039	0.005990975897030295	1.438595724075086	0.6173686676742728
CASQ2	0.032244242230309715	0.03265626961133571	1.3912266226389505	0.6288323009062866
MCTP1	0.25280090968911223	0.15080481054768538	1.2224557990462377	0.34403691918481377
PACSIN3	0.34896235648370655	0.23869297649038942	1.1410851357513103	0.1847703664964498
KDM1B	-0.0647324634367838	-0.02151726802431725	1.4592686273861872	0.5313939406195497
THBS4	0.10369729872719972	0.036593711148766105	1.3388821466229208	0.4871975047396022
PRMT8	0.4628622287506019	0.3882973691417483	1.03647264435623	0.16634367478880663
GRB14	0.005785851863024903	0.018428602802303393	1.4101164123128098	0.5880351798188245
LRRC46	0.03977922448112807	0.058077514678589286	1.3857999679022017	0.5028378789739946
BDKRB2	-0.005348943529877192	0.006178175495789898	1.4179907923042923	0.6174205506466538
PFKL	0.44134356461861257	0.35903167698855554	1.05703021279563	0.12856267718513753
KLHL3	0.2581460287776567	0.25880653657879865	1.2180755076942837	0.24195521515884633
GRPEL2	0.12394192169670469	0.06296791935203597	1.3236752458993069	0.47070101549600324
TSPAN2	0.3400790213669683	0.28476587506159196	1.148843747977097	0.46374991518733866
ARHGAP39	0.04386384440052462	0.0642630735826113	1.3828493450838926	0.20367076670266426
OTUB2	0.21496020701422383	0.1624281321558343	1.2530281664717489	0.38372452842153204
TAPBPL	-0.06830956062980444	-0.027367310533962654	1.4617178665048904	0.4768066053655788
ACLY	0.2640903786946184	0.18849227326941664	1.2131855763281902	0.17451245677406382
ELMO1	0.303274273010132	0.24784290027521616	1.1804454472696888	0.19327823647103337
KCNA3	0.44540724988450947	0.4249817040104841	1.053178759865096	0.23810559492785102
AKAP8L	0.3520599205646265	0.17243801898300878	1.1383673215929675	0.16976922227299218
FCRLS	0.24124782168618417	0.20018488376460594	1.23187026777483	0.5445609369385426
PADI2	0.3787062829374497	0.3760581363840951	1.114714059355627	0.41262146446385867
ADAMTS4	0.41446174147853365	0.27725917917133025	1.082162888405869	0.43529552132876004
SLC35F1	0.30213375275097804	0.25565375299090026	1.1814112300541435	0.26279575112624387
BLMH	0.2944140376490176	0.09823666386570708	1.1879275755288976	0.26324315038825985
LRFN2	0.3770086975632704	0.3624442148604897	1.1162359091488947	0.22703203320360482
FAR2	0.35834858907854045	0.2963766742047973	1.132829564340073	0.2911000629667634
TMEM246	0.3446893328847349	0.2186997424891865	1.14482371316746	0.24118276199715688
RTN4RL1	0.4041779104444929	0.40403926884118174	1.0916245595950167	0.2089573540194847
REEP5	0.3801830348961373	0.19261222046030907	1.1133884902439604	0.202614930185953
SLC19A2	0.1833665309826313	0.16316418371275118	1.2779933247222919	0.38548958484517426
TRPV6	0.05788096677088916	0.07760881408506222	1.3726755138991231	0.5133269331121976
