	PCC	SSIM	RMSE	JS
USP40	0.09663059351655524	0.05481716158340479	1.3441498476609257	0.4443209518388905
PANK2	0.2430822127026228	0.10531297536777705	1.230380256097583	0.41796211377249304
NRIP2	0.1692815037794316	0.17928142216078105	1.2889674132580453	0.4431973432369727
TMEM245	0.1516922042872096	0.10989350997412964	1.3025419729995578	0.39544163480638916
COL6A1	0.3625515214098366	0.3355891461838457	1.1291133500142165	0.2863703521173748
SLC7A4	0.34680880269956893	0.1232536390383242	1.1429708634085394	0.2945860811587732
ADAM19	0.21884025749099725	0.07661020474887943	1.2499277919215996	0.3717970141007327
ABCF1	0.48958898815286905	0.26146467215891284	1.01035737424649	0.15328930954837866
PIP4K2C	0.5384124728049119	0.3003398496585543	0.9608199906278888	0.1322338988362742
GM1966	-0.04684638800942089	-0.001988475533274929	1.4469598391174658	0.6931471805599454
GRIPAP1	0.44614391671420733	0.2186854608710904	1.0524790575453673	0.17725183501176667
MAST2	0.4044969834575558	0.2872524071440113	1.0913322285559466	0.17843137185557478
RPUSD1	0.3942127165350678	0.27674052428010504	1.1007154795540328	0.20805782683381496
PIGQ	0.513051593086288	0.39572684905477357	0.9868621047681503	0.18903686424716926
PDZRN3	0.4215001249968537	0.42423734555921755	1.075639228554952	0.22462770412955638
PHACTR4	0.0934103283764055	0.11136594110082158	1.346543479894797	0.47649298706354426
NACAD	0.38847253713794033	0.25957929611550945	1.1059181369903106	0.2504218724350767
NKTR	0.32567804548617807	0.1630970941977359	1.1613112885990748	0.2289096549829002
CALD1	0.20242367801980987	0.059100749501553494	1.2629935249083346	0.5051553918770756
SEMA4G	0.30049706435625967	0.3179298249447818	1.1827957859611609	0.37629363816831235
DYM	0.4037095685808016	0.24006361342029015	1.0920535073147273	0.191981071990064
HFE2	0.07657757786922667	0.06436216878163857	1.358986697602867	0.5190344780820445
MTFR1	0.05455643733931705	0.07462573004918313	1.3750953149950609	0.3751052781060169
COL1A1	-0.042139247332425196	-0.0003585605930223815	1.443703049336965	0.644571367683986
FBXO25	0.3980678009238541	0.1495269616168676	1.0972075456139974	0.179697152471275
