	PCC	SSIM	RMSE	JS
USP40	-0.06723653921038944	-0.015083935188270548	1.4609835996412757	0.4759495817626864
PANK2	0.11988492018234054	0.06131278360024756	1.326736657982781	0.4522860936997045
NRIP2	-0.01872778944758581	0.0075891326342868845	1.4273946822428516	0.5028874119559341
TMEM245	-0.06321476692698169	-0.017776990948170764	1.4582282173425267	0.44787873695223523
COL6A1	0.3070694708465515	0.2033435566575645	1.17722600137225	0.3095149195144065
SLC7A4	0.3035036944060557	0.061289217828308845	1.1802510797232464	0.29859371412376995
ADAM19	0.15074651981591558	0.07246234649294789	1.3032678007102645	0.38530148322026986
ABCF1	0.20960823565033732	0.10753603937313369	1.2572921413495455	0.19515736745544676
PIP4K2C	0.3598154603046695	0.12590889105441316	1.1315339497295966	0.15553461083701686
GM1966	-0.05785477258384569	-0.0022306260385594806	1.4545478834220935	0.6756044699791229
GRIPAP1	0.20360872298891788	0.12824917761188082	1.2620548934266544	0.21748476101634517
MAST2	0.17784962536917384	0.1258009536427254	1.2823029085444875	0.1915346598959357
RPUSD1	0.2760661248404715	0.15295039972770835	1.203273763662724	0.2257063084818479
PIGQ	0.20277995041838073	0.13416364425630944	1.2627114077108983	0.2555310920477845
PDZRN3	0.40405554950342165	0.34430311269430286	1.0917366445224583	0.2044172011542656
PHACTR4	0.011997478091342684	0.037467085302679594	1.405704465318836	0.5078509621639091
NACAD	0.2606801620379795	0.21907897544080454	1.2159932877791888	0.2844784942241433
NKTR	-0.17462707432225105	-0.06115123544699759	1.5327276824813014	0.2821770934446856
CALD1	0.19880637108876	0.09352237149178337	1.2658543588511595	0.495437927075783
SEMA4G	0.1286608359118533	0.14539517008094546	1.320105423129643	0.4181747756535963
DYM	0.2733488607782126	0.12867291152153856	1.2055298745545773	0.21242156818033414
HFE2	-0.04080109632661685	-0.0028353759455110143	1.4427758636230488	0.5520785297493038
MTFR1	-0.12139672866266786	-0.08507264152375799	1.497595892530871	0.43118442941972474
COL1A1	-0.050321087480782595	-0.005313127729745564	1.4493592290945558	0.6554400379802396
