	PCC	SSIM	RMSE	JS
USP40	0.22638113132841595	0.09243694198879711	1.2438801137341042	0.421351528056658
PANK2	0.24978042652037924	0.16290756039925486	1.2249241392670982	0.42173522829176313
NRIP2	0.2610788801992908	0.22183528879094172	1.2156653485237696	0.3920730149709316
TMEM245	0.27028989952244664	0.13827877055235574	1.2080646509831776	0.3712115053585689
COL6A1	0.384642880355304	0.3634462543923711	1.1093756078485737	0.27717635328645807
SLC7A4	0.37995788409184894	0.15264845662286586	1.1135906931257562	0.290780693413702
ADAM19	0.2617233023487428	0.09416899968955456	1.215135134584839	0.37005410899948266
ABCF1	0.5710609322370593	0.48521201248432144	0.9262171103612163	0.1447450988456221
PIP4K2C	0.5608010668458941	0.43316557717738746	0.9372288228112768	0.12547232825355759
GM1966	-0.04797493845433301	-0.010397503784385465	1.4477395749611413	0.5127392978038772
GRIPAP1	0.548714226549603	0.4234885731095341	0.9500376555172927	0.1688180628425248
MAST2	0.4483522776050597	0.36406680210743275	1.0503787149356563	0.15992034034068153
RPUSD1	0.5083768384893944	0.40809126604424245	0.9915877787776586	0.19295912964139444
PIGQ	0.5591634643670361	0.483290750213455	0.9389744784955167	0.19736392200874014
PDZRN3	0.41828074339890053	0.3945900028477716	1.0786280699120523	0.19312836981578496
PHACTR4	0.31161216256932434	0.1701342953135865	1.1733608459725215	0.3895343374385025
NACAD	0.46595424460096363	0.39693842013243136	1.0334851284842335	0.24153971236178245
NKTR	0.4587661316945657	0.335775499206299	1.0404170974233693	0.21036935093402523
CALD1	0.22472828791458646	0.1752990278266514	1.2452081850722099	0.38582181583399566
SEMA4G	0.45275050533698125	0.39342473698890634	1.046183057273457	0.3230618649490853
DYM	0.5000841990042759	0.43130160131621276	0.9999157974506894	0.1794549298452638
HFE2	0.10096293772909962	0.05423147335173035	1.340922863009577	0.5049262805007118
MTFR1	0.34409545385452583	0.24308307970786064	1.1453423472005864	0.31148337788051594
COL1A1	0.002563130324011336	0.023485246114216412	1.4123999926904478	0.47502759037858094
FBXO25	0.453878459774667	0.30648323849070686	1.0451043395042747	0.1690792214302693
TACSTD2	0.07021137942403892	0.10188175997623909	1.3636631699770738	0.48951282966724785
KIRREL3	0.27100619833467277	0.26516298988001946	1.2074715745435396	0.2397576141114822
KCNT2	0.2618498292695014	0.12042436662328984	1.215031004320876	0.3409323998007205
PCSK1	0.4726083185645792	0.33708602953502875	1.0270264664899544	0.2748088560724873
USO1	0.4608605298152607	0.3810503544991719	1.038402109189633	0.2009144175499289
SARS	0.2924250422394131	0.09635914900914205	1.1896007378617306	0.4274580862108463
AFAP1L1	0.18377492928276892	0.13148629917124516	1.2776737226046648	0.3107190273160184
ZMYM2	0.2994806544409475	0.18821252970362615	1.1836548023465732	0.4051897586992812
GABRE	0.08373398333836808	0.08270402623529506	1.3537104687942927	0.4821195840963917
SEMA3A	0.32806523062554593	0.17087412857733192	1.1592538715695144	0.4159830346940302
MTA1	0.5271615022217025	0.5078574792357196	0.9724592513604847	0.09814609058990273
SSBP3	0.46188831084226134	0.3391061625086791	1.0374118653242197	0.2599971504965442
TCF20	0.5837078306471499	0.5462560617630159	0.9124605957002748	0.12324222806191118
RUVBL1	0.5109900206160692	0.4468910248487796	0.9889489161568771	0.1705548100785655
DCLRE1A	0.26567912549843825	0.15995310374870655	1.2118753025798996	0.40854878504825
SVIL	0.24822627442035258	0.24240094370295223	1.2261922570132688	0.2710494361696969
GATSL2	0.44324088459259914	0.32599155444529576	1.0552337327885237	0.18859926995259768
CHGA	0.5599692419297289	0.4792546168217928	0.9381159396047709	0.18491425776916603
GLG1	0.6547893485690769	0.6419054479312719	0.8309159421155944	0.07469477213276492
MAP7	0.31911482159512194	0.2073325568710733	1.166949166334916	0.289955797845205
NEURL4	0.557730546441468	0.5132888116725732	0.9404992860800394	0.15212433009546739
ZYX	0.41913823996711497	0.3666805943822992	1.0778327885464285	0.2528248068437484
U2AF2	0.5031881438562438	0.4716375274893487	0.996806757745709	0.10224118595570819
BECN1	0.5768166374214508	0.4919112205201358	0.919981915668508	0.11694778587951757
GTF3C1	0.5518199323879829	0.47563326429330605	0.9467629773201073	0.12986193971607624
CDK18	0.30350748522530735	0.1505987277355373	1.180247867843609	0.27267520160591996
LRP1	0.499985499429441	0.47378305503966156	1.0000145004654273	0.0916122934834282
DYNC1I1	0.5035527377042993	0.44485466594064127	0.9964409288018038	0.14623909845984795
MYADM	0.5113130361940902	0.41097852378732447	0.9886222370611635	0.24094014185303175
KCNS1	0.35644894319274306	0.2643232998792286	1.1345052285531847	0.31639130822810957
CACNA1I	0.5368164932886031	0.5132996724685577	0.9624796171466666	0.15501324194507107
SAFB	0.5600842805131833	0.5309804658897873	0.93799330433305	0.10226498147255517
ICAM1	0.28129069344941987	0.10698013106879388	1.1989239396647147	0.36431859971478187
FAIM2	0.5629544583444156	0.45348899383606656	0.9349283840547193	0.14842374058478572
ABL1	0.32700631647195866	0.23629353818520615	1.160166956543791	0.24097764924468876
SOX2	0.22866020195039666	0.22089208476558483	1.2420465354000254	0.24461780770306846
CSF2RA	0.3030985165314253	0.15386868810775828	1.1805943278438826	0.3871956878209897
SDHAF2	0.3790425956188396	0.22447950758926574	1.1144123154211467	0.32578992872522916
NRG1	0.5268247609847725	0.36207116495849984	0.9728054677223271	0.23056518593936437
LRRC49	0.4164244770553981	0.3088277668229984	1.080347650476088	0.24016764349741457
NCAM2	0.5371215473106532	0.48776532187272087	0.9621626189884397	0.19885442345814008
BAIAP2L1	0.32323319368080994	0.12964983440483416	1.1634146348737324	0.4212213667256791
CRIM1	0.4229631252087472	0.34536934167264277	1.0742782458853504	0.30015443632760636
LIX1	0.3411862522600112	0.29085510550308236	1.1478795648847389	0.26288653901546166
SEMA5B	0.4395051965533021	0.34171442415371767	1.058767966503235	0.27349097237591924
FAM43B	0.43710428841178145	0.3848003934315894	1.0610331866517828	0.22426301546410332
