	PCC	SSIM	RMSE	JS
USP40	-0.04155270245020764	0.003201387361827546	1.4432967140891075	0.460439993219049
PANK2	0.1498405124584013	0.0397520136208472	1.3039627966637688	0.4536390586648338
NRIP2	0.022174663818121037	0.011021730791739712	1.398445806016006	0.4456887668870528
TMEM245	0.09719042162301696	0.05283851506004305	1.3437332907813089	0.41405545116491377
COL6A1	0.19366908492686175	0.06679401522975122	1.2699062288792338	0.33918837523049694
SLC7A4	0.23427862891671092	0.03415303878868374	1.2375147442218934	0.32271923674471437
ADAM19	-0.017036714600808384	0.0034029905404986205	1.4262094618959789	0.40939080537112343
ABCF1	0.43275670707096153	0.14448431357429525	1.065122803181904	0.19224096057906653
PIP4K2C	0.3387691843588838	0.11668880586846103	1.1499833178277987	0.16629539936889792
GM1966	-0.028243053110691814	0.017092375307556706	1.4340453640737392	0.49003665043069056
GRIPAP1	0.42435253204327344	0.1358747659415547	1.0729841265896962	0.21516450051195585
MAST2	0.2922185815604868	0.11238161618364445	1.1897742798022768	0.18697745187209075
RPUSD1	0.3207506243595172	0.0969161533783756	1.1655465461666323	0.23753776571259214
PIGQ	0.4570127283416742	0.15989748153605973	1.0421010235656865	0.2500014936210369
PDZRN3	-0.16203651449682893	-0.07376403966296474	1.5244910721265827	0.27600158479432796
PHACTR4	0.09646825637777101	0.09234974039458564	1.3442706153317705	0.4257208305355086
NACAD	0.30326223460152824	0.10098862977584418	1.1804556454170327	0.2974000929600047
NKTR	0.1495794477761091	0.036350936341467736	1.3041629899854472	0.2650772290119261
CALD1	0.17744171636734707	0.14217766528350018	1.2826209756842846	0.41041422660485644
SEMA4G	0.08498742931434641	0.026605536236371793	1.352784218333178	0.3931561987139913
DYM	0.41628176407300665	0.15014149369386118	1.080479741528728	0.21752502560244585
HFE2	0.09016743242963632	0.015408104292642746	1.3489496414398603	0.5228469445052568
MTFR1	0.022744263118792005	0.03372224346412708	1.3980384378701523	0.36632530737467806
COL1A1	0.13538811738126175	0.12628270498173438	1.3149995305084625	0.43627348104458863
FBXO25	0.34727648207536277	0.0963651092693961	1.142561611401886	0.20203196241953245
TACSTD2	-0.03492389254728388	-0.00355316231127364	1.438696557684965	0.4961672702486746
KIRREL3	0.2544171784422224	0.12918428105991916	1.2211329342522688	0.2442572298800119
KCNT2	0.011648928026761976	0.008716266426677655	1.4059523974681631	0.38729989236088014
PCSK1	0.1158859871918456	0.04578173041948372	1.329747354055013	0.33911191385229145
USO1	0.3538132830330802	0.10557803562648081	1.1368260350351937	0.25054005212761743
SARS	0.15037253590155505	0.027019781863868837	1.3035547277337034	0.4737983313722511
AFAP1L1	0.17228906936008626	0.108071225080539	1.2866319836222895	0.3091880109165078
ZMYM2	0.228184756174665	0.0349048651446157	1.2424292686711265	0.4521415525884854
GABRE	-0.030452597300743834	-0.007212448334132504	1.4355853142887354	0.5059476387383457
SEMA3A	0.15527171552573388	0.03565353541710547	1.2997909712521212	0.46748702862845054
MTA1	0.3418837123460173	0.13975003359843116	1.1472717966148933	0.12821295499317514
SSBP3	0.31239676189249105	0.11772948279289829	1.172691978404823	0.298262618657919
TCF20	0.3761810026575272	0.13263933064058334	1.116977168381228	0.16987861762777678
RUVBL1	0.3906334494273645	0.115934691273086	1.1039624545904043	0.21728298796392242
DCLRE1A	-0.025838737033324045	-0.0014869726281852905	1.4323677858939192	0.4579332344377188
SVIL	-0.09453468283177661	-0.05137558128949408	1.4795503930801253	0.3328759528124965
GATSL2	0.22456434211018764	0.07788843773374071	1.2453398394733963	0.22505043007875425
CHGA	0.3878554220378555	0.15958379287609575	1.106476007839433	0.23247986664471046
