	PCC	SSIM	RMSE	JS
USP40	-0.10508596606471503	-0.024058049329822084	1.4866647006401377	0.47613870889483634
PANK2	0.06242322527002376	0.02514398587167315	1.369362460950333	0.46084933550487595
NRIP2	0.13694312749847515	0.12557143694343967	1.3138164807167894	0.43145551812379623
TMEM245	-0.048809513956487416	-0.00873969157674923	1.4483159282121338	0.4357617629435955
COL6A1	-0.14154597688139378	-0.06376570376542647	1.5109903883753821	0.6204915480383901
SLC7A4	0.14540275944474582	0.030222997453433525	1.3073616489367081	0.33432396453545377
ADAM19	0.1428396666264572	0.1065602878798346	1.309320689039582	0.4044849702057589
ABCF1	0.1534877970275869	0.0698643377469799	1.3011627130934955	0.20226600144755275
PIP4K2C	0.3309244919179902	0.11192089980861389	1.156784775212753	0.164279857042995
GM1966	-0.02469553033468828	0.0037916242112425	1.4315694396952519	0.6931471805599454
GRIPAP1	0.20295253744313316	0.06196352229511727	1.262574720606164	0.2224897944722245
MAST2	0.07968462266397283	0.05390833921954922	1.3566984759599512	0.19845126257081316
RPUSD1	0.2152549153065632	0.1236853653303862	1.252792947532382	0.23791100388307224
PIGQ	-0.020766021243825497	0.003037079615153323	1.4288219071975523	0.27288526349274844
PDZRN3	0.16783065268080602	0.08688026764799901	1.290092513984322	0.23863480473706494
PHACTR4	-0.004388317004646994	0.020846886049691718	1.4173131742876357	0.45682687676901124
NACAD	0.1325520865743214	0.14547755611027688	1.3171544430518987	0.303323324099974
NKTR	-0.193680415603591	-0.04663343784274363	1.5451086794161701	0.2773681205639874
CALD1	0.12352973963518019	0.054619410822530814	1.3239866014162074	0.5450092779527792
SEMA4G	-0.004575136190826792	0.015541964191819581	1.4174449803719555	0.5532779252738783
DYM	0.11321009534756168	0.08681486200930293	1.3317581647224381	0.23170084235407226
HFE2	-0.013938822251111177	-0.0008078088645635206	1.4240356893358475	0.6113649891559867
MTFR1	-0.09977184401190593	-0.03899610802141588	1.4830858667062445	0.3884149234305218
COL1A1	-0.05084576047201537	-0.023597224144601397	1.4497211873129368	0.6557379578409905
FBXO25	0.01994320278000245	0.020295077867243584	1.4000405688550583	0.21524810710546527
TACSTD2		2.532193431147835e-60	0.9999999999999999	16.642555162271094
KIRREL3	0.10534940827065384	0.09384401119043656	1.337647630528568	0.2624176291775814
KCNT2	0.13723169653252124	0.02099469227717517	1.3135968205408224	0.3741765510120655
PCSK1	0.2666109189831008	0.08414214245656894	1.211106172898891	0.31578500178302066
USO1	0.19684230811769995	0.06476826442005637	1.267404980171926	0.25751864284273945
