	PCC	SSIM	RMSE	JS
Usp40	-0.009808976255992669	0.0043006744231872725	1.4211326301622889	0.4719771693869066
Pank2	0.13368061811298265	0.03609096139868253	1.3162973690523108	0.45370241407171114
Nrip2	-0.016862771117608682	-0.0002707476895068525	1.4260874945932365	0.5097892423841974
Tmem245	-0.06923107779292463	-0.01949873630481105	1.4623481649681958	0.4545793388841409
Col6a1	0.3144018074449597	0.19202574175036607	1.1709809499347463	0.3036153057029739
Slc7a4	0.3021307519621529	0.04761179667729291	1.1814137700550533	0.2998264244090637
Adam19	0.2745360805497686	0.06317069974906499	1.2045446604009602	0.3593119531527924
Abcf1	0.2856049211762865	0.1410738929880212	1.1953201067694914	0.18954406818777428
Pip4k2c	0.373246610226985	0.1565072058607455	1.119601169857387	0.150242924094741
Gm1966	-0.11240946608590344	-0.08373570064946766	1.491582693708871	0.6820981423854529
Gripap1	0.2750648514914698	0.08917553413057301	1.2041056004425277	0.20975962175610138
Mast2	0.2416304876624144	0.13044637466447223	1.2315595903873964	0.1878862999960088
Rpusd1	0.24401060471902672	0.14973537739996898	1.229625467596514	0.22927810513515526
Pigq	0.28113827661361335	0.14076781314409043	1.1990510609531078	0.24890882490678612
Pdzrn3	0.3696381944278603	0.28638376010919686	1.1228194917903223	0.21472759334288705
Phactr4	0.004034492266509319	0.009120282830145824	1.4113578622967957	0.5167182629558753
Nacad	0.26004122039231126	0.11553750060584132	1.2165186226340212	0.2799101135268422
Nktr	-0.1096974591886013	-0.05122058023216781	1.489763376639794	0.2955861752089633
Cald1	0.19400215322273823	0.13884555548578867	1.2696439239229713	0.5272366759601501
Sema4g	0.20538992218676663	0.17614993594621745	1.2606427549573536	0.4389990552116688
Dym	0.22722154781643084	0.12452779307797372	1.2432042890720487	0.22227043711248504
Hfe2	-0.06815806944952625	-0.05101596348022406	1.4616142236920975	0.6324201182491743
Mtfr1	-0.15701177488526966	-0.09224675672693709	1.521191490171616	0.46360335001733266
Col1a1	-0.05273896537149972	-0.028156443735024825	1.4510265093178012	0.6531620310223407
Fbxo25	0.2571410039154448	0.08712682001300114	1.21890032085036	0.20285556567125565
Tacstd2	-0.010618845889815796	0.001256750896266204	1.4217023921270027	0.5820101000392195
Kirrel3	0.16704263375096104	0.07883018229658992	1.2907031930300938	0.26503380765139756
Kcnt2	0.09240630821537013	0.03140255080974598	1.3472889013011493	0.3897247822118658
Pcsk1	0.05021969597247153	0.03353081006027173	1.378245481782928	0.3639823451955467
Uso1	0.291184854360685	0.11558738374327512	1.1906428059156244	0.2362775654447428
Sars	0.19655414634843366	0.06652459878502413	1.2676323233900006	0.45567193710012954
