	PCC	SSIM	RMSE	JS
Usp40	-0.014131149069846102	0.0038094992641055005	1.4241707405152286	0.47668364196487706
Pank2	0.16355462951711688	0.06055926347545902	1.2934027760004867	0.44294234153196693
Nrip2	0.12440701782337218	0.13490204482930088	1.323323832005324	0.46360647938059985
Tmem245	-0.034086127158177895	-0.007949334903881534	1.438114131185823	0.4432758486780778
Col6a1	0.3559954621508614	0.35265378922484525	1.134904875176011	0.28839170599135344
Slc7a4	0.2942879375200254	0.10916679993841456	1.1880337221476287	0.29589070639034715
Adam19	0.14287609872761015	0.08107852737441264	1.3092928635506957	0.38874570837677513
Abcf1	0.19698720498349453	0.15550784555564617	1.2672906493906644	0.1926718793343602
Pip4k2c	0.40668206722098676	0.2934239048278249	1.089328171653532	0.15014653281667661
Gm1966	-0.05442833218318321	-0.008119484975477223	1.4521902989506525	0.6931471805599454
Gripap1	0.3519861434237926	0.16996972051347153	1.138432129357045	0.19770007454955268
Mast2	0.22716349022051854	0.1672314467266776	1.243250988159254	0.19215599537308947
Rpusd1	0.30594693659512084	0.17154646692235134	1.178179157348218	0.22130474282376333
Pigq	0.26926620507080995	0.19826346544386514	1.2089117378280272	0.24514380139912295
Pdzrn3	0.41395931064089414	0.41931283396036195	1.0826270727809326	0.21662923879448187
Phactr4	0.011726306766844241	0.02794087853781255	1.4058973598617763	0.5155381414445945
Nacad	0.3653930632496555	0.2896401084729814	1.1265939257339754	0.2697283991883511
Nktr	0.038944562166524394	0.04240644904112767	1.3864021334616272	0.26871414687685946
Cald1	0.22183312891850454	0.12101304512577184	1.2475310585965353	0.5027381915922959
Sema4g	0.21433676360020013	0.234038427349809	1.2535256171293823	0.44246991754061393
Dym	0.325934012545131	0.1854904214299942	1.1610908555792432	0.2068104565622792
Hfe2	-0.010501821646041812	0.007045550307217374	1.421620076986843	0.5649938757878715
Mtfr1	-0.06113018641589421	-0.025384717588438063	1.4567979862807985	0.4366408809424831
Col1a1	0.02227155509897196	0.02146201663011797	1.3983765193259114	0.6205997634048268
Fbxo25	0.2216069935648569	0.07676413404722852	1.2477123117410864	0.204738946511285
Tacstd2	-0.08168236521936181	-0.03213546732393644	1.4708381047684078	0.6326871439773689
Kirrel3	0.3405805521677015	0.35433489824738473	1.1484071123362998	0.2523256071030563
Kcnt2	0.08158544751813618	0.053269234949484635	1.3552966852183057	0.392325012007477
Pcsk1	0.22654658361065755	0.18604714148254137	1.2437470935759745	0.3110606200465458
Uso1	0.25546994480622265	0.18916554317971776	1.2202705070547084	0.23557947331375872
Sars	0.21964253613777812	0.07186354778552569	1.249285767038288	0.45160416821819205
Afap1l1	0.2699189298155943	0.2165330757319664	1.2083716896587788	0.329750024103785
Zmym2	0.10231577404935932	0.05234422872341402	1.3399135986701836	0.4453238583345298
Gabre	-0.04314361063348431	-0.0036226738059704305	1.4443985673168507	0.6443086361244157
Sema3a	0.17113962615188255	0.10996436980484348	1.2875250474053843	0.44012396154901506
Mta1	0.04807192850570433	0.040204062670845454	1.3798029362878568	0.1500733536928742
Ssbp3	0.2777049859403481	0.15825461489873213	1.2019109900983944	0.29112814448048296
Tcf20	0.23598429243651395	0.20871317932791783	1.236135678284133	0.1743268430694217
Ruvbl1	0.3178367139726266	0.18321056866181573	1.1680439084446903	0.20296664634760853
Dclre1a	0.04242082475017329	0.024006863935230847	1.3838924634882777	0.45983435578003756
Svil	-0.11019477684340814	-0.08419452944708045	1.4900971624987467	0.5428533276283694
Gatsl2	0.13140652438756129	0.1454458956030024	1.3180238811284404	0.23283850980425294
Chga	0.37949192392882936	0.34916870208017625	1.1140090449104718	0.21372479040201267
Glg1	0.39619479198616747	0.3589212581234088	1.0989132886755284	0.10545287652673474
Map7	0.39058709238080763	0.38775705778516883	1.1040044452982902	0.3095305094013916
Neurl4	0.21486402101299723	0.18295422919703067	1.2531049269610286	0.20494483085008516
Zyx	0.33887479157782824	0.2803380431933167	1.149891480464285	0.2758006722429542
U2af2	0.15125580493937724	0.10682156430484806	1.3028769666093742	0.1327746562513371
Becn1	0.3561213648540634	0.16098209329190688	1.1347939329639865	0.13950508153804647
Gtf3c1	0.18879589893801593	0.17164926434318495	1.2737378859576907	0.17440504333602877
Cdk18	0.28967608412921575	0.24664885559450397	1.191909321945914	0.30595470543019354
Lrp1	0.2837549536610209	0.2879634647711219	1.1968667815082674	0.11649432479682131
Dync1i1	0.45220980335636596	0.35521447610163676	1.046699762724377	0.16155259312625825
Myadm	0.33705577700268313	0.18746673623590188	1.151472294931421	0.2629016301355418
Kcns1	0.17038905989953235	0.17987199086255706	1.2881078682319032	0.36735200770876375
