	PCC	SSIM	RMSE	JS
Usp40	0.05193265095416271	0.04091151322212898	1.3770020690222924	0.4532941420809873
Pank2	0.24508775213918074	0.10290223858137815	1.2287491589912234	0.42086672448852086
Nrip2	0.1436144007470682	0.15252151206748546	1.3087288483508956	0.4587193494642351
Tmem245	0.07951488018104139	0.08232274687082457	1.3568235845672485	0.4134306745215864
Col6a1	0.34806501998197964	0.3160281627219131	1.1418712537042173	0.29313381404300876
Slc7a4	0.3469314808764919	0.13872630056393281	1.142863525643817	0.2901402730382661
Adam19	0.23687913327738375	0.0739038371909799	1.2354115643967538	0.36640297071787753
Abcf1	0.48473858567055994	0.2956623593455243	1.0151467030232033	0.1560002438058859
Pip4k2c	0.54584702361406	0.32354970077533585	0.9530508657841306	0.12697374667720676
Gm1966	-0.0462975768869022	5.1464919474760986e-05	1.4465805037307113	0.6858927509349866
Gripap1	0.45451017434558943	0.23184463808147948	1.0444997134077265	0.1788061906464094
Mast2	0.41539186494229013	0.30928527940889117	1.0813030426829568	0.1699887079479636
Rpusd1	0.39491489873650587	0.21947103484960226	1.10007736206459	0.21163175676130586
Pigq	0.503562097913278	0.3665490924539868	0.9964315351159077	0.19499469372606779
Pdzrn3	0.4437870699219221	0.4471598124490259	1.0547160092442696	0.21333343370051894
Phactr4	0.04953894160851503	0.06857533574906623	1.3787393215481194	0.5056603838178002
Nacad	0.3921138035048138	0.2668682271125314	1.1026206931626001	0.25329852802025765
Nktr	0.272909628372914	0.15754920666691896	1.2058941675181003	0.2387662893927016
Cald1	0.21377910832241875	0.0744607923693058	1.2539704076871838	0.5124400383615817
Sema4g	0.3210548666533589	0.3334661254132678	1.165285487206154	0.3958862267390901
Dym	0.40419535982969124	0.24786356693989056	1.0916085746917792	0.19367951360435487
Hfe2	0.007101348199084853	0.015599091594672878	1.4091832044137569	0.5595829216603638
Mtfr1	0.019567939789854383	0.04083484575069327	1.400308580428004	0.3865031708109068
Col1a1	-0.04773511815544855	-0.007399916516849422	1.4475739139370032	0.6615365913098921
Fbxo25	0.38824906166598994	0.15494133243341202	1.1061201908780167	0.1805882635301102
Tacstd2	-0.11814919596390065	-0.07359665649256127	1.4954258229440254	0.6417672083046881
Kirrel3	0.3819108790294835	0.39537045577677205	1.1118355282779164	0.24195122233427052
Kcnt2	0.17689980788694482	0.11281791752019599	1.2830434069921834	0.3701510042722296
Pcsk1	0.3195158139556985	0.21512465916937043	1.1666054911959753	0.2974004971740022
Uso1	0.46778430044838526	0.25396218677541776	1.0317128472124548	0.19921334061316562
Sars	0.2564160949976797	0.1265440512260876	1.219494899540232	0.4360462650646175
Afap1l1	0.22204674295559265	0.12698243211117857	1.2473598174098812	0.3141147516519552
Zmym2	0.3058628864209647	0.12332941475541268	1.17825049423205	0.4086966451993866
Gabre	-0.0016950435957948512	0.008165676831161586	1.4154116317141103	0.6271591945710205
Sema3a	0.2948967850180543	0.1377727060328911	1.1875211282178906	0.4122028239626971
Mta1	0.4116212604194185	0.40125393331484976	1.0847845312139925	0.11613959854824737
Ssbp3	0.41076463537908076	0.3043066986312848	1.0855739169866965	0.2644708333725719
Tcf20	0.48684858448147783	0.40599552550682616	1.0130660546267671	0.13849856395061183
Ruvbl1	0.4361691405358322	0.2117555090129059	1.0619141768186051	0.18622224854803554
Dclre1a	0.1349575036439772	0.057495845404491264	1.3153269527809601	0.4378900948969324
Svil	0.02140330980398232	0.033272050638798206	1.3989972767636232	0.4753397387667162
Gatsl2	0.4028994192402898	0.1925613393034037	1.0927951141542591	0.19599522658620686
Chga	0.44443646895945566	0.4368078056933678	1.054100119571708	0.20249015071574875
Glg1	0.589402508750337	0.5085959385906417	0.9061980923061611	0.0965257884023458
Map7	0.39407844448697626	0.4050527592504762	1.1008374589493437	0.2906288405061884
