	PCC	SSIM	RMSE	JS
Usp40	-0.13358867587129217	-0.011762369737540324	1.505714897230742	0.46434847592899875
Pank2	0.12719361148369168	0.019883086157982958	1.3212164005311984	0.4603991728478291
Nrip2	-0.014428127998637602	0.001081590488225664	1.424379252866762	0.44231671524005056
Tmem245	-0.06952165321162891	-0.0028663475952600066	1.462546856146242	0.42424459289909455
Col6a1	0.2721271390464368	0.0802981051596076	1.206542880260426	0.3309479998311792
Slc7a4	0.26658175520427196	0.036793716096324224	1.211130252942043	0.32975472299604863
Adam19	0.15456796653791213	0.02181772747066035	1.3003322909641888	0.40397787058952533
Abcf1	0.2421960404958964	0.04680630879476564	1.2311002879571622	0.20375974901624685
Pip4k2c	0.34356407254659194	0.10422363193915798	1.1458062030320906	0.1724569964006803
Gm1966	-0.12770622143299443	-0.09239891455801955	1.5018030639421365	0.5664225644563831
Gripap1	0.24016073192744683	0.05285710113920593	1.2327524228915976	0.22667443958797764
Mast2	0.21817606911876797	0.048785424781907116	1.2504590604104016	0.1949292530604399
Rpusd1	0.252455460412204	0.0572115235308614	1.2227383527049402	0.24336871356266826
Pigq	0.2877076263279873	0.03140862347361993	1.1935596957605537	0.26692713817494595
Pdzrn3	0.32556280479229077	0.136507058517448	1.1614105176101253	0.23003639478071775
Phactr4	-0.0007233292384343191	0.014019092495309764	1.414724940925574	0.4486902776121634
Nacad	0.23421477160445353	0.053622134027562156	1.2375663443998035	0.30621376303954934
Nktr	-0.2761537309978028	-0.010694236072056149	1.5975942732732882	0.2703992825025479
Cald1	0.0982125370077276	0.10472318480980433	1.3429724219002206	0.44471848773508116
Sema4g	0.11606379160935808	0.03241096270613531	1.3296136343995881	0.38385399862396674
Dym	0.27678738456507546	0.06424629348796096	1.2026741998021941	0.22848495828293064
Hfe2	-0.03533842788327658	0.0011588938633634233	1.4389846614076722	0.5278548459851954
Mtfr1	-0.15652949646345088	-0.037340622942238534	1.5208744172110005	0.37989606187690933
Col1a1	-0.1082270809061302	-0.08712214101467285	1.4887760616735672	0.5673340444512187
Fbxo25	0.2054535855923772	0.045923199997032524	1.260592253194999	0.21020905131187817
Tacstd2	-0.04521529790479453	-0.003066071517076946	1.445832146485057	0.4755900535035733
Kirrel3	0.1380841303457179	0.042858796729909006	1.3129477290846596	0.2598521091105446
Kcnt2	0.026275782303530112	0.007967880707337973	1.3955100986352411	0.38528178738813734
Pcsk1	0.1814522582600556	0.04064369568192155	1.2794903217609304	0.336261969385761
Uso1	0.2717019504334316	0.044404086393225906	1.2068952312165036	0.2605762798681402
Sars	0.13899266499940077	0.01903588613043054	1.3122555658107142	0.4806342106090218
Afap1l1	0.37795745784481416	0.2647248150454948	1.1153856213482276	0.293704349526061
Zmym2	0.10358917171188554	0.008737443909189846	1.3389629033607422	0.45838435913108827
Gabre	-0.058539919113417965	-0.010809016711079608	1.4550188446294559	0.4966785696889696
Sema3a	0.189509445691658	0.032313149233917995	1.2731775636637188	0.4693229760180211
Mta1	0.20430053078556099	0.03680214264582454	1.2615066145006453	0.13461970975581494
Ssbp3	0.20440914214171374	0.05038891715802447	1.2614205150212883	0.31670014020135556
Tcf20	0.27718306271300963	0.08113692222988651	1.2023451561735432	0.17294937130354024
Ruvbl1	0.26198342843240235	0.055060292539200084	1.2149210439922404	0.2246262031939164
Dclre1a	0.043998698265738406	0.008886603288329535	1.3827518228042677	0.45458222036734197
Svil	-0.24830942828309438	-0.14146056205211976	1.5800692568891372	0.3454005945463585
Gatsl2	0.22173706881634897	0.05020138894778251	1.2476080563892258	0.22793431699442862
Chga	0.2651948614095839	0.06941037734178115	1.21227483566262	0.24291200423936837
Glg1	0.25433319282015815	0.08061022862975603	1.2212017091208494	0.11342562339798858
Map7	0.3356673942143342	0.14317941795945444	1.1526774100203974	0.3254467620461611
Neurl4	0.2403890894903094	0.033599503240998634	1.2325671669403584	0.2151128294362105
Zyx	0.26783019550575704	0.04525722486358036	1.2100990079280642	0.3112413982427366
U2af2	0.13042205027707912	0.027058771971940756	1.3187706015247087	0.13266146807572485
Becn1	0.28175399392761497	0.06820662692317381	1.1985374471182657	0.16059474051426045
Gtf3c1	0.2616894205082815	0.054066967844893725	1.2151630174521593	0.17794781371777657
Cdk18	0.3390751943693999	0.10661298358426004	1.1497171875123031	0.30149083805204147
Lrp1	0.05733360252444407	0.02146052042174637	1.3730742131986573	0.11987116732590436
Dync1i1	0.34373396482491175	0.09061558847641797	1.14565792030177	0.1920925819889981
Myadm	0.24374199592976614	0.057558601728162205	1.2298438958422602	0.3036926735553158
Kcns1	0.17607041410331203	0.04601512419993405	1.283689671140723	0.36504400752526056
Cacna1i	0.3631234854563208	0.13406697588646257	1.1286066759891855	0.21010851030311084
Safb	0.3111482544359787	0.05543597697498501	1.17375614636433	0.14965126999107908
Icam1	-0.06412958643566659	-0.024598863620789002	1.4588554324782608	0.47500942979217675
Faim2	0.3056693943159082	0.07749207906610162	1.1784147026272982	0.20249970719398944
Abl1	0.22751294930914645	0.08545242527025391	1.2429698714698225	0.27010922552704275
Sox2	0.32709663563044655	0.26171852584045213	1.1600891037929404	0.2539865440195818
Csf2ra	0.006120112351236032	0.006033333304711708	1.409879347780344	0.4399723019952041
Sdhaf2	0.13677134763423487	0.019983021183172304	1.313947222962753	0.38181923525810313
Nrg1	0.17809391107345793	0.03483329358074406	1.2821123889320631	0.28822270207887124
Lrrc49	0.24959908000829145	0.04775230405635603	1.2250721774587066	0.28466396623078055
Ncam2	0.31532584387611207	0.06483071919778831	1.17019157074719	0.270332951736667
Baiap2l1	-0.07349382619784084	-0.015311908264782546	1.4652602678008029	0.48899003588463263
Crim1	-0.08443713656172189	-0.01829364516591196	1.4727098400986682	0.35303468862349174
Lix1	0.00010388410984125268	0.01690106188489257	1.4141401033067116	0.3085286198288467
Sema5b	0.23756670788475262	0.046198715529850005	1.2348548838752251	0.32964972985837715
Fam43b	0.2556801532666254	0.06638583583403684	1.2200982310727067	0.2758026924238389
Rxrb	0.33066669963117673	0.0756236323914432	1.1570076061710428	0.15529843864874338
Cpt2	-0.007961359035666277	0.0024758469355702964	1.4198319330369111	0.5252530422802737
Suclg2	-0.07395018731954747	-0.050375315277155455	1.46557168867275	0.5618458063550014
Wdr44	0.08104342894348782	0.007337699187574692	1.3556965523718882	0.49463706071480373
Tm4sf1	-0.12885867408874935	-0.08527982384220933	1.5025702473353777	0.6099886615192641
Ppm1a	0.2686518403151211	0.07390415648951497	1.2094198275907988	0.17193842703624157
Bcl2l14	0.17036604878770578	0.03495940744186872	1.2881257323819706	0.474226094757349
Nt5dc2	0.0332782793472315	0.010903786128363948	1.3904831682927836	0.45955575682939087
Ptgfrn	0.2774922382219856	0.08669520882515237	1.2020879849478698	0.2593459327042782
Nlrc3	-0.009300812288801544	0.0041362137512095986	1.4207750084294155	0.43097843332394703
Sirt1	-0.0038529701779710206	0.005368862555925679	1.4169354044401392	0.4333943120748006
Cacna2d3	0.31443203120040786	0.07119985010085861	1.1709551390207835	0.249818089395917
Slit2	0.25970233593561665	0.06884357432991646	1.216797159812911	0.3479710169696414
Snx32	0.2269890145976039	0.05022551144610749	1.243391318453202	0.19127369395861046
Ccdc92	0.3684341051071536	0.11682773095055857	1.123891360312772	0.17213467624593315
Bmp4	-0.06770365180737056	-0.02016938273382733	1.4613032894011915	0.4856958430455445
Dyrk1b	0.2871742531480438	0.06161236315515236	1.194006488133089	0.18659614588518705
Alg1	-0.0022075481393272808	0.003396909747412635	1.4157736741014277	0.43951813484526037
Paqr4	0.2457708345645856	0.06517096094541198	1.2281931162772526	0.1595325849755408
Mfsd2a	0.29420792236874194	0.2774840906166214	1.1881010711477855	0.2984840420416766
Tifa	-0.09767758575373828	-0.05392040658628897	1.4816730987324684	0.5895678735715497
Slc5a6	0.017549236658162083	0.008222131257306834	1.4017494521788396	0.4507781217091029
Syt12	0.24344880106547992	0.05017469221075804	1.23008227280497	0.32803710593068164
Tmem252	0.059429380035413565	0.05545021594924279	1.3715470243229617	0.5316364348410492
Lrrc56	0.12990885746145014	0.015500827745591082	1.3191596889979238	0.43310991278716293
Has2	-0.05301273638298463	-0.006937761458699827	1.4512151710776622	0.5153219247066831
Mars	0.16534969852002018	0.033133926581335175	1.2920141651545312	0.3480270211697025
Smpd1	0.25719523769085983	0.03514658314950781	1.2188558260181068	0.23429754260947117
Mblac2	0.08162739710295563	0.013561499137401456	1.3552657325388588	0.4471735867803224
Rho	0.07335005236365381	0.017168380348706408	1.361359576038856	0.4441494459010801
Casq2	-0.0637555653778433	-0.029635992880907205	1.4585990301503993	0.5121947286185441
Mctp1	0.22555629239339525	0.04262851423074725	1.2445430547848515	0.3720315647686706
Pacsin3	0.16589205186690886	0.06043378145872472	1.291594323410483	0.20514937500659142
Kdm1b	-0.11346872009573067	-0.007150825993159707	1.4922926791321673	0.5044599200985714
Thbs4	0.060981947713492975	0.0675682214845694	1.3704145739786242	0.3458598094458939
Prmt8	0.39043696963737073	0.11234717961953461	1.1041404171233193	0.21842942105034158
Grb14	-0.049993571671563514	-0.01890436421745329	1.449133238644097	0.5370770585482667
Lrrc46	-0.032147043704456646	0.0029544087744898242	1.4367651469216924	0.46304612498613684
Bdkrb2	0.1293790605664717	0.02053306247552845	1.3195612448336969	0.49461163220082366
Pfkl	0.33933124481990384	0.1181539499486544	1.149494458603517	0.14516464556432762
Klhl3	0.313997405583347	0.08900733469147318	1.1713262520891898	0.23778052975621441
Grpel2	0.19836260263403455	0.021438839617204306	1.2662048786558717	0.4860442976761094
Tspan2	0.16155379614356402	0.18798566435288605	1.2949488050548066	0.4068812569939959
Arhgap39	0.27942068520934776	0.06926274464034668	1.200482665256481	0.18531566477583383
Otub2	0.1871153170510137	0.04096027895973376	1.2750566128207694	0.4164693437618442
Tapbpl	-0.1470246601080093	-0.015062652129825082	1.5146119371693927	0.4318436034224261
Acly	0.2119803158372184	0.042708222357618494	1.2554040657595318	0.18633562986661906
Elmo1	0.23349221930607755	0.06646814790294578	1.238150056086839	0.20892931268064022
Kcna3	0.3606419136093842	0.0874532025060447	1.1308033307260956	0.2836098065524846
Akap8l	0.21392894729443473	0.03419546938773994	1.2538509103602107	0.192075238988083
Fcrls	-0.042276229485213965	-0.0032865715231831026	1.4437979287180145	0.4828432509711329
Padi2	0.2623994888847888	0.2704064055099663	1.2145785368721216	0.36526041585334224
Adamts4	0.46117223207623625	0.4047873673206639	1.038101890879469	0.34514663495754894
Slc35f1	0.31089989549548386	0.06624926059908826	1.1739677205992642	0.276022076002883
Blmh	0.21922815286118189	0.03474876868603506	1.2496174191638159	0.2900804225656704
Lrfn2	0.34630983308455965	0.10643577462687615	1.1434073350433256	0.27769968665322325
Far2	0.26118112415922123	0.049793564476635896	1.2155812402639143	0.3306667857114469
Tmem246	0.28126988697644134	0.045865403071797456	1.1989412938284842	0.27504582095718766
