	PCC	SSIM	RMSE	JS
Usp40	0.06635536285807606	0.036527181089027694	1.3664879341889002	0.4561274859226971
Pank2	0.15898671731631311	0.1189581651136325	1.2969296686279383	0.44090199232837357
Nrip2	0.17659599165681458	0.17222423642297505	1.2832801785605392	0.4321072275789849
Tmem245	0.17239752975649897	0.14192240295727643	1.286547682943389	0.39382653383789684
Col6a1	0.3369154723020773	0.32139610346733927	1.1515941365758366	0.2901377500040446
Slc7a4	0.35612692463279205	0.20427034723999293	1.1347890335804343	0.30433563880395254
Adam19	0.14327766728171154	0.05782577659781671	1.3089861211779814	0.3967022200317643
Abcf1	0.4611782773893456	0.38912628149277945	1.0380960674336983	0.1650830117154646
Pip4k2c	0.46786846411862304	0.45836508478101146	1.031631267344468	0.14225124694772084
Gm1966	0.09053554339320415	0.0319475475094275	1.3486767267264574	0.6194603082303441
Gripap1	0.4952790214048215	0.4161339062714629	1.004709887077039	0.18090915886943787
Mast2	0.386723221172055	0.3658423391652399	1.1074987844940913	0.173592948335402
Rpusd1	0.4671011236018693	0.4338339593817488	1.0323748121667151	0.20451309591946773
Pigq	0.48341186220606236	0.45063887932977054	1.0164527906341128	0.20623990032189585
Pdzrn3	0.33965259670475967	0.32678440276599585	1.1492148652843301	0.21630558419032975
Phactr4	0.08590854928017674	0.10645606138976461	1.3521031400894117	0.454446821228355
Nacad	0.4071594763898545	0.3964331064553172	1.0888898232696873	0.25605904782970135
Nktr	0.2954403978998809	0.22902377584245903	1.1870632688278402	0.24301486107975018
Cald1	0.19162194877730684	0.14566176156760202	1.2715172442579719	0.4317671520955916
Sema4g	0.39533875140037206	0.38514998395466843	1.0996920010617768	0.3543818964237071
Dym	0.4294843553220958	0.4036506208989911	1.0681906615187238	0.19735527122610258
Hfe2	0.037541783884017715	0.0523497245954523	1.3874135764911508	0.5305425064571364
Mtfr1	0.19758982520815593	0.1737606030874148	1.266815041584085	0.34549438831594326
Col1a1	-0.016922444529675278	0.006194696676220511	1.4261293381244742	0.5918062873573706
Fbxo25	0.3470941797063861	0.23024574910469478	1.142721156095059	0.18539220261395395
Tacstd2	0.011687161349282764	0.048110848356283306	1.4059252033097047	0.5569395858655621
Kirrel3	0.3375641304909889	0.3467483364811713	1.1510307289634023	0.24574866472786705
Kcnt2	0.15291919109288027	0.1063563622918306	1.301599638066268	0.36872511295115074
Pcsk1	0.4086684254684203	0.32488046858522707	1.0875031719784354	0.2861461012673374
Uso1	0.3347518661597694	0.29206514018108515	1.1534713987266703	0.2278903923508809
Sars	0.25559928878874255	0.16691827877149937	1.2201645062951612	0.4441563913614708
Afap1l1	0.23746057661081962	0.1434407019178796	1.2349408272376297	0.31066268035998856
Zmym2	0.27299192342650125	0.1717472999176967	1.2058259215769902	0.41520359423938247
Gabre	0.030004293461382777	0.022780326680271926	1.392835745189372	0.5926507564534753
Sema3a	0.24207104651504882	0.1951724043996477	1.2312018140702619	0.4279319704935499
Mta1	0.3262304543857246	0.3106532286759344	1.1608355142863915	0.1306649485411504
Ssbp3	0.4291791331256995	0.3404931254957203	1.068476360874961	0.26995816412865437
Tcf20	0.44285159899189386	0.4329990355290986	1.0556025776854716	0.14994809349806687
Ruvbl1	0.3974448817107053	0.3522807531293705	1.0977751302423406	0.1899430799438476
Dclre1a	0.1834304520132548	0.11317355408331756	1.2779433070263686	0.42606708070461574
Svil	-0.005312177136170396	0.016076496119138337	1.417964863553516	0.39152838648230437
