	PCC	SSIM	RMSE	JS
Usp40	0.21770378237323953	0.10389882865065493	1.2508366940786158	0.4261988824518903
Pank2	0.24388694052331034	0.15779254521123964	1.2297260341040914	0.4236685138784065
Nrip2	0.20411465739355916	0.154731330557909	1.2616539482809395	0.40569683478646057
Tmem245	0.3311696455895431	0.18007310653352723	1.1565728290172277	0.36668407248801904
Col6a1	0.4001145273198422	0.3498780288650246	1.0953405613599427	0.2766446998160892
Slc7a4	0.41540387341457596	0.20762664557865962	1.0812919370691934	0.28262194527379814
Adam19	0.21816114382405943	0.0668950100801107	1.2504709962057823	0.3828628126904145
Abcf1	0.5718728493947387	0.5023052593119923	0.9253401002931426	0.14424940523793217
Pip4k2c	0.5583427844886413	0.4583100786070019	0.9398480893329074	0.1279974996480574
Gm1966	0.219233837660103	0.08870311617131646	1.2496128699240392	0.4103097573622213
Gripap1	0.5383188377202505	0.4053956214654078	0.9609174389922888	0.1704466339391965
Mast2	0.4375728777498913	0.3751135483765798	1.0605914597526318	0.16123334797446942
Rpusd1	0.5208636797025239	0.4185706590011362	0.9789140108277914	0.19242755141859966
Pigq	0.5586109632241362	0.4911217763648014	0.9395627033634992	0.19705307895841306
Pdzrn3	0.32318933488302937	0.27151923217059004	1.1634523326006707	0.21132756042373999
Phactr4	0.2572025148222272	0.1666358866813318	1.2188498555423246	0.3955549017764522
Nacad	0.46414475683860335	0.32385648850935633	1.0352345078883303	0.24886864541036918
Nktr	0.43966074988061765	0.30520591651390605	1.0586210371227114	0.21455036922641924
Cald1	0.045432218479954746	0.055793465047641946	1.381714718398878	0.4270152744528119
Sema4g	0.3485872662955408	0.20890498670438246	1.1414138020056173	0.34035182594149604
Dym	0.49540425861358817	0.4139465795357976	1.0045852292228992	0.18087511511863436
Hfe2	0.18446419242876957	0.06789049601722061	1.2771341414050679	0.49589881264586017
Mtfr1	0.33719268814595005	0.223258913142031	1.1513533878475795	0.3175523064647195
Col1a1	0.07640726086267449	0.08670140482534631	1.3591120182952736	0.43437334105595427
Fbxo25	0.4533339457010583	0.3007041334956187	1.0456252237766095	0.17031311485640105
Tacstd2	0.23842076820700706	0.10235157839197595	1.234163061992209	0.4308122294104423
Kirrel3	0.3020248644636682	0.28671336677125886	1.1815033944397546	0.2367175230021274
Kcnt2	0.28234629314632187	0.12210944755987312	1.1980431602022341	0.33923307685878384
Pcsk1	0.4389387631213007	0.3416439013455902	1.0593028243884743	0.28205740814191704
Uso1	0.4561270485452166	0.35249667320863165	1.0429505754874326	0.20470080390141987
Sars	0.29057440651061905	0.15963825334762105	1.1911554000124251	0.42567162684994514
