	PCC	SSIM	RMSE	JS
Usp40	-0.04155270245020777	0.003201387361827547	1.443296714089108	0.46043999321904916
Pank2	0.1498405124584008	0.03975201362084704	1.3039627966637697	0.4536390586648339
Nrip2	0.022174663818121068	0.011021730791739737	1.398445806016006	0.44568876688705295
Tmem245	0.09719042162301768	0.05283851506004315	1.343733290781309	0.4140554511649137
Col6a1	0.19366908492686152	0.06679401522975123	1.2699062288792344	0.33918837523049694
Slc7a4	0.23427862891671045	0.03415303878868372	1.2375147442218937	0.32271923674471426
Adam19	-0.01703671460080814	0.0034029905404986786	1.4262094618959786	0.40939080537112327
Abcf1	0.4327567070709611	0.14448431357429506	1.0651228031819044	0.19224096057906653
Pip4k2c	0.33876918435888376	0.11668880586846074	1.1499833178277985	0.16629539936889776
Gm1966	-0.02824305311069162	0.017092375307556792	1.4340453640737387	0.49003665043069056
Gripap1	0.4243525320432726	0.13587476594155434	1.0729841265896969	0.21516450051195585
Mast2	0.2922185815604874	0.11238161618364474	1.1897742798022763	0.18697745187209072
Rpusd1	0.3207506243595167	0.0969161533783756	1.1655465461666326	0.23753776571259233
Pigq	0.4570127283416746	0.1598974815360601	1.0421010235656862	0.25000149362103696
Pdzrn3	-0.16203651449682918	-0.0737640396629647	1.5244910721265827	0.27600158479432796
Phactr4	0.0964682563777716	0.09234974039458595	1.3442706153317707	0.42572083053550835
Nacad	0.303262234601528	0.10098862977584426	1.1804556454170334	0.2974000929600047
Nktr	0.14957944777611062	0.036350936341468076	1.3041629899854457	0.26507722901192593
Cald1	0.17744171636734735	0.14217766528350037	1.2826209756842841	0.4104142266048563
Sema4g	0.08498742931434652	0.02660553623637187	1.3527842183331784	0.39315619871399143
Dym	0.41628176407300693	0.15014149369386115	1.0804797415287277	0.21752502560244577
Hfe2	0.09016743242963557	0.015408104292642633	1.3489496414398612	0.5228469445052569
Mtfr1	0.022744263118792893	0.03372224346412743	1.3980384378701516	0.36632530737467794
Col1a1	0.13538811738126158	0.12628270498173452	1.314999530508463	0.4362734810445886
Fbxo25	0.3472764820753629	0.09636510926939602	1.1425616114018853	0.20203196241953245
Tacstd2	-0.03492389254728391	-0.0035531623112736513	1.4386965576849646	0.4961672702486743
Kirrel3	0.2544171784422225	0.12918428105991892	1.2211329342522688	0.24425722988001183
Kcnt2	0.011648928026762529	0.008716266426677744	1.4059523974681625	0.38729989236088036
Pcsk1	0.11588598719184595	0.04578173041948377	1.3297473540550124	0.3391119138522912
Uso1	0.3538132830330805	0.10557803562648077	1.136826035035193	0.2505400521276175
Sars	0.15037253590155475	0.027019781863868848	1.303554727733704	0.4737983313722511
Afap1l1	0.17228906936008623	0.10807122508053907	1.2866319836222888	0.3091880109165078
Zmym2	0.22818475617466566	0.034904865144615806	1.2424292686711256	0.4521415525884852
Gabre	-0.03045259730074363	-0.0072124483341324385	1.4355853142887358	0.5059476387383457
Sema3a	0.15527171552573368	0.035653535417105385	1.2997909712521218	0.4674870286284505
Mta1	0.3418837123460171	0.13975003359843113	1.147271796614894	0.12821295499317534
Ssbp3	0.3123967618924907	0.11772948279289805	1.1726919784048226	0.2982626186579189
Tcf20	0.3761810026575264	0.13263933064058314	1.1169771683812284	0.16987861762777678
Ruvbl1	0.3906334494273642	0.11593469127308603	1.103962454590405	0.21728298796392226
Dclre1a	-0.025838737033324462	-0.001486972628185363	1.4323677858939194	0.4579332344377188
Svil	-0.09453468283177671	-0.05137558128949413	1.4795503930801246	0.33287595281249643
Gatsl2	0.2245643421101878	0.07788843773374075	1.245339839473397	0.22505043007875425
Chga	0.38785542203785583	0.15958379287609575	1.106476007839433	0.23247986664471043
Glg1	0.3965881177929098	0.2341538262403185	1.0985553078539925	0.10343699673753559
Map7	0.31103671590895215	0.20730241876810945	1.173851169519414	0.3208292562255892
Neurl4	0.44088010857879534	0.11782003380898151	1.0574685729809703	0.20686935264253556
Zyx	0.35301414706232226	0.12184004847803075	1.137528771449477	0.2986053228671349
U2af2	0.4035680487374407	0.14527464558062003	1.0921830902028824	0.12450739947991961
Becn1	0.32754776567577715	0.12346215507832263	1.1597001632527466	0.15455579164814007
Gtf3c1	0.4685355339199933	0.16076917732825785	1.030984448068939	0.16805112146338352
Cdk18	0.2777534446529474	0.1376876647566186	1.2018706713678073	0.29271619287280715
Lrp1	0.3581510240924687	0.15835593325204494	1.133003950485196	0.11171906224016377
Dync1i1	0.41450609749100675	0.16264971609985823	1.08212189933389	0.18384090645362375
Myadm	0.3166500917877312	0.11403304889481218	1.169059372497624	0.285138931499313
Kcns1	0.10275147108506247	0.02975950292466417	1.3395883911970399	0.37421952950634374
Cacna1i	0.17632134728136473	0.07483098579433951	1.2834941781859674	0.21706841798117515
Safb	0.47969139940416194	0.19580581647581452	1.0201064656160528	0.13772111021700909
Icam1	0.0676853043760682	0.10085971627225244	1.3655143321283238	0.4291767623363126
Faim2	0.38550091543482634	0.14090316382535137	1.1086018983974126	0.19520863573532865
Abl1	0.1540179229013138	0.11728618530705036	1.30075522455125	0.2671476967256268
Sox2	0.21736525517632382	0.203218324500849	1.2511073054088333	0.2693324181966373
Csf2ra	0.05473106785594552	0.016608385624306346	1.374968313921492	0.4380772709262244
Sdhaf2	0.26859892328587215	0.053180775020985664	1.2094635808606462	0.37383988620185304
Nrg1	0.1303193756509718	0.030027230370851966	1.3188484555467528	0.28793550525002193
Lrrc49	0.25929364830160995	0.07103374634168211	1.2171329850911037	0.28034035528563805
Ncam2	0.2964680169956737	0.09953025143463846	1.1861972711183635	0.26574012206245406
Baiap2l1	-0.00873653383875257	0.026946360557217195	1.4203777904760067	0.48098565662844306
Crim1	0.14133518829977237	0.0654830552915709	1.310469237868808	0.33841117090408546
Lix1	0.10172756355012931	0.10202259966582801	1.340352518145783	0.2971045750760409
Sema5b	0.18075302448795827	0.07260435629765381	1.2800366990926793	0.3301395172586184
Fam43b	0.36889286372889085	0.1199753886355015	1.1234830984675375	0.26551002594577033
Rxrb	0.47410123449855357	0.2026660372877066	1.025571806848693	0.14214566271469087
Cpt2	0.004987192981683399	0.012303975587119874	1.4106826765919522	0.5139264341959502
Suclg2	-0.009802392065477101	0.013990724397436035	1.4211279970963047	0.5139021859118122
Wdr44	0.10192656694293944	0.02436112837675232	1.3402040389858998	0.49064271238305746
Tm4sf1	-0.027284097283506142	0.02567364984566968	1.4333765013306914	0.5247381099550128
Ppm1a	0.4368403151843784	0.1407259176638	1.061281946341896	0.16488432053858298
Bcl2l14	0.18384775850206267	0.05157846349615982	1.2776167199108959	0.45724971208106574
Nt5dc2	-0.008760318139410056	0.0036865622333742097	1.4203945354297944	0.4744141404838217
Ptgfrn	0.05716100449149851	0.022059862159577736	1.3731999093420457	0.26875077012544457
Nlrc3	0.013881284165876301	0.009138422630196662	1.4043637106064255	0.43218834020963337
Sirt1	0.11920864072581817	0.022723882116844327	1.3272462915933732	0.42869547694972354
Cacna2d3	0.2484005135888151	0.10379643951611192	1.2260501510225306	0.24709245929537027
Slit2	0.351247841432629	0.16717236116426035	1.1390804699997021	0.3296090930285694
Snx32	0.292439210868679	0.1077028577428705	1.189588827394845	0.1841826786304588
Ccdc92	0.4807252675283707	0.23899037475339702	1.0190924712425558	0.1610837956682417
Bmp4	0.05963396003503091	0.08020217357563791	1.3713978561781182	0.4375516811953135
Dyrk1b	0.4273625338437571	0.1783947705872286	1.0701751876737222	0.17614180500242244
Alg1	0.2024805554139235	0.0402843363728707	1.2629484903083543	0.43138077589921475
Paqr4	0.47095276459544266	0.24980872973798188	1.0286371910489693	0.14519645633638623
Mfsd2a	0.2319836350085145	0.08023088193472584	1.2393678751617583	0.29397093139589847
Tifa	-0.05701875141771989	-0.018408562629961954	1.4539730062265397	0.5811325575585922
Slc5a6	0.09137689310080256	0.023569849133808492	1.348052748893156	0.4421010871526228
Syt12	0.28607422834440804	0.06662626546274845	1.1949274217755586	0.3098520718671329
Tmem252	0.05076329774869988	0.01740928160889773	1.3778510095444285	0.48724595951466554
Lrrc56	0.2572813870223867	0.06834046029458232	1.2187851434749388	0.42015237711301134
Has2	-0.01512859785496666	-0.00021879095230515873	1.4248709400187554	0.5163285280571919
Mars	0.16546554611167935	0.0565499982839843	1.2919244977074484	0.34310685681124714
Smpd1	0.4199771408215597	0.14510946520777387	1.077054185432135	0.2193467854264667
Mblac2	0.12224434525046929	0.029817710646919984	1.3249570972295899	0.44171247596976826
Rho	0.06688161096613661	0.016073781381117994	1.366102769950975	0.44371600853374443
Casq2	0.05622458600040829	0.08163135460630018	1.3738816644817644	0.44943536545357804
Mctp1	0.2653982454403963	0.08880032385979779	1.212107053489586	0.36277671930889815
Pacsin3	0.18560708865663578	0.09131895250088877	1.2762389363621247	0.20757785220914035
Kdm1b	0.014311433626314388	0.012723058843446844	1.4040573822844171	0.49932977829523284
Thbs4	0.1834573203702017	0.15527704992574454	1.2779222821672678	0.325426505472963
Prmt8	0.16810155996506024	0.05729001818297483	1.2898825063043065	0.22609883065231606
Grb14	-0.006800474263806828	0.01406511327716556	1.4190140762260302	0.5163448426917345
Lrrc46	0.025437553298154024	0.020856220003672484	1.3961106307895845	0.46179732380456323
Bdkrb2	0.11511973551068355	0.07201295114277706	1.3303234677997051	0.4860350095632971
Pfkl	0.39958044866545506	0.17484799700813486	1.0958280442975945	0.13398910463439365
Klhl3	0.22729654597373408	0.10360064190886707	1.2431439611133268	0.237860412025699
Grpel2	0.22791650242837128	0.035004336206955894	1.2426451605922169	0.4817767266518518
Tspan2	0.2825112004135724	0.2671139857616675	1.197905505110004	0.39322994235803965
Arhgap39	0.32269181883446385	0.1306191905413167	1.1638798745278964	0.17946337629483833
Otub2	0.17652307529480446	0.05235652146046317	1.283336997600549	0.4096276190153674
Tapbpl	0.07164013070513708	0.03905972786540634	1.3626150368279826	0.419268471546922
Acly	0.35441030794197387	0.15697886437018616	1.136300745452563	0.1751223103338039
Elmo1	0.2845394444189442	0.16623478161029356	1.1962111482351732	0.20094387551716994
Kcna3	0.20878163311468412	0.08351787523727273	1.257949416220952	0.27944258416102175
Akap8l	0.1005108792135975	0.03776759328476144	1.3412599455634258	0.19232912336046282
