	PCC	SSIM	JS	RMSE
Pdgfra	0.025227698037555413	0.003370151099475905	0.6263700883680771	1.3962609369043055
Htr3a	0.1199664747678115	0.008341658403968595	0.575645879445079	1.326675186496068
Ngb	0.07162391127225691	0.03161709394098454	0.4590689284680125	1.3626269399419222
Kcna1	0.13242829214296584	0.09491073294663917	0.3428036192078584	1.3172484259675803
Synpr	0.10907551246923472	0.018431159360330057	0.5227349520942337	1.3348591592604555
Pcdhgc4	-0.07327134342349971	-0.004210047957635117	0.5753358258115164	1.4651084215330274
Pde1c	0.04310373513420043	0.00937331820624759	0.5885486011659842	1.3833989047746131
Ucma	0.045184958987710605	0.006888582696231773	0.5092277724884489	1.381893658001432
Pde1a	0.16908198318034973	0.05098604138133033	0.3029799049444721	1.289122194999101
Cdk6	0.014057467727299464	0.0009959710815401596	0.644106670634218	1.404238250634628
Btg2	-0.0842837383238033	-0.011773813091417977	0.5431165266382446	1.4726056758846229
Homer1	0.2158695073089846	0.04522367325751359	0.3168603521980259	1.2523022739666454
Nrn1	0.009579669643581826	0.02530121810208532	0.4562310079678433	1.4074234120238431
Arhgap24	0.0403975485613516	0.007505643494079656	0.5722259358245029	1.3853537103849314
Penk	0.1736344376189408	0.05787770549675581	0.4578612863007603	1.2855859071886708
Rgs2	-0.020485581884318132	-5.707835761360493e-05	0.4721216768824558	1.4286256205768664
Syt6	0.30320090515955345	0.1445868282810403	0.4110358949229221	1.1805075983156117
Tacr1	0.024918321663870646	0.0017232509615860054	0.6236756549985404	1.3964824942233465
Reln	0.18581689433942972	0.023928493401467143	0.5548892865906316	1.2760745320400142
Tph2	0.005609234016787142	0.008101065609272838	0.6330454105756826	1.4102416572936805
Cpne5	0.062008044752269974	0.012537977115200558	0.4590071049125695	1.3696656199581927
Cck	0.28959457262449273	0.0646994020878039	0.22460426990265114	1.19197770732133
Csrnp1	0.02113091313085058	0.0019070509533971984	0.6212052956623575	1.3991919717245018
Tnfaip8l3	0.09522494459590836	0.026926387353875918	0.5695776437271469	1.345195194315005
Egr1	-0.07192750990365276	-0.018839390255979686	0.4054619118982681	1.4641909096177677
Bdnf	0.189412228813557	0.010812660243061942	0.4484065128150173	1.2732539190487049
Sst	0.08097165690880043	0.005449466613399218	0.569644099533549	1.355749492414583
Mgp	0.19514384054075828	0.031910789409766584	0.4583823579489725	1.2687443867534876
Npas4	0.1030395602312765	0.020840021383577628	0.5764549793577614	1.3393733159718568
