,PCC,SSIM,RMSE,JS
Tangram,1.0,0.8571428571428571,1.0,1.0
SpaOTsc,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571
SpaGE,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
stPlus,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5714285714285714
Seurat,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.2857142857142857
novoSpaRc,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855
LIGER,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
Tangram,1.0,0.875,1.0,0.875
gimVI,0.875,1.0,0.875,1.0
SpaGE,0.75,0.375,0.75,0.625
novoSpaRc,0.625,0.75,0.625,0.75
Seurat,0.5,0.5,0.5,0.25
SpaOTsc,0.375,0.625,0.375,0.375
stPlus,0.25,0.25,0.25,0.5
LIGER,0.125,0.125,0.125,0.125
Tangram,1.0,1.0,1.0,1.0
SpaGE,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.42857142857142855
gimVI,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714
novoSpaRc,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571
stPlus,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857
SpaOTsc,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.7142857142857143
Seurat,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285
Tangram,1.0,1.0,1.0,1.0
SpaGE,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143
novoSpaRc,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571
SpaOTsc,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855
Seurat,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.2857142857142857
LIGER,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285
stPlus,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714
