	PCC	SSIM	RMSE	JS
TOMM22	0.04461592318310339	0.00776834031042604	1.3823053764034172	0.5216354397921288
AGT	0.003193301844869193	0.009491961224791682	1.411953751477102	0.5427947669551816
NCDN	0.36384074519729104	0.22844025161694687	1.1279709701962273	0.2279514895212018
ISCA2	0.007777369573243265	0.017791131326132567	1.4087033970476233	0.34977164341157574
PRKCG	0.2590108491922137	0.15294609095850106	1.217365311488533	0.3382262169100123
CORT	0.12080397946817815	0.07856296381795397	1.3260437553352618	0.5644314339337635
CALCA	0.04870040581512062	0.03214579680360399	1.379347377700686	0.6092921717636339
LAMTOR5	0.0020241614320565897	0.006809022339115201	1.4127815390696068	0.4662030246868166
HPCAL4	0.38043251282966506	0.3128627338624274	1.1131643968168718	0.22258769967107975
MYO5B	0.05423530945550839	0.017011262716054267	1.375328826531671	0.5621731960340679
BTBD3	0.18458085942601393	0.1320995756395716	1.2770427875165233	0.38696684017292765
RNF13	0.10323560799864474	0.030479360878729225	1.3392269352140103	0.4149544424753889
SLC1A1	0.033505040135092756	0.00882268954244586	1.3903200781581966	0.3632299014100665
FOSL2	0.21275631372967027	0.2153285217159734	1.254785787511422	0.40925261482172803
SLC50A1	-0.1252795015019602	-0.014087234142049479	1.5001863227625827	0.4749448596409905
CPNE4	0.18458588004046247	0.12146956960443712	1.2770388560725452	0.3809442243582694
IGSF3	-0.04158936360181187	-0.01244054654885746	1.4433221148460327	0.4672508159195138
NXPH1	0.05012714903437008	0.04974052648873974	1.3783126285176595	0.5113982933431183
AW549877	0.012267780406851407	0.004951663621138671	1.4055121625892453	0.5346707111832908
LUZP2	0.1569958748983616	0.09875887661584976	1.2984638039634668	0.3946204283507098
PTER	0.014135167255932847	0.007437185235011895	1.4041829173893743	0.5721787464049624
FAM46A	-0.005390065915859837	0.008376964933277291	1.4180197924682574	0.599481332179578
PON2	0.10588356586386437	0.04855055314078556	1.33724824481929	0.39387169336489103
SLC18A3	0.05827374930908482	0.07099417615176819	1.372389340304649	0.5935977839861063
NDST4	0.024424202345518262	0.05443225680482446	1.396836280782026	0.5813066913615162
CDH9	0.09987366153604621	0.10904975115146918	1.3417349503265938	0.5422585980041873
APOD	0.40947207420617454	0.09396713694780127	1.08676393553874	0.31429380504331117
PCSK5	0.013258065680246699	0.013998584343445745	1.4048074133629516	0.5570382934710878
CPNE2	0.08436101850709532	0.027796047287772328	1.3532471921219011	0.49099178634124946
FRMD7	0.002518879283987212	0.04487271120681935	1.4124313227311358	0.6151177568877315
GMPR	0.06992847559572891	0.017334022158878314	1.3638706129279794	0.4853112834751368
FAM134A	0.19706201387713174	0.04136445330488879	1.2672316174424219	0.4168695917452093
TOX	0.034659998049937274	0.016390932651427867	1.3894891161502942	0.483441775292083
FAM19A1	0.095877760156592	0.09172889331856522	1.344709812445353	0.503908586505216
TUBA8	0.09460105531593933	0.10125133574239421	1.3456589052832524	0.47346754986033424
EEF1E1	0.12704951805287035	0.041412579132197695	1.3213254572187199	0.4900280256861445
WFS1	0.1372755591311196	0.05073668768153499	1.3135634288978055	0.5392228681695539
DUSP6	0.07864510863967271	0.05822339253019555	1.3574644683087123	0.3041096536139686
GM11549	0.19745639164518244	0.08083181082337498	1.2669203671540035	0.4433743018773373
FOSL1	0.101847589157352	0.11627512992442349	1.340262967363232	0.5592148548656937
MSANTD2	-0.021097897877912154	9.736758884336264e-05	1.4290541612394627	0.538127796661242
IDI1	0.013271259394318695	0.00820580289376826	1.4047980215003733	0.4721916406389667
CAR10	0.25116288589753455	0.06672013369695719	1.2237950106962077	0.4027902222787483
MAL	0.4465826896991543	0.07756030974502245	1.0520620802032985	0.3252800878703922
EID1	0.3053457746140643	0.15860259678861924	1.1786892935680173	0.2008001008084313
GABRA5	0.001996849976978353	0.005691387990934068	1.4128008706275783	0.5639824926352133
PRMT2	0.12912072352931916	0.06441854769044883	1.319757005263227	0.48923350954175016
SOX6	0.028348739047194326	0.027888940864080922	1.394023859876728	0.5654269677026185
HAPLN1	0.12149857288293744	0.03738652984862806	1.3255198430178725	0.5430800488775049
STX12	0.020097290658742363	0.0035584747303810233	1.3999305049474833	0.5471565816536736
PPP1R3C	0.0856120357505266	0.07468580710032299	1.3523224203195578	0.5346741510325861
BCAP29	0.06893134841149824	0.01727756011502612	1.3646015180912718	0.49784378610362967
MT1	0.3263271920663796	0.24163481551314675	1.1607521767661007	0.26721591333673267
PKIG	0.15570195397379372	0.04135394330395587	1.299459923219032	0.36678792123683895
PCDHGA5	0.022811313327461006	0.018045273410878335	1.3979904768434863	0.522136602933161
ATP1A2	0.4104457886649214	0.3316281667317123	1.0858675898424068	0.36848025725883304
PTCHD2	0.03663581463186719	0.012301248096467146	1.3880664143823471	0.524589739533777
FOSB	0.0852129057052776	0.05391059318008112	1.3526175322645515	0.36127136028546947
ASCL1	0.06419281486096509	0.011665068868775249	1.3680695780105885	0.5201278500576192
ALDH3A2	-0.08533797740544499	-0.01968127915167851	1.4733214024139096	0.4607696158757519
PCDHGA7	-0.05093889003216348	-0.0068699424425399955	1.4497854255248697	0.4954409316981696
ATP2B4	0.16336874116505676	0.0471334156206023	1.2935464884069248	0.45390862078557354
CAMK2A	0.19012981939210302	0.06183575165664361	1.2726902063015155	0.2928431803620455
RIT2	0.22875214779019296	0.07400057668758324	1.241972505500671	0.33877126177730255
SERPINB11	0.11983633137305544	0.025795977826240973	1.3267732802758314	0.5729193854509994
AK1	0.08543873443267652	0.051406396433236586	1.3524505651352463	0.41409622351102493
FOXP1	0.1170139910444347	0.01873507804507777	1.3288987989727172	0.4548168834820072
TRF	0.5354919363186617	0.12907574056616522	0.9638548269125787	0.2523377834846755
KCNIP1	0.12181545619833559	0.04210376945554154	1.3252807580295312	0.5090649216043013
ARPP19	0.3238669330860498	0.1663706862978665	1.1628697836937292	0.2827834826961074
NELL2	0.23337490446927983	0.08333239074127446	1.2382448025578143	0.42381404769290876
THUMPD3	0.03967830776186517	0.013029829112200894	1.3858727879846222	0.43018769701222204
SEPT4	0.4217865230093838	0.11354221278831438	1.0753729371623744	0.3073939487176057
HCRTR1	0.011947797655281183	0.02146228362785042	1.4057398068950873	0.583186626190308
RAB3C	0.2896115537086735	0.09149901490999088	1.1919634610937757	0.3804212880944928
GPR88	0.0625926634612386	0.04352383166736526	1.3692387202666754	0.49310717982563174
ARHGAP24	0.02941463471316506	0.019547438615509363	1.3932590321163076	0.5180334917635787
RGS10	0.013980320578324863	0.007668479275769062	1.4042931883489822	0.5980332511741425
ETV5	0.06577349629584005	0.0035030393002212223	1.366913679574654	0.5813559250169404
PCDHB10	0.035415146037613546	0.03533818656896708	1.3889455381420732	0.4698267397977318
PTPRZ1	0.3107160776867327	0.16865325216056584	1.1741242884066978	0.37302057791315424
NEUROD2	0.11640984191681991	0.0775978214176811	1.3293533451142174	0.4476823088315127
PLK2	0.2471019847218108	0.10383106249359413	1.2271088095830698	0.3450407565650718
QK	0.30751137402561507	0.07775679217372809	1.1768505648334329	0.23795611607694675
PPP1R1B	0.11732527028877436	0.0416237588694165	1.328664539837822	0.48051802423143486
LMO3	0.1341236739092156	0.07543566463442034	1.3159607335257268	0.44298690181607187
CRYAB	0.30047346052526386	0.1027029155302577	1.1828157417575538	0.36147660649542146
TRIM32	0.24734903368675915	0.05586282345279162	1.2269074670187976	0.3487967925669524
ANO3	0.22915794433079795	0.14953511671760872	1.2416457269843135	0.3968343055108811
EGR3	0.36231252121630153	0.15838491162670323	1.129325000859981	0.29725670238778273
CAMK2D	0.17914650488310907	0.06557140553643201	1.2812911418697086	0.46886488315447783
GLUL	0.2611106980523848	0.15066530248574286	1.2156391750413567	0.2094095230154239
ZMYM1	0.1379322080617875	0.04448728520924927	1.3130634348257608	0.43274103095869315
PCDHB7	0.021832788690161517	0.0022886023221182455	1.3986902525647615	0.5816216258943401
EFNA1	-0.05259892305123627	-0.004494415593777342	1.4509299935222488	0.5536537126904479
PVALB	0.6429980830897034	0.5658393199818097	0.8449874755406697	0.3694651167486069
ADCYAP1	0.110246653482509	0.08146742051265236	1.3339815190005377	0.5254480234304708
SELM	0.04221109691950367	0.03716328159839998	1.3840440044164033	0.48011244735359304
AFAP1	0.11114555413993556	0.0516148228943643	1.33330750081147	0.5249020808688587
KLHL5	-0.11227316422246209	-0.016353845185733563	1.4914913102143519	0.609924465704707
FABP7	-0.006631643266543907	0.007650023961122202	1.418895093561567	0.5529315170095302
RAB3B	0.3394160587976871	0.23927826748145517	1.1494206725149092	0.4035102153059279
CPLX3	0.06569071807038913	0.06989404763456258	1.3669742367210955	0.5577344723154631
TLE4	0.31577078278306403	0.0640138928274455	1.1698112815466741	0.33973476314448425
SH3BGRL3	0.04468954726046316	0.018553486128430562	1.382252113573741	0.4607790340588756
ACSBG1	0.19204115988294596	0.06954061652521404	1.271187507897284	0.4797663391040988
GNAI1	0.11443173610932462	0.04748985072475806	1.3308405343170724	0.46235345843632464
KCNMB4	0.03080260467672785	0.017522940910544245	1.3922624718947734	0.46921025632876345
PTK2B	0.334110961812021	0.12007677282939003	1.154026895863332	0.31721237563807914
SNCA	0.3454624142163297	0.17515184918286794	1.1441482297182217	0.22355122648806836
SPINT2	0.0929396037924464	0.023748669384107784	1.346893014465183	0.4763977992928503
GJA1	0.0716171297363056	0.03914489159588941	1.362631916743252	0.5670079874416349
PENK	0.16542302949815843	0.20515788724457165	1.2919574068070834	0.5100654885852165
HCRTR2	0.05319215475647744	0.053295658486885354	1.3760870940776404	0.532509813214199
