	PCC	SSIM	RMSE	JS
AAY	0.15345384001482484	0.09439509209082325	1.3011888102694207	0.31867062080525377
AMA	0.5509265043265643	0.3256691556563436	0.9477061735299985	0.14870203950880112
ANCE	0.5821861546455046	0.41639218237121256	0.914126736677684	0.388051322816253
ANTP	0.2548209886116466	0.09366275923061539	1.2208022046083906	0.47638088092207886
APT	0.6866068423807401	0.41088108225965986	0.7916983739016518	0.2904559770280727
BLIMP-1	0.302030012851359	0.19271205902305577	1.1814990369430194	0.2671517553901118
BMM	0.45838998956278887	0.21146222328522024	1.040778564765062	0.2996281831202518
BOWL	0.6763728912184743	0.5157175557624898	0.8045211107006771	0.29667687558455325
BRK	0.6137586804815052	0.3694288072918254	0.878909915200067	0.1427544603417269
BTK29A	0.40281177516358235	0.23386215000509641	1.0928753129579032	0.1667295210216024
BUN	0.1488379259987171	0.05857554347835405	1.3047314466979654	0.40942608190782204
CAD	0.3816132851520332	0.1634189075316489	1.1121031560498036	0.5144417355709794
CENG1A	0.43441119939049844	0.1411109879124952	1.0635683340618047	0.5230380357899811
CG10479	0.4226901211310026	0.26041268317362265	1.0745323437374954	0.3099339776971799
CG11208	0.7000529115583459	0.35362693503602366	0.7745283577011937	0.3278446104510786
CG14427	-0.1269978188320599	-0.061255139233786594	1.5013312884450654	0.13622894647518408
CG17724	0.5358838613303917	0.28924273031655423	0.9634481186546671	0.40004333220912436
CG17786	0.5517628311054891	0.1519605205652622	0.9468232875193879	0.5060370231266922
CG43394	0.47071132222254486	0.27422877040608457	1.0288718849083738	0.10106615521924135
CG8147	0.3499142430900388	0.20784306789942245	1.1402506364040856	0.14238227375561974
CNC	0.39694358048929673	0.2502388966540253	1.0982316873143874	0.45977914194752245
CROC	0.8670439604081905	0.7973630897288313	0.5156666357091747	0.13999949858800403
CYP310A1	0.8683670349743714	0.6795150517705172	0.5130944650366606	0.24804035260984453
D	0.11090087806680764	0.06397534705033812	1.333490998794662	0.37507992967065595
DAN	0.5870625640247005	0.3424617136047335	0.9087765797766791	0.07320910769609736
DANR	0.5846801169030922	0.3523698516011325	0.9113944075941085	0.06888130845119227
DFD	0.1340168613051102	0.07329090206148822	1.3160418980373612	0.5289860566718462
DISCO	0.5800718271851136	0.4007659035990751	0.9164367657562484	0.39614070743451407
DOC2	0.6454816615346213	0.4493225658963045	0.8420431562163293	0.26115155987491256
DOC3	0.6389192067026316	0.45586583602062236	0.8498009099752347	0.2844464676803327
DPN	0.11963712673957518	0.05675221731344749	1.3269234139621056	0.24345637889722047
EDL	0.42537421833365047	0.11653153893679283	1.0720315122852961	0.5275372904857406
EMS	0.5005615769775267	0.39511852279704396	0.9994382652495086	0.3836468034818402
ERM	0.4466756252341105	0.17265524143871838	1.051973739944006	0.48218576132417607
ESP	0.21970203881574732	0.14288264333480277	1.2492381367731713	0.4090975617407413
E(SPL)M5-HLH	0.40349554040475905	0.2408188831001225	1.0922494766263255	0.4376649056641494
EVE	0.24668074790163666	0.1625602144065669	1.227452037432309	0.2595688348340843
EXEX	0.3075124287417512	0.16885017412497388	1.176849668613837	0.5139095190213925
FJ	-0.10879824289584426	-0.07607788325600087	1.4891596575893695	0.43499067607138586
FKH	0.7945676173195341	0.7062180148458453	0.6409873363498939	0.22142358696972816
FTZ	0.5552862456827654	0.32198493762324687	0.9430946445794658	0.21222895566761485
GK	0.5516805469544004	0.34927758264373493	0.9469101890312509	0.2714370910684526
GT	0.2628411709953267	0.17098474049390536	1.2142148319014006	0.32420027544788027
H	0.19198671206571338	0.08859378897760965	1.2712303394226292	0.25734266625753754
HB	0.21238631500666155	0.11817020442356763	1.2550806229030376	0.3206605255924535
HKB	0.7859228817098977	0.6660162087454837	0.654334957479886	0.27202055428312166
HTL	0.9087856415156893	0.8198364389213654	0.42711674863978444	0.17906921590128727
ILP4	0.8232093412272066	0.6052420941427151	0.5946270407117278	0.2060895825997467
IMPE2	0.7886608563451112	0.6133056295466479	0.6501371296194193	0.18632559390625736
IMPL2	0.32799378173397825	0.18270561253157397	1.1593155034467726	0.11810724817634702
KEN	0.616344207388052	0.33569691639576194	0.8759632328036925	0.4425544816489267
KNI	0.34118306246185953	0.12333687012040143	1.1478823437427204	0.2741526271504799
KNRL	0.7447077945017931	0.5523442201805723	0.7145518952437346	0.32627300199024284
KR	-0.04690058075333304	-0.019070968066401475	1.4469972914648688	0.2745902082808732
LOK	0.47748370534153023	0.28081897150322616	1.0222683548447244	0.2597461000773875
MDR49	0.8252185329224789	0.6759185862319638	0.5912384748602232	0.19240316369829866
