	PCC	SSIM	RMSE	JS
HRAS	0.2771483969221902	0.25524512864454996	1.2023739876409585	0.040016514624880956
WSB2	0.45995866858584333	0.33250317520366285	1.039270254952153	0.038023405490490866
CLDN5	0.40119345567991666	0.28270099887907457	1.0943551017106679	0.11604877400892885
LPL	0.29047288997272136	0.03695585503871711	1.1912406222315277	0.3064087581288936
ADGRF5	0.19431963541727099	0.08435197677678508	1.2693938432044871	0.36973589909955684
CORT	-0.20168805972748283	-0.028476279285928715	1.5502825934180406	0.4852715278784634
PVALB	0.18380692706414475	0.0071948160525333845	1.277648678577844	0.49474844563502984
CTSD	0.5815594065920152	0.3407355299116763	0.9148121046509877	0.04903832644173208
CCND2	0.4300915410286801	0.11039013959870929	1.0676220857319503	0.2501842819199137
HBB-BT	-0.003015730670470123	0.1268158331442085	1.4163444006811834	0.274371281267616
AW551984	0.7859813957076522	0.5050757951351741	0.6542455262244405	0.09827783139892646
RPL37	0.09035879428619387	0.0857531459359376	1.3488077740833244	0.02417505260518064
NACA	0.07895467489227317	0.06889622711465265	1.3572364017426934	0.03065819803512968
PANTR1	0.2441787044027884	0.07872833448593783	1.2294887519592943	0.12154706730256504
AKAP7	0.4668453554878506	0.18337807857698865	1.0326225297872882	0.10528824847237056
PRPH	0.1205890410200964	0.0026479486889149435	1.3262058354417716	0.4421635815239892
FKBP3	0.25025542337855644	0.18897725746710353	1.2245363013169055	0.04212598004206715
TSPAN7	-0.09071171823512167	-0.04268136800966513	1.4769642637756144	0.03184983397379143
THY1	0.36949169861605824	0.26143985897565597	1.122949955593696	0.045962033795737656
CALM1	0.6264125430984913	0.5687108309021097	0.8643928006427503	0.016372779215025057
NREP	0.31566136537690004	0.09329680185573072	1.1699048120450655	0.08029422121726666
NEDD8	0.1326156978123781	0.11552818606988034	1.3171061477250965	0.036690046616977286
VAT1	-0.075616151749796	-0.032644131252477	1.4667079816717408	0.1363630121302553
RASGRP2	0.16847292466893643	0.1236275148611984	1.2895945683284058	0.0786476930796971
ATP5D	0.2669319430579338	0.23157088448337465	1.2108410770551734	0.02476638992340163
TFAP2B	-0.026321538053566122	0.07189573350490536	1.4327048112249545	0.6185364993910281
TRPM3	-0.1501085746117276	-0.0015768748318523722	1.5166466790994715	0.5748284534359012
NDUFA12	0.1605337768003804	0.11314641176588243	1.2957362564963748	0.03584270252669498
NDUFS5	0.18472174116128987	0.13135238398350357	1.2769324640236148	0.03138318494190906
CHCHD10	0.37981639794151334	0.3091419455001771	1.1137177398771079	0.040624234311709743
TGFA	0.27906448170385956	0.08730410537603636	1.2007793455053601	0.2664962218905361
RARRES2	0.47599570649060785	0.1792891406902703	1.0237229053893364	0.37175329594499473
DYNC1H1	0.3079139039079679	0.2326660968138761	1.1765084751858204	0.03776634458078584
ADCY1	0.5684268834663957	0.3652287335791773	0.9290566360923369	0.0541816770463612
ATP5B	0.3969568297112256	0.32879195081032664	1.098219623107122	0.01820369856722636
HPCA	0.3173805969955731	0.05427583870880701	1.1684343396224084	0.09681374394520188
CTXN1	0.5002268487848318	0.31303297154261395	0.999773125479144	0.07329914672275112
NEUROD6	0.6622309907418065	0.23865686991669297	0.8219111986804821	0.19754527106335573
MYL12B	0.3756783423142671	0.27659396207570147	1.11742709622215	0.03188259819376618
RGS3	0.3186057459107511	0.14246360007458767	1.1673853297769754	0.20535681570730757
APBB1	0.41801854828077034	0.3397053614203226	1.0788711245734863	0.033513540887871236
YWHAG	0.385688746300054	0.3238747463833451	1.1084324550462656	0.033404981022718966
PPP1R1B	-0.15227305962582158	-0.029864020030517996	1.5180731600458666	0.38645917434681687
CD24A	0.4868376422989861	0.26776124294552694	1.013076855624502	0.13963756918966688
CBLN1	-0.011176878094143437	0.0014508171858595605	1.4220948478172215	0.26009971851951325
S100A10	0.6223290136846946	0.3799971630147887	0.8691041207074159	0.0657713800480185
