	PCC	SSIM	RMSE	JS
HRAS	0.5491728801088009	0.5464513518727648	0.9495547587066259	0.02566624978906217
WSB2	0.6654917664709875	0.630105110158671	0.8179342681768657	0.024421083490012443
CLDN5	0.2851886896945417	0.31203688626019743	1.1956682736490571	0.15735746659171557
LPL	0.15062557577701202	0.03398834766225587	1.3033605980103802	0.3227549107578442
ADGRF5	0.28738617842803227	0.0785477397880396	1.1938289840441703	0.3566326580665362
CORT	-0.07293586361739315	-0.007932327738359399	1.4648794241284113	0.4492844916396058
PVALB	0.08342981203682245	0.00691204350323566	1.3539351446529317	0.5040623633813296
CTSD	0.45852943867615603	0.2239321201989996	1.0406445707578011	0.07292216068784454
CCND2	-0.25129270710132456	-0.08429060835460564	1.5819561985727193	0.37657760680497376
HBB-BT	0.4056993007225096	0.33980941429100864	1.0902299750763509	0.15291393116443783
AW551984	0.11532026546198831	0.11394273416617273	1.3301727215200374	0.18758380555356702
RPL37	0.7265074766415661	0.7041340404986245	0.7395843743055066	0.009643663454629794
NACA	0.6593846094534712	0.6347735725177902	0.8253670584007202	0.015136352367394981
PANTR1	-0.15947896459662075	-0.05829161968145396	1.5228125062506026	0.16154610613159687
AKAP7	0.29300513991076554	0.22414469822495034	1.1891129972288035	0.11859537421443396
PRPH	0.21142861063248164	0.008236176670568342	1.2558434531162859	0.4338269509907587
FKBP3	0.570113844580405	0.5628807810618695	0.9272390796548591	0.02715036264171419
TSPAN7	0.3733309402590964	0.33853191638094254	1.119525845830192	0.06551164793802709
THY1	0.5598588377045044	0.5560090111078954	0.9382336194098946	0.03514047510755519
CALM1	0.7494951375007958	0.7322504464333116	0.7078204044801255	0.014483050576116575
NREP	0.18906172034185306	0.10246821201420904	1.273529174897966	0.08446294414958795
NEDD8	0.6159252545882332	0.5892914127492409	0.876441379000064	0.018031380544338185
VAT1	-0.03209799399962378	-0.009197698451828022	1.4367310075303754	0.14561957174762669
RASGRP2	0.531592124992731	0.49759324918388237	0.9678924268814888	0.057609159473733844
ATP5D	0.7141791247662811	0.70630635976739	0.7560699375503817	0.011791889753179605
TFAP2B	0.1462012060360951	0.008167955609696598	1.306750774986497	0.573279421910371
TRPM3	0.053384377677229214	0.003094246841952359	1.37594739893847	0.5455158959019727
NDUFA12	0.6896354323707918	0.6376659042694139	0.7878636527080154	0.018646120531510917
NDUFS5	0.6953413847573091	0.621040614099301	0.7805877468199086	0.014721600910456918
CHCHD10	0.6880129303240455	0.6471814245693795	0.7899203373454243	0.02540769800176019
TGFA	-0.06124390015063785	-0.01956064553947438	1.456876041501567	0.31443132115484884
RARRES2	0.0694228946970518	0.011140077046616936	1.36424125821128	0.4498236613024328
DYNC1H1	0.7188118027865403	0.6446013147078021	0.7499175917572006	0.018358948722153476
ADCY1	0.5499012280136485	0.512927048314108	0.9487874071533111	0.05410956332296441
ATP5B	0.8150070021942171	0.8176992646552177	0.6082647413845107	0.007030878864309728
HPCA	0.6218533314581477	0.2999270663298619	0.8696512732605551	0.06764101892714897
CTXN1	0.7815595323585436	0.6730783458667782	0.6609696931652104	0.043001821049967165
NEUROD6	0.788111478333591	0.44413619388321063	0.6509815998419755	0.16894993131623492
MYL12B	0.5256543482395896	0.48812458429608524	0.9740078559851664	0.026610272496985117
RGS3	0.26294571076814843	0.27277312913226925	1.2141287322453511	0.19210159697245305
APBB1	0.6894203961188197	0.6732784429751715	0.7881365413190538	0.018051792156213647
YWHAG	0.44249180911640845	0.4381117320340175	1.0559433610602336	0.04184190044000052
PPP1R1B	-0.17290992386448428	-0.07363479015900312	1.5316069494909486	0.4227946938249655
CD24A	0.7432173679379188	0.6626955282188366	0.7166346796828649	0.07576783779599834
CBLN1	0.05618245969701041	0.06831026522763281	1.3739123263898534	0.24721010299221355
S100A10	0.7109453328801169	0.6092744102416272	0.7603350144770172	0.05607143006147172
PRR32	0.20267901954857015	0.00974835338684012	1.2627913370398371	0.5917700794526171
TECR	0.6406768102771103	0.6427308637794684	0.8477301336190541	0.01781271546237405
MT3	0.08923215591763223	0.09771827735931522	1.3496428002122396	0.13109373213435843
APOD	0.37242462957435507	0.08254016490539719	1.120335102034784	0.30782336171196056
GFAP	-0.1716052674674549	-0.0124553013183025	1.5307548905474415	0.4561932024991212
NFIX	0.40747717718972626	0.2207000999377801	1.0885980183798554	0.21767081911983144
LYPD6B	0.3023111903003998	0.07039197261001871	1.1812610293238326	0.21575349298942775
ATP5L	0.7911593143769147	0.7532094774978472	0.6462827332106055	0.009883947891195306
TSPAN3	0.5743197189570994	0.5573494210889893	0.9226920190864345	0.03129753744182112
UQCR10	0.7525508294481571	0.6991552906530394	0.7034901144320973	0.012628665690901507
NDN	0.5120352927223752	0.5020919303713242	0.9878913981583448	0.028557078256269634
DCX	0.5505158902858617	0.3967901265897335	0.9481393459973468	0.09737054261277073
SV2B	0.4765248515689604	0.39532979151640674	1.0232058917256484	0.09517678330048651
STXBP1	0.5155005089827093	0.5226234672165441	0.9843774591256047	0.03194040199160268
CPNE4	0.3537529177140162	0.11490417970024587	1.136879133668996	0.22032638669889032
PRDX2	0.7384405415911073	0.7325002182833789	0.7232696017515086	0.010586819598690442
CSPG5	0.43610092569810854	0.41739343640277227	1.0619784124942386	0.04953364668669155
ENC1	0.5725125932092561	0.34357274101700636	0.9246484810896993	0.047963119295966375
COX6C	0.8255624005623279	0.7648683606880543	0.59065658285957	0.008475997430978936
NDUFB8	0.7239662000330387	0.7017630860701122	0.7430125166737924	0.013148767564275347
ATP5J	0.7308991290822668	0.7061264514630129	0.733622342786441	0.011891133030389174
KCNIP2	0.439602545561518	0.27023083663145553	1.0586760169555953	0.16729186460997514
SYNPR	0.4599625416111209	0.29099612511982603	1.039266528267777	0.16002930233653206
GABBR1	0.6630282749604901	0.6563347785723441	0.8209405886414801	0.02051199130917645
NTM	0.47734203121765284	0.4325272030737578	1.022406933449052	0.05940228412518611
ZIC4	-0.01685560822296898	0.0014835669812800687	1.4260824718248022	0.4860071905820952
RPL24	0.7171359493595328	0.7169919907229982	0.7521489887521848	0.009576084201875558
C1QC	0.2869394101916869	0.2352517489111354	1.194203156760451	0.23167728434492296
CYCS	0.6371849072489078	0.5750335430204985	0.8518392955846689	0.020784534219528358
ID2	-0.020889581768547306	0.009112044063169239	1.4289083817855834	0.1614472245818721
TRH	0.07695908278323324	0.010916551292344777	1.3587059411195397	0.37568066042422055
TTC9B	0.5612495997322434	0.5526098366331896	0.936750127053908	0.027184545302263913
RPS18	0.6064832716570484	0.613629157134255	0.8871490611424346	0.011501730987235547
RPS3A1	0.6295643733303147	0.6122066427316891	0.8607387834525471	0.013515725927628562
SLC18A2	0.062360153680023386	0.012567540701252182	1.3694085192666041	0.4083541553671156
