	PCC	SSIM	RMSE	JS
MCFD2	0.6719790436733575	0.1699024179886332	0.8099641428194737	0.377129091132808
SERPINE1	0.4205834204687736	0.08145581637700776	1.0764911328303883	0.3196366791486485
TARS	0.5143732927081087	0.05947005737046518	0.9855218995962408	0.4366965619362031
GPR135	0.04100888901520308	0.0030572895371403985	1.3849123517282937	0.6818315479197306
GTF2A2	0.5949177134498542	0.10917199892217244	0.9000914248565484	0.42365853996284986
PSMC1	0.5462093417453562	0.08151819797090665	0.9526706233054989	0.4311983211054885
BAG1	0.6181470743691466	0.1437534243982241	0.8739026554838397	0.39464455628552353
EIF3I	0.6328062226180438	0.13825716385122064	0.8569641502209483	0.32035226324605054
PGRMC1	0.553727417054334	0.10018837227619896	0.9447460854067254	0.3636787162925387
CNBP	0.6920152702811652	0.13946923307200076	0.7848372184330134	0.2978717421823676
AHNAK	0.7533611813710357	0.24859202141354164	0.7023372674562617	0.2501417164502593
LAP3	0.4945851253150872	0.05157932673812378	1.0054002931021184	0.48315187004023974
DYNLL1	0.6191706748474605	0.2331976013109082	0.8727305714280204	0.2942579584452322
HLA-DRB1	0.09468506537594444	0.18854944794264783	1.3455964734080241	0.3466070252775875
STIP1	0.5641067434028547	0.18090952490579423	0.9336950857717368	0.3559926093045844
TMEM30B	0.5791828635655935	0.12380462692258479	0.9174062747053854	0.4401028634051507
GLO1	0.5914830816501685	0.13349426300440384	0.9038992403468781	0.39961253580668876
TBX3	0.5802912381905041	0.11474299515411422	0.9161973169677979	0.36209543180929543
NANS	0.6599551952306296	0.14143498689835207	0.8246754570973608	0.3684164905738099
PPA1	0.687863790916581	0.15645172913057614	0.7901091178861546	0.338578537011879
CELF1	0.6488291054434712	0.18019064289324244	0.8380583446950803	0.3758970465080278
EDN1	0.2238473147244402	0.06807897506838155	1.245915474882273	0.4565780400675836
G3BP1	0.6489412341003004	0.19742126813947605	0.837924538248761	0.35622249517396015
NAMPT	0.7180360836423154	0.33702242429996493	0.7509512851812488	0.2731504303034307
PFDN5	0.6273807092163106	0.29157951888097317	0.8632720206095983	0.2625804198429328
PLPP3	0.5017036797272977	0.20580056442886308	0.9982948665326317	0.30130407817527616
CCT4	0.7056206401660902	0.2196821753854244	0.7673061446826944	0.30132765207010087
MTCH1	0.6571119791291851	0.21183533152332623	0.8281159591154065	0.30793120130879886
TCIM	0.6351722304733801	0.2622210133488462	0.8541987702246121	0.3788615824976882
MRPL52	0.5679658827610633	0.09743889391003163	0.9295527066701883	0.4398616102030962
PLOD2	0.4220178434832921	0.056657343937751264	1.0751578084325184	0.45753458706117256
CDH1	0.717896561149844	0.1641282130864372	0.7511370565351649	0.3835762335123074
TMED10	0.6560703819203473	0.10736737064052877	0.8293727968527214	0.3638938898814612
VDAC1	0.6439687544802052	0.15713236896617888	0.8438379530689466	0.3816818224146152
PSME2	0.6694788945022736	0.11949095184149186	0.8130450239657413	0.39542421224062185
LAMP1	0.5971277459006357	0.13595958608826048	0.8976327245587299	0.37391558738621744
HMGCS1	0.6067249642654456	0.15451808205378836	0.8868765818698273	0.44611481872343656
TMEM165	0.6549423530521312	0.09985871998808063	0.8307317821630142	0.3772793881327303
COX7C	0.7277181789120983	0.24988502126179635	0.7379455550213742	0.2829590672462252
FSCN1	0.5735154030728578	0.09124010356532578	0.9235633133977795	0.4037392208887605
TIMM8B	0.6256706364386168	0.12487091934205166	0.8652506729975807	0.443439721530956
PRKAR1B	0.20883998111395013	0.007817741245887574	1.2579030319432813	0.5966813916188443
ATXN1	0.4710843089293539	0.03137754959657055	1.0285093009503086	0.43295269145197857
ATP5MC3	0.707798836281061	0.16067572458882737	0.7644621164177321	0.3510894805064425
ATP1A1	0.7025715957983616	0.13671479583621776	0.7712696081159147	0.28871150922176725
FAU	0.7994361362128527	0.36845909950791944	0.6333464514578847	0.17732161919820075
RPL13	0.833887216128304	0.40644038415481565	0.5763901176663184	0.1297641255880538
KRT18	0.7029541626603948	0.09975245198721225	0.7707734262928442	0.2661643199102051
GNB1	0.6713374076797436	0.2007069291420461	0.8107559340766569	0.32899222552250573
PRDX1	0.6770143099623193	0.18273762701730667	0.8037234475087569	0.26886873766725616
MYH11	0.17803689030792025	0.044186646920880354	1.2821568622380646	0.4377713924623351
MAP1LC3B	0.6455670600800933	0.24015895342337826	0.841941731855485	0.2762758970877738
GDI2	0.6508996835387325	0.14313012375477566	0.8355840071007437	0.3504868746226395
CD59	0.7354932312727346	0.13670768269875344	0.7273331681248495	0.2380838966090441
EGFR	0.5319542931792726	0.06951199466979789	0.9675181722538625	0.4582945369428797
MTPN	0.5949578837211296	0.11969352143848588	0.9000467946488897	0.3793354617082408
MIR205HG	0.5534068198927631	0.05769445039221384	0.9450853719185764	0.39146916102161056
SPON2	0.4161392253177192	0.3139864498042114	1.0806116552048481	0.3333715131068442
NCAPD3	0.37885436180963894	0.05875761195072707	1.1145812112092695	0.4539687000487516
SEM1	0.6249738355214499	0.16766274661144745	0.8660556153949351	0.3745875888440017
COX5A	0.6526090670144664	0.132900121474546	0.8335357616629696	0.3910580803554261
POMP	0.6082037146597997	0.09492073777465383	0.8852076426920412	0.3640908035866012
IGF1R	0.5801480311985937	0.08536698977189773	0.916353609477702	0.4294950699687095
CCT5	0.6496847119325213	0.08958873905062083	0.8370367830238752	0.35601537656042515
H2AFJ	0.6971327009922583	0.40334891302853026	0.7782895335384403	0.34684333203134293
RBM47	0.6939844980920428	0.38307645720708544	0.7823241040744652	0.37583300616255055
SEC61G	0.722242866942864	0.15556652936295134	0.7453282941860396	0.33482457652070885
RAB10	0.7462585941410462	0.26790934087714435	0.7123782785275726	0.3647455243615834
WIF1	0.10223904184193462	0.07053401435313762	1.3399708639803072	0.4693477318825686
RPL7	0.8128111763496888	0.34993188882102033	0.6118640758376178	0.18248259764569763
PNP	0.566258364931258	0.10872894351046954	0.931387819405796	0.3331100568104607
MMS22L	0.2641136770709174	0.0052393203443354885	1.213166371879045	0.6540299139519081
PA2G4	0.7001644514912473	0.143969774539859	0.774384334176193	0.36094594515123013
CEBPD	0.6304024468082505	0.2011485780964892	0.8597645645079232	0.2891442487318559
FDFT1	0.5292601432939396	0.07421331186007685	0.9702987753326914	0.4617661230777702
ATP6V0C	0.5650932016358304	0.31216996161521954	0.9326379773139948	0.29473016221485476
TACSTD2	0.7970479980279508	0.16291227719572599	0.6371059597461777	0.30169871202686604
PGK1	0.6496364235256663	0.1198010143534432	0.8370944707430981	0.3018625333777886
CAPZB	0.6692468506121596	0.22096848969264185	0.8133303749250247	0.34260459543707916
SH3BGRL3	0.7467149354292225	0.16881308454895605	0.7117374018144298	0.24095672282309416
RPL34	0.816774917197246	0.4118452425703809	0.6053512745551196	0.1657517962353484
CXCL10	0.05079689672479363	0.003714777521755385	1.3778266242711428	0.5975039599666366
SSR4	0.7367566952305062	0.2943404733367767	0.7255939701644353	0.2724960651661571
PSMB1	0.6111718627458456	0.08248192494883404	0.8818482151188539	0.3545419505611521
KRT23	0.5543762332170131	0.3321707611979771	0.9440590731336539	0.3246103264769886
IGFBP7	0.5629618192315453	0.31606321158495565	0.9349205108119671	0.17752258283345626
CCNI	0.6821997855535844	0.29034317022269757	0.7972455261039922	0.27521798945930415
RPL41	0.8605162472252026	0.3424773330950134	0.5281737456080099	0.1229666154392608
GRIP1	0.047114540439673495	0.0006987742053041331	1.3804966204669435	0.6826179861912627
IGFBP5	0.2915845292219948	0.23045401600766544	1.1903070786801238	0.30612050496665355
NUDT4	0.641615201705892	0.28799554806860733	0.8466224640229056	0.2915777246483119
CD164	0.6390644757783758	0.09855587567270305	0.8496299479439555	0.3923600370124246
HSP90AA1	0.72217595630337	0.3936486064876985	0.7454180621592559	0.1225880242152535
SNRPE	0.5972361389573433	0.08848861324968	0.8975119620848033	0.4226013923695804
S100A14	0.7013056897552689	0.11717873898173921	0.7729091929130241	0.36600902491249176
IRF2BP2	0.6561524821389113	0.15432704304893718	0.8292738002144873	0.3299741454424575
TMEM59	0.7062854478232786	0.24743892401848086	0.7664392372220011	0.33432545049930296
SOX4	0.4328035292183646	0.03058073924393713	1.0650788428859486	0.3880579771910254
AC004951.1	0.07152066827702454	0.0016157131723399027	1.3627027054519083	0.6805116296276028
PPP1R14B	0.5670735801914422	0.086506970234606	0.9305121383502287	0.40629510024547444
SMIM14	0.5674771749363423	0.13360703923226577	0.9300783032236131	0.4396745434439021
BRD2	0.668208081470548	0.21591447253997054	0.8146065535329946	0.31509502249289756
RBM4	0.6552403875290562	0.1262403715686665	0.8303729432862608	0.36855788523346944
TNFRSF12A	0.5731082517212737	0.17181271431298745	0.9240040565698034	0.3137878773272632
RPS20	0.7922791582679992	0.22932179826832913	0.6445476580238279	0.1905360951601009
UBA3	0.30338995615707226	0.013618546289641846	1.1803474436308385	0.5357871994056407
G0S2	0.481124340200896	0.07723400762576249	1.0187007998417437	0.41226377082933635
ARF3	0.49734316958164043	0.048558510407969595	1.0026533103903457	0.45591237101255283
PTN	0.027874027803709237	0.05836377586098628	1.3943643513775663	0.3883826229068472
AGTRAP	0.4949813618284559	0.07186375574943275	1.0050061076148185	0.45443172984885194
AP2M1	0.517638132823202	0.051834611483420216	0.9822035096422717	0.384719157683733
EFHD2	0.5719409072055119	0.12149106896448032	0.925266548400501	0.42349009827706074
DSP	0.6021357356066244	0.21325562841398807	0.8920361701112522	0.4101582471670279
MORF4L2	0.6752536467029017	0.14241215436470017	0.8059111034066951	0.25585202970519266
