	PCC	SSIM	RMSE	JS
PTPRA	0.4660988542052332	0.048062090871945816	1.0333451947870727	0.23407052969251987
MTFP1	0.4862276909444414	0.07341955031357214	1.013678754887917	0.2157464750676068
LDHA	0.7433496882593699	0.23924238960136682	0.716450014642515	0.09571223333767023
ARHGEF25	0.4825565089419197	0.03961875809570602	1.0172939506927976	0.22457736854487326
USP22	0.5372824545654256	0.09606991618433466	0.9619953694634652	0.17550984825240667
RPS15A	0.5909171004436392	0.2063972666081727	0.9045251788163344	0.09939814802750355
APOE	0.24606976919271495	0.12194071745478767	1.227949698324231	0.233336375865578
TUBA1B	0.7397767571283246	0.3156516140932043	0.7214197708292662	0.08389562921544498
CPLX3	0.4101212698218659	0.15769983871700516	1.086166405462933	0.4553125082594568
ARPP19	0.6789520194068304	0.2321982277189511	0.8013089049713222	0.12523768876109925
CHD3	0.4961837600845762	0.16991575702991618	1.0038089857292807	0.18663542999238109
ANKRD46	0.4827621115656895	0.04520642499834194	1.0170918232237542	0.20229984883975788
TRIM9	0.57457797452193	0.09272816847828962	0.9224120830497285	0.16713616354044353
COX5B	0.7375933531718252	0.3212423702947458	0.7244399862351257	0.08130318755365053
ARL6IP1	0.5918414395967132	0.08918794951511334	0.9035026955170491	0.14442960344840045
APOD	0.3785945110474324	0.17111263178695246	1.1148143244079416	0.35002290800603814
RPL28	0.6312290210218028	0.20935460677634246	0.858802630385116	0.10554552124747202
ELK1	0.38780344087188845	0.03870580296762522	1.1065229858688987	0.33437477479968347
KLF13	0.5030045791367428	0.04987497778830014	0.9969908935023	0.204673701604437
HNRNPU	0.5462632593295103	0.058494521249403256	0.9526140253749048	0.15065033397150554
EEF2	0.6831338092198198	0.2689209429312235	0.7960731006386036	0.09226937978014574
MT-CYTB	0.7560002287387331	0.6176667874240697	0.6985696404242983	0.07736898508295241
PDXP	0.5662548459283449	0.07075551452103879	0.9313915976340514	0.16280883302562882
PRKCG	0.5215135988499443	0.0908973279243964	0.9782498670074594	0.2325263932764639
NSG1	0.596026770426213	0.1809074597761657	0.8988584199681137	0.15095860017554152
R3HDM4	0.5212994377289294	0.055273398218204595	0.9784687652358358	0.20669912884848318
MDH2	0.690871357098723	0.16247033766315386	0.7862933840511148	0.0975851992852041
TIAM1	0.23104933363045743	0.10981556859916179	1.2401214991842875	0.3772259074850087
DBI	0.3460363935732169	0.3316316968556407	1.1436464544838871	0.1229065850108309
ARPC3	0.6005794779362358	0.12604566806490622	0.8937790801576911	0.15079269731061
IER5	0.5725844977408151	0.15663299253167753	0.9245707136386974	0.20083543962684033
KIF1A	0.6973931242726509	0.28744125500439865	0.7779548518099866	0.10331866713857088
NT5DC3	0.3954893700327401	0.03533965143844339	1.0995550281520792	0.25668327772629684
2010107E04RIK	0.6805394045167279	0.3135117463254197	0.7993254599764383	0.09188114198300107
PRDX2	0.6344221270141582	0.2666501212225986	0.8550764562141117	0.11879261674010712
NDUFB10	0.6134849135998695	0.1262718032877433	0.8792213446000167	0.12662339498380693
CX3CL1	0.6904837380428986	0.14565755871974312	0.7867861996210938	0.10035180643447278
JPH4	0.4772192069888034	0.08199291089792303	1.0225270588216202	0.20647281045372717
RET	0.0008277089997720371	0.002085928952201964	1.4136281625662586	0.6485439174945065
RPS28	0.6399041471505692	0.26884836754571173	0.8486410935718711	0.07817276107256768
BHLHE22	0.3933334680476513	0.02814529376199668	1.1015139871579922	0.3019674832855328
MEF2D	0.529757647425693	0.048082316154534954	0.9697859068622385	0.19796570354545312
EEF1B2	0.558955329152873	0.16539187965771823	0.9391961146077287	0.15016603580225885
NPY2R	0.01638016425940042	0.10795006551282221	1.402583213745694	0.6163746801925489
SYP	0.6236125166003825	0.09107723203631804	0.8676260523977103	0.13304920193459274
COX5A	0.6666763420101571	0.21613801761613774	0.8164847310144178	0.10756775007791997
EHD1	0.2674511101895458	0.01115558328492625	1.210412235406148	0.4101011317656955
BTBD3	0.23195064937629548	0.11244204948992789	1.2393944897599833	0.2873479130197061
SYN2	0.6379850580394644	0.17894615786151755	0.8508994558237016	0.11211678310735543
PSD	0.6176976773507397	0.14223806284613	0.8744167457788764	0.13736487139374448
ATP6V1C1	0.6369419802297815	0.15633868912282536	0.8521244272642565	0.12510969342826433
YWHAB	0.6550897100983676	0.1433823455967995	0.8305543810029928	0.10185232295843262
LDHB	0.6974877559300083	0.3993197620189825	0.777833200718498	0.10388950194856303
RPL18	0.5460136206415598	0.16526727793213727	0.9528760458301389	0.1262638415505447
NAP1L5	0.5947050950872769	0.32179759185926826	0.9003276124974987	0.14183663951230668
EID1	0.5481717822217068	0.08298359296256151	0.9506084554413482	0.17029908666409765
RPS12	0.5491174224429737	0.372441586719587	0.9496131607734034	0.135241927612398
IRX2	-0.006544013588179874	0.17059511531981997	1.4188333331213923	0.6931471805599452
AK5	0.5433596598628121	0.08183971663466055	0.9556571980968784	0.18388520339191675
KALRN	0.5504283663944697	0.08229251635779718	0.948231652715232	0.14780806028864082
GNG13	0.6624661450058039	0.3262334659817788	0.8216250422111002	0.11861378608878173
CALR	0.5937426830213336	0.11818301603220085	0.901395936288451	0.1262760575567599
TMEM59L	0.6280163545839378	0.1550567420892648	0.8625353852637726	0.13388772992248815
SYNGR3	0.5948762179662893	0.22541024655481975	0.900137525085707	0.1589368383654954
BTF3	0.4956216957722587	0.10373977651770204	1.0043687611905718	0.18419580810020414
FEZ1	0.542888528919953	0.08121856906582406	0.9561500625739111	0.1501329942832197
