	PCC	SSIM	RMSE	JS
LIMA1	0.4706361676294722	0.4209614852745761	1.0289449279436949	0.30383055382499924
GSTP1	0.7229736742594078	0.5704629188245356	0.7443471310357719	0.12837180900833028
PFN1	0.5544117708997706	0.38413021970405564	0.9440214288883801	0.1699864273327516
TAPBP	0.3992645865271571	0.1545073860484077	1.0961162470037957	0.3591743835721633
DSG1	0.5214966201360176	0.5052631186849524	0.978267223067381	0.20094926947747493
SERPINB2	0.21313292374002055	0.16695733923247014	1.2544856127193962	0.33852302373737564
DAZAP1	0.484203295560445	0.3690820138002894	1.0156738693493645	0.3421269242244491
RPS23	0.7414752021667077	0.5383326335960881	0.7190616076989402	0.19280718916159262
RHOC	0.42240395283345644	0.3423830348227887	1.074798629666547	0.3291655595731058
EIF1	0.6486971513942228	0.3423393360593236	0.8382157820105478	0.23743541168891452
FLRT2	0.23989786845047087	0.23761041516102016	1.2329656374364446	0.3925382287898716
COX5A	0.5546867840554758	0.3712939232863643	0.9437300630418892	0.3199517774069983
RPS18	0.7707029541579601	0.48794585107680694	0.677195755807787	0.16910510128116285
CAST	0.5087789259435602	0.3002498668039168	0.9911821972336264	0.2585587127026979
MMP1	0.1363642268149706	0.076952683470808	1.314257032079364	0.4415996713459311
HNRNPA1	0.5531591952962822	0.22496667910295493	0.9453473485483713	0.3041904658850706
ARF6	0.43455935292574316	0.22391565007085626	1.0634290263804695	0.31885644621599557
RPL36	0.74586966821093	0.5467822073193717	0.7129240237066918	0.18882886112204544
TGFBI	0.32349453813306495	0.37835438061089144	1.1631899774902938	0.2854366125288265
SF1	0.4739116604515505	0.3025509804562293	1.0257566373642917	0.31696657208779017
FUS	0.4993801466791424	0.2678595764726462	1.0006196613307752	0.3212583997019678
CANX	0.537055321111636	0.33395369618996507	0.9622314470940597	0.2648544173486779
COL3A1	0.374566943671351	0.1859184677519883	1.1184212590331506	0.42292229911212165
ATP6V0E1	0.38330959754182714	0.12416006639963033	1.1105767892929987	0.3825714922613626
ISG15	0.07149481357708279	0.1186149893225014	1.3627216784236738	0.3961494521795389
SPRR1B	0.47323164533787976	0.16602658536116666	1.0264193632839553	0.26245472990716423
SAT1	0.29365187487132005	0.29956539844898467	1.188568992636675	0.24747622886537635
ODC1	0.2970103832360218	0.3031704363782355	1.1857399518983733	0.33210349227443514
EIF4G2	0.6505687479612364	0.5174262805752367	0.8359799663135039	0.1966167938755328
FAU	0.6820795268896944	0.3406261030921361	0.7973963545318042	0.23578135074209136
LRRN1	-0.005664646771502746	0.05475951762655383	1.4182134160777797	0.6931471805599452
RP11-856M7.6	-0.0032160094190047247	0.13104863258974317	1.4164857990244764	0.6931471805599454
MAP2K2	0.4202695765232999	0.20622969985665202	1.0767826368183135	0.372980876135933
TOMM7	0.48553546510351675	0.3238804452958756	1.0143614098500429	0.3442824408619999
ASS1	0.29051759863589577	0.2557894837025391	1.1912030904628348	0.39841415515912776
DAZAP2	0.2717586225390567	0.12797620876909596	1.2068482733640904	0.3763015156163363
MALL	0.4600997607160511	0.47437248136868715	1.03913448531357	0.2452757027775654
C1S	0.17914456252682676	0.19280452422104072	1.281292657805525	0.508411244959667
SH3BGRL3	0.49219613905548104	0.3320530499715093	1.0077736461572302	0.2405292406328961
TMBIM1	0.46276077124805676	0.2985151112076101	1.0365705270283765	0.2588754518026023
TMSB4X	0.1931837838686701	0.11473836856463397	1.2702883264293425	0.27529156799698495
FABP5	0.6873941477026148	0.695904700201503	0.790703297447766	0.12982177811667284
RPL3	0.7490602081669728	0.4813423216538072	0.7084346008390999	0.19493882363443654
FBL	0.5536212120077426	0.33784351698097015	0.9448584952174134	0.32623729292063364
SLC38A2	0.473121926574841	0.22603999770131	1.026526252392172	0.25113834446925987
PSAP	0.2979169444339743	0.12251918338234544	1.1849751521158793	0.2986507939756328
COX6C	0.5966871026520533	0.301914659414276	0.8981234852156429	0.26882671699870164
CTBP1	0.3910744138310668	0.17928025355290425	1.1035629444385429	0.38069903515369924
ACTN1	0.5512683123201525	0.49347948738242403	0.9473454361317708	0.18677645448557273
HNRNPD	0.5967141245085203	0.5353287299148497	0.8980933976947828	0.23212929928226356
PRPF19	0.483523436750999	0.23122768128946294	1.0163430161603915	0.37553133122752014
CKB	0.3281643463892072	0.26874338532173325	1.1591683687979004	0.34497159718648457
EIF5A	0.6327109809042131	0.4596026586385153	0.8570752815194085	0.24307230715658756
ZFP36L2	0.2457265987737467	0.16524759421696422	1.228229132716085	0.28969241341481966
CSNK2B	0.4383460504206815	0.21276145874543628	1.0598622076282544	0.3461148963812813
GAPDH	0.5526757473275391	0.3968756010790711	0.9458586074804848	0.33889617068580935
CTSC	0.239456615934962	0.1203554036740825	1.2333234645177542	0.38028022167940007
SEPT9	0.4680117607820549	0.33232390408748674	1.0314923550060322	0.3011919489609849
ATP1A1	0.5988726380343646	0.4297562108900983	0.8956867331446137	0.2686786287470314
PSMD2	0.5842611704103197	0.5332897051238096	0.9118539681217386	0.24163660482658986
SPP1	0.06390087480609381	0.21696275129304873	1.368282956989457	0.5807888417361916
ANXA1	0.4969763555630995	0.334797792849738	1.0030190869937625	0.11097029108116921
KRT1	0.6235255628544191	0.37218422889193403	0.8677262669132256	0.20199433827778213
PHLDA1	0.2834117824953762	0.262057361031335	1.1971534717859893	0.3138372821150032
H1F0	0.39382284636164444	0.37121764299736615	1.1010696196320702	0.2662119892009241
DMKN	0.7248354452102541	0.7105212407247645	0.7418417011596826	0.18359875328039083
PSMB1	0.5356430837089314	0.34702740974568785	0.9636979986396865	0.35728993660159586
ITGA3	0.407142769551926	0.36086179516154926	1.088905166162852	0.30334963018972877
CDSN	0.12139139154019356	0.061050001884764775	1.3256007004070316	0.5434690010897502
HLA-C	0.39784288747370555	0.2630350870494877	1.097412513621286	0.27862160492962834
DSG3	0.5965728300475187	0.5851975567799816	0.8982507110517431	0.1612003519100076
LGALS1	0.2727058486525194	0.28866975381398907	1.2060631420845929	0.2821276163133628
TUFM	0.5120160249247617	0.28508167115380645	0.987910901929155	0.3309746199337096
RBM3	0.6155774712205234	0.37052963400002453	0.8768381022508963	0.2560520749261519
MORF4L1	0.49416675601338284	0.22628866178334653	1.0058163291442601	0.2747122629159563
FGFBP1	0.5426363476334229	0.5315976349972039	0.956413772764254	0.1841889127943338
TRAM1	0.3404379849656108	0.24512592444714254	1.1485312490606334	0.36665209090638784
SRSF7	0.4223852372448862	0.10922714599927918	1.0748160426371705	0.39766414431931985
CXCL14	0.48486954280388694	0.4862173334512	1.0150176916646458	0.15641743594403215
RPS4Y1	0.4639557386255113	0.21478227276598913	1.03541707671304	0.3900345471676807
COMMD6	0.4247664347097195	0.1003377491805066	1.0725983081193822	0.42646654169363374
IL4R	0.3353520770233642	0.21514756502028942	1.152950929551328	0.3608862902246657
