	PCC	SSIM	RMSE	JS
DNAJA1	0.5021661575339239	0.2742076706933916	0.9978314912509787	0.039942240405471646
HNRNPK	0.4855182489075446	0.33255460937652687	1.014378382155747	0.03474774151283197
MAGED1	0.5245964295802434	0.5240865041858489	0.9750934010850004	0.04898289074844134
TNNC2		6.55583402992051e-58	1.0	19.786706840814116
RPL10	0.15830613049769116	0.10039432281513133	1.297454330219225	0.3567371039253445
NSG1	0.5449540566714539	0.34811111235707815	0.9539873618958964	0.049664333529232586
NDST4	0.19592199147717795	0.0981182608947901	1.2681309147898114	0.5333652789308558
OCIAD2	0.37631553432543796	0.30816106135193244	1.1168567192568275	0.1296503458044011
DNM3	0.5574153332547962	0.5482896894852064	0.9408343815414102	0.0691312390086264
LHFP	-0.01047599786882694	0.007357741124106611	1.4216019118366625	0.37083088471470305
WFS1	0.2087036548841794	0.20088346701378426	1.2580114030610539	0.25460165577818583
ELMO1	0.35008660496922195	0.35727445881423175	1.1400994649860845	0.1583425316078569
NDUFC2	0.39872253535760543	0.3863046183117864	1.0966106552850876	0.060349328546031186
EIF4H	0.48249988158286883	0.23321231770978132	1.0173496138664733	0.047276999273458895
COX5B	0.4449452120206425	0.4441045125499124	1.0536173764506331	0.06961390422409616
CHN1	0.6808345177103681	0.3660165904744854	0.7989561718763201	0.039887796167578024
NECAB1	0.38350846974438857	0.3926867100617023	1.1103977037580826	0.15031691008701054
SERPINI1	0.20617159400947585	0.20221673187771316	1.2600225442352404	0.1892057621839317
GNB1	0.46954653938407925	0.40570595485693406	1.0300033598158027	0.04246644099734186
MAL	0.6281786872840267	0.44382644194590565	0.8623471606214905	0.17543603731747998
LRRC17	0.02838599712337756	0.037776569028291566	1.3939971326201661	0.3151582581841642
CNBP	0.40753553611071475	0.2870268532082582	1.0885444078119046	0.05115061461172196
PRKAR1B	0.48094159481084375	0.4210359034210863	1.0188801746909755	0.06364754616075827
FAM131A	0.5985691670490791	0.5103255441372536	0.896025482841778	0.10646678240381457
NR4A2	0.4210840234611154	0.2596797964751543	1.0760260001866913	0.2922810888993275
ARHGEF9	0.4758669315227995	0.24787595305462576	1.0238486885054847	0.06643831582266391
ATP2A2	0.5916861375973786	0.48378164185393435	0.9036745679752433	0.04143947028209536
PTPN4	0.6442060005526906	0.562043940580243	0.8435567549931767	0.07926324136113734
UBE2B	0.46497861596951034	0.3025320699975254	1.0344287157948482	0.06069451329397456
PLEKHG1	-0.11768880116313676	-0.09698317485700973	1.4951179225486777	0.5510526085887322
PGK1	0.23241149089340798	0.0700856783441353	1.2390226060137821	0.23511727530105297
RPL22L1	0.3592440675127248	0.3493956701884082	1.1320388089524802	0.07433442330352119
SNCB	0.6221348504955208	0.6141301893798675	0.8693274981322969	0.058135462093377555
MATN2	0.5285630052705946	0.3974339191632647	0.9710169872143384	0.3266389634482403
3110035E14RIK	0.4566122584668416	0.4370449032817234	1.042485243572453	0.15093806297136025
RPS3	0.2194637798028092	0.22858147729183154	1.2494288456708456	0.04327912781765079
MYEOV2	0.35907595342610915	0.13329351797580336	1.132187304798893	0.06023514459600258
MAPK1	0.5382753053016222	0.3023030928655426	0.9609627408993315	0.04929602987067183
ECEL1	0.401732801949341	0.299005271230507	1.0938621467540222	0.38810971913320214
CLMN	-0.10930131101965378	-0.07133093549879134	1.4894974394201916	0.280293418604242
MSX1	0.7015969093680214	0.6938576106417093	0.7725323172942068	0.36462436744156407
CAMK2D	0.33590749534248154	0.3433367025996478	1.1524690925638905	0.15207921027139482
KL	0.852496984384781	0.7919186369642932	0.5431445767292884	0.26710653166694565
NGEF	0.4287809753325051	0.43118134933997054	1.068848936629957	0.13775541055885154
YWHAQ	0.4720900622614279	0.20439060863316535	1.0275309608362875	0.03597474052818678
RBFOX2	0.47877744927824134	0.4457476360494277	1.0210020085403932	0.08047836022228741
GRIN1	0.47507941241843415	0.42027208073788697	1.0246175750801525	0.07569218174002801
GNG3	0.6054468748037707	0.44222574085384014	0.8883165260156192	0.05162685013557987
MYO5A	0.5765566565444626	0.5114087819687331	0.9202644657439918	0.050038462017548836
FXYD6	0.448247976436185	0.3617738037023553	1.0504780088738792	0.1781461830618133
GABARAPL1	0.5219127619089432	0.25854152397857716	0.9778417439351387	0.05171379687735786
GATM	0.6547964809509653	0.4702711950494843	0.8309073583126275	0.09191804828608158
TUBB4A	0.15516972424857017	0.18144062551808185	1.299869436329226	0.1385516610454219
MT-ND5	0.08023732407511554	0.09794000214491314	1.3562910277111504	0.03204929684679504
MPC2	0.4646229232200186	0.4059358666415839	1.0347725129515002	0.06323560602993347
PRKCD	-0.13073152308453387	-0.08346579649900249	1.5038161610280252	0.527099768865732
NPTX1	0.7459970588372962	0.7456646447138222	0.7127453137870552	0.10011784965740042
CPE	0.41918340535248977	0.11187249250174518	1.0777908838429748	0.03928896587930194
GPR88	-0.018332220372620604	0.01457295728052664	1.4271175287078641	0.5362227935487709
OCIAD1	0.5572933666429635	0.26283138659824107	0.9409640092554408	0.046538552789727884
MALAT1	0.018037080307913282	0.044000512367231986	1.4014013841095538	0.12487447892570352
RGS4	0.20247133996967448	0.20697103923857543	1.262955787056954	0.12191600839952464
TBR1	0.5293504313605706	0.5272577719162679	0.9702057190507893	0.17663956783854928
SLC10A4	-0.010339488723920475	0.08106411919940844	1.4215058837190373	0.6931471805599456
NAP1L5	0.40455253275986225	0.39739372176705934	1.091281326918167	0.09490041469814349
EEF1A2	0.5655457764280581	0.33549064207247586	0.9321525879081622	0.04733798995082056
APLP2	0.5329637411775212	0.5447935319672389	0.9664742715897603	0.053125075779525535
SLC17A6	0.1431687264342455	0.14648972997338358	1.3090693438972243	0.2442475863906327
PPP1R1A	0.3680734030421375	0.3664565263437096	1.1242122548325673	0.1546496554073586
RPL41	0.14377470908222115	0.10456919911988771	1.3086063509839612	0.04572796917905886
RASGRF2	0.11594661512650424	0.11223972160801936	1.3297017596991407	0.24675456617941097
CAMKK1	0.5060316450498454	0.35282200910076117	0.9939500540270163	0.15101131394230666
ATP5G3	0.42602316576016336	0.24097784912909734	1.0714259976683753	0.07166675856065671
CALML4	0.8089136850403498	0.7765938077735404	0.6182011241653478	0.23527843521737757
MEGF9	0.4836808983230418	0.3425124904923173	1.0161880747941872	0.08738837884075701
VAMP2	0.5361968844383695	0.3408162457095897	0.9631231650849547	0.03453651833719941
NDUFA4	0.5022963673130905	0.3524004102082739	0.9977009899633352	0.05651034672097707
SOSTDC1	0.7520511947627637	0.6836928348050076	0.7041999790361203	0.3213118697753897
