	PCC	SSIM	RMSE	JS
ID2	0.15624122212274694	0.10994560095445358	1.2990448628721436	0.4386118057302263
NRN1	0.4103848839798394	0.14392279839262642	1.0859236768946154	0.22428685251835587
RAB3B	0.4179672380847314	0.138893970410279	1.0789186826774932	0.4640206555592362
CACNA2D3	0.2509412049583261	0.09844497794605317	1.2239761395073627	0.3782940936969619
GAD2	-0.03542362273494578	0.0032931439995143195	1.4390438650263206	0.6373539131244018
BRINP3	0.12412935376860153	0.15564579375842702	1.3235336385837713	0.48804800666250914
SLC17A7	0.4612781411099273	0.17068120666209619	1.037999864055938	0.16105677493075016
TH	0.06347176064469702	0.401281011756795	1.3685965361313046	0.6428370786192243
CAR3	0.03226118956090738	0.23784975210017464	1.3912144410112286	0.6511809597112103
NEUROD6	0.2251622101375882	0.04354044657001401	1.2448596626627533	0.42324658588300085
SV2B	0.44333153961897487	0.1487957314154793	1.0551478193893262	0.18341518584005034
CALN1	0.09137815824933694	0.07006893912097074	1.3480518103920656	0.47009109415288786
IGFBP6	0.21092730909351648	0.040280785364864	1.256242564878681	0.5271853775266055
BTBD11	0.18633120778547313	0.24675915573393947	1.2756714249480756	0.5187668583985003
FA2H	0.32300702393655456	0.32715004646596846	1.163609020301446	0.3988089168904575
ITPKA	0.3452935898193572	0.049888611927244496	1.144295774859492	0.34942300345823163
DCN	0.08820111139093695	0.4506641643352537	1.3504065229471178	0.6475079673369497
SPARCL1	0.1432659198129549	0.19356009657572806	1.3089950956264467	0.21920237360176648
GAD1	0.27690661415562395	0.13229358567297392	1.2025750586507074	0.4223544309919327
NXPH4	0.18801376730308691	0.08345434223202629	1.2743517824344368	0.6221694144230321
KCNMB2	0.17802205864434675	0.07120801935562468	1.2821684299308365	0.5855014557994024
CRH	0.12337920364407684	0.042842819636565076	1.3241002955636882	0.6250577391059506
NDNF	0.09908572386722553	0.1317338030037892	1.3423220747143916	0.6429694337044614
ARPP19	0.38004727892943996	0.11738616299534083	1.1135104140245478	0.2791923641370306
CRYAB	0.38061755002078934	0.41198578169359074	1.1129981581109745	0.37065028103065145
RORB	0.35281122456105296	0.3159876287096139	1.1377071463596833	0.37916122733524027
DEPTOR	0.07431780551232796	0.07893981858122122	1.3606485177941232	0.21110950384928484
ATP1A3	0.3683475700733291	0.3404912156290793	1.1239683535817817	0.15030591030066456
LHX6	0.45968501876974005	0.22503757460347176	1.0395335311862335	0.3663843051923419
CHRNA2	0.15112094641178478	0.31310157010531786	1.3029804707578816	0.6328820562433009
FGFR3	0.13367118432233532	0.15934769236807017	1.3163045359472594	0.5608962512336416
NXPH1	0.41296932267039616	0.14632851720596016	1.083541118121139	0.4194808209354203
MAP3K7CL	-0.010227285410067245	0.15597974051606373	1.4214269488159195	0.687689260415624
LY86	0.0108579311459626	0.1853237288879646	1.406514890681245	0.6727622939890896
TESC	0.1909978232206022	0.10139106439372628	1.2720080005875734	0.5543713656343632
ANK1	0.29758230454527307	0.327538705722026	1.1852575209250746	0.4843036554438806
SYNPR	0.14650851764436623	0.0332279883888111	1.3065155815034382	0.5263016372720355
FEZF2	0.364325262131902	0.15170502040683453	1.12754134103198	0.37997381721223267
ARX	0.2576871316013092	0.06160744454442698	1.218452188966552	0.5402708000327573
DLX6	0.17841925705081457	0.15992853758837744	1.281858606047629	0.5929167680537706
CHODL	-0.007158932458249994	0.13321537168798	1.4192666644843386	0.6799067425434808
PENK	0.057093576726184904	0.05445737912361049	1.3732490111220288	0.6184857510052979
GM11549	0.3640510149903242	0.2936244699149028	1.1277845406013294	0.14422576915979973
ANKRD55	0.0589118358527865	0.01712403810707575	1.371924315804056	0.6653970572059056
NFIB	0.15877696107784847	0.05717060423127617	1.297091391477217	0.40855451131837206
NEUROD1	0.23112883179679736	0.023820523193651143	1.2400573923840803	0.5062722167499194
SLC6A1	0.3760476280326646	0.12100753044756989	1.1170965687596892	0.38083204606200693
SYT6	0.2111158400662792	0.2832991443722017	1.2560924806189397	0.5039806621609175
PVALB	0.6219984835871896	0.4741100988919608	0.8694843488100409	0.2622833111020608
PDGFRA	0.0739861613828634	0.2999731755754567	1.3608922357168012	0.606538757915787
CAR4	0.03890090374735617	0.10695298124882727	1.3864336235483068	0.5677450966665325
LY6C2	-0.0015641110471018079	0.14250353267380308	1.4153191237647444	0.6859202351748923
CXCL14	0.17240805827615147	0.0418149547934814	1.2865394993732981	0.5609720841732541
LAMP5	0.2903180800580455	0.1884627780031608	1.191370572023629	0.29686862620799565
SNCG	0.005681542556047926	0.35430129343603856	1.410190382497308	0.6799115615255025
SLC32A1	0.4379997047567251	0.2840998775689003	1.0601889409376755	0.3703406814894483
RPRML	0.05464744180473567	0.006424570476408433	1.3750291329242914	0.44316376216521025
RELN	0.16202762703083504	0.23661300345312208	1.2945828463015914	0.5437046519843277
CNR1	0.2313973117483445	0.08148921904110444	1.2398408674113428	0.5152003499270328
VIP	0.22695532081519976	0.01730954970178497	1.2434184164510353	0.5693738749916826
SST	0.6126725900574127	0.5396465211436756	0.8801447721171639	0.24684421433974096
PCP4	0.38496475980125566	0.14423459393544233	1.1090854252028963	0.3518404196228695
KCNIP4	0.053653064084540465	0.03365594023812612	1.3757521113307145	0.48070198780555595
RSPO1	0.19906211565119303	0.07865848907070745	1.2656523095612058	0.5558222875121771
CALB1	0.2770001386732936	0.19552389856920713	1.2024972859235121	0.46830284964975005
NPY	0.28904458830753027	0.2521557754694497	1.192439022921063	0.5037944169359545
DLX1	0.09723625918913797	0.16565950067183102	1.343699178247023	0.6059075539401113
ADCY2	0.1230205405537259	0.09149401091822759	1.3243711409165289	0.4286992254834241
NRGN	0.6616896805246438	0.30870106016645454	0.822569534416825	0.08766966781016305
CCK	0.4344422337307085	0.1960517486893443	1.0635391542104047	0.2342324088128237
PTN	0.09616546316747394	0.1400231478598396	1.3444958436771204	0.3046205767752294
KCNIP1	0.3053186253975373	0.1083184552999229	1.1787123267383461	0.4854332336314652
CTXN1	0.424030957392298	0.1333901599092839	1.0732837859650184	0.19249116219946247
SLC17A8	-0.001960023896267442	0.02521968047972838	1.415598830104255	0.6841205827941812
ADARB2	-0.08543306351485311	-0.022468898033341414	1.4733859396063567	0.49029307510046427
PTPRD	0.20108568981881764	0.2035722273214079	1.2640524594977716	0.2527489649414113
