	PCC	SSIM	RMSE	JS
PPIC	0.2516075018141936	0.1610050086371815	1.2234316476091391	0.34619611724430677
RPL31	0.3068794399361882	0.1576498841316577	1.1773874129306903	0.11299871989121871
CANX	0.3209119413821666	0.32368452243898327	1.1654081333316955	0.2946508042359295
FXYD3	0.2744008474214597	0.349705054712947	1.204656924255649	0.5077167977309442
GPI1	0.07213758178231576	0.07916998584992405	1.3622499170252749	0.07331269760798421
RPL7A	0.2658666864053036	0.12417176829795623	1.211720523548806	0.12143185870138908
PVALB	0.3860373849126127	0.2793744093924924	1.1081178773825349	0.05883764242331472
CCL8	0.2488065966720197	0.2425543652320368	1.2257188938153643	0.41072363092924447
DMPK	-0.005506146161206296	0.011065607287675486	1.4181016509130833	0.19397154497513452
HTRA3	0.056389045685040225	0.06615639250167171	1.3737619548633306	0.40646947276572193
ILK	0.17819287386514782	0.14835742987283462	1.2820351993099504	0.2500557326560584
PRG4	0.45121201863145616	0.5185669921897673	1.0476525963968628	0.4793226095792319
LGMN	0.21687751533778823	0.12229968106099695	1.2514970912169248	0.24274977644026005
GYS1	0.0995080919518288	0.08904359248433051	1.3420073830260184	0.09610173130085183
ACTA2	0.028907785406261162	0.06550672298111439	1.3936227714799576	0.4617034772138987
UCP2	0.42592502708225644	0.3331415045240344	1.0715175900728307	0.29817575785240147
GNB2	0.2931988905113048	0.24063947855003665	1.1889500489832996	0.1944029383349929
NDUFA12	0.062149703819789306	0.06625317691524013	1.3695621900302377	0.09881430503387066
H2-EB1	0.5129441944245894	0.39495844221459436	0.9869709272064813	0.2074595117134788
FHL1	0.010948324625938992	0.027441854995073747	1.4064506215108024	0.10404851331036853
PLTP	-0.11019304208608785	-0.063364229167868	1.4900959983075506	0.4034747752624248
COX17	0.13972593755588472	0.1412019037850273	1.3116966588690506	0.09768599667968206
MRPS24	0.11103974015121289	0.11788959248590099	1.3333868604788237	0.16624320687367125
CACNA1S	0.07127720601479422	0.0577588524299784	1.3628813550600842	0.08143201239422175
AKR1B3	0.17617840942924207	0.09625164658407485	1.2836055395414574	0.16748434626691772
SPARCL1	0.04880409198662559	0.07532599370335274	1.3792722051961859	0.22616324656829798
NDUFA5	0.20745259230576626	0.19425905209719008	1.2590054866395408	0.07858316732554327
TLE6	-0.010497887194452025	0.1955279919384505	1.4216173094011286	0.6931471805599455
C1QTNF3	0.20556544067847535	0.1149916774586907	1.2605035179018935	0.4649345682077662
MYBPH	-0.18925589104196322	-0.07328798869875096	1.542242452432148	0.21278406254779098
MEF2C	-0.016392228286865346	0.007015679317510654	1.4257575027239837	0.10514236817577677
HSPA8	0.15426478784711922	0.11338305747033729	1.3005654248463479	0.1333496699814118
CMA1	-0.0073185585763522265	0.09671304979075726	1.4193791308712076	0.6931471805599452
RPS13	0.32372608175023176	0.20211533395697007	1.162990901296969	0.11985364044609073
FETUB	0.13807721296877518	0.3439406963356524	1.3129529976592649	0.5798657674769763
RPLP2	0.2522802863071214	0.12253137843501118	1.2228816080822205	0.09117861767835109
RPL22	0.3336421393586263	0.19985885749800986	1.154433073539886	0.11807494887108386
CRYAB	0.14344587688365548	0.01516241314654089	1.308857611137548	0.13645711721978016
MINOS1	0.22682364187950887	0.22531184820992803	1.243524312685917	0.08639412174158995
JPH2	0.07027106607692546	0.07067025086852444	1.3636193999229218	0.12382359203161161
DLST	0.07647482852415079	0.08760529112534346	1.3590623028219486	0.16285646426176176
CORO1A	0.41606806864933565	0.2627511395356735	1.0806775017096122	0.3069416540602822
MYL1	0.2800346989662482	0.1844030598943685	1.1999710838464	0.06163643819694056
OLFML3	0.4890165672054099	0.4131618294580484	1.0109237684361667	0.39871166221124427
GAPDH	0.043723558163175795	0.04853783322466106	1.3829507885943189	0.07373112224432335
H2-AA	0.492036784831335	0.28792921588684306	1.0079317587700718	0.18662807496084993
RPS27L	0.127953985713771	0.10568983057861799	1.3206407643914595	0.1249551332219805
ANK1	0.15075467207240345	0.14333377586460253	1.3032615454524825	0.11050177078621387
SERPINB6A	0.06584609512096866	0.06316301447018115	1.366860567050664	0.11911206356463995
VCP	-0.15988800136983494	-0.11988135473654969	1.5230810886947779	0.23130165600505603
PEG3	0.21285958643996558	0.07695294957535885	1.254703481751792	0.381981766788907
COX6A1	0.18574113021859978	0.1694511417973072	1.276133903461075	0.2130560098701903
COL5A1	0.20409676380225475	0.03243900861209545	1.261668130847209	0.3274080809588751
GM7325	-0.14006509996680652	-0.06781567283550141	1.5100099999449055	0.5963760535098729
IDH3A	0.03581320218704767	0.050228076947260586	1.3886589198308938	0.10463209405123679
MRPL42	0.05470697069123603	0.06095810333052829	1.374985839424366	0.09690511474479833
MMP12	-0.012679808045715982	0.0007120799542440525	1.4231512976811116	0.6775632374306643
GRB10	0.1437810840841981	0.07732569214989192	1.308601479378502	0.3051040168351624
S100A6	0.3307978017155967	0.17442265039081106	1.1568942892800562	0.21339963406032142
LAPTM4A	0.10469590925778115	0.039369938916121616	1.3381360848151571	0.15401783178351894
NDUFB9	0.09086764971770805	0.09218083865574389	1.3484304581863253	0.08034163415179102
NDUFA8	0.07613993018043524	0.0834246160677901	1.35930869916996	0.09577715154057502
PHB2	0.06882487860208095	0.09635111950077088	1.3646795384982653	0.19790869800192368
OAZ1	0.18882531394882685	0.16065888546756119	1.2737147922915657	0.08076341189236347
RPL5	0.3254213624819736	0.23597893071127574	1.1615322961657384	0.1318602537668963
PARK7	0.05577728405403567	0.06746457825289306	1.3742072012225555	0.08036962101643441
MKX	0.28042612042358733	0.17272554309786795	1.199644847091349	0.5938466638322162
LMCD1	0.061818777605526114	0.05300214375095529	1.3698037979174054	0.11717205174516845
RPL36	0.3049709769624731	0.16033113275107508	1.1790072290173008	0.09989355095198131
RPS12	0.25528314473751834	0.03472489836974248	1.220423578322282	0.5556423185484479
GDAP10	-0.018841669793435923	0.018962138840814782	1.4274744619736184	0.6931471805599454
AIMP2	0.10226049026871291	0.11260123365711296	1.3399548572480247	0.15695530217464207
APOBEC2	-0.022188564222546274	-0.004548038160752537	1.4298171660898091	0.12724653718977463
GPX4	0.06909624655523887	0.07723095615854719	1.3644806729629857	0.06595028776277036
UQCRFS1	0.042593330459540446	0.06050672892329511	1.3837678053347386	0.0956636585946252
CD24A	-0.003568019079862856	0.032014264514799565	1.416734286364146	0.16028224760572568
ADAMTS2	0.18172034549724428	0.057629143333389705	1.2792807780176765	0.41732582018463293
GM2A	0.34375539972470365	0.2160210426146742	1.1456392104631339	0.31352165736934373
TFRC	0.08328978900053478	0.05123251149729021	1.3540385600118374	0.2729942892542516
PMP22	0.6543228159814314	0.5629521954596195	0.8314772203958071	0.24940337132178703
WFDC17	0.14580599859979684	0.13613047172418608	1.3070531752000019	0.30611975784388246
TPM3	0.19551373834142208	0.22265005978779906	1.268452806893956	0.24153737567470182
AMPD1	0.273611403500712	0.24751739045164514	1.2053120728668472	0.0952560622767054
FKBP1A	0.13929284160394675	0.11892466152692394	1.3120267972843034	0.1817332535189539
COX5A	0.09657905750317511	0.10299829599878746	1.344188188087386	0.08222468998183355
CTSH	0.3478727628033967	0.2221531960255852	1.142039611569234	0.27790240694760304
MT-ND1	0.5182755056470079	0.5001376940253991	0.9815543737898499	0.0726737657124631
LMOD3	-0.19825250596973104	-0.09067371324283867	1.5480649249755198	0.17361935754894536
PDHA1	0.014199433341456019	0.033435995099580035	1.4041371490410357	0.1443006349237334
MRPL12	0.1667791227669903	0.1672646552057978	1.2909073376761089	0.1103680172372963
HEXA	0.18446548634278737	0.0735847306050995	1.277133128265971	0.294284544771181
PPIA	0.3185170184812066	0.30426552128823575	1.1674613325663454	0.31492614727494006
RPL29	0.28612171248427803	0.18186520869972286	1.1948876830193889	0.1315607227471874
TIMM8B	0.1261212016704714	0.10880978056771547	1.3220278350545638	0.1320733029869392
IGF1	-0.017683095362110594	0.005899128636289239	1.4266626057776313	0.5642787266176821
COL1A1	0.10848067817807804	0.020185732317623644	1.33530470067466	0.4103460838981156
SERINC3	0.2212101503270028	0.23155234148680395	1.2480303278951177	0.17149199154128655
ATOX1	0.3278287309128324	0.3002659484986951	1.1594578639063757	0.17184515437112124
RPL3	0.26592771584477737	0.09985834158026428	1.2116701565650798	0.23396415404617182
MYL9	0.17742829538951124	0.210833313375026	1.2826314393546485	0.47434093136410116
RGS5	-0.024745042230651264	0.009026298897584124	1.4316040250227373	0.306585555347832
GDF10	0.2538788069400037	0.31450151444749297	1.221573733394752	0.561099712515426
UQCRB	0.104407107882223	0.10064332954679858	1.3383518910344745	0.08941371299963774
ENHO	0.20446595166328613	0.09422417300130959	1.261375478068853	0.2439168343833085
PDLIM1	0.2282826473141171	0.23447015030553883	1.2423504760621158	0.23441908306223236
CFL2	0.31288613227769013	0.23728780749403677	1.1722745989931795	0.08554993439912237
MRPL33	0.11814644235135409	0.08085962260345604	1.3280463528421331	0.11095465071460926
RPL8	0.27375847759288463	0.11543955567332224	1.2051900451025268	0.141489412658958
ATP1B4	-0.050380235679257396	-0.003299198640655276	1.4494000384153833	0.6866530496915908
RNF7	0.09439910889941532	0.12264024730216916	1.3458089694310889	0.16536747381008166
MPC2	-0.16873222669866153	-0.11205729671836942	1.5288768601157268	0.11813433435229595
RPL6	0.21657153737171198	0.10484735630431494	1.2517415568944636	0.14542095421724227
HP	-0.010213928369664295	0.12887875196712012	1.4214175518612853	0.5370556046814083
ARHGDIB	0.5195592419065203	0.21183055338218545	0.9802456407385646	0.39561782429489833
LYVE1	-0.004411566195248309	0.20282823958818738	1.4173295779001074	0.6931471805599453
RPS4X	0.2661389958603729	0.1613509819199049	1.2114957731165448	0.13467525707976624
ANKRD23	-0.11408704700262987	-0.04683803306894758	1.4927069685659204	0.31453440044975
GPNMB	0.13471593886227176	0.1985140323402976	1.3155105937526526	0.4807753738418328
ISG15	0.21176181149848958	0.26641503451220394	1.2555781047003889	0.36205347084991835
ATP5A1	0.019848300728376265	0.03716014413768663	1.4001083524296423	0.07735945185666723
MT-CO2	0.5037274241621751	0.49848294794523307	0.9962656029772633	0.0648481922168869
MT-CO3	0.48495977886652825	0.4775925261681947	1.0149287867958734	0.0652811626546421
MYOT	-0.10285769431574511	-0.07658395633229217	1.4851651048390175	0.116072058327374
MT-ND5	0.5635419447678871	0.5504557790823894	0.9342997968876081	0.07368416931116879
COL6A3	0.01621772507129316	0.00758322351068316	1.402699023261018	0.4163525734011384
EIF5A	0.11053786806457112	0.07462771173709894	1.3337631963249166	0.0954986885636227
NDUFS6	0.09207191040077646	0.09912208157246366	1.347537078969795	0.08772446584975888
MS4A4C	0.5341020984167778	0.5987263548508517	0.9652957076287266	0.48184100561100296
VDAC3	-0.06583120483202326	-0.02973434705995264	1.4600213730161782	0.12999514171094406
SDHB	-0.11108274946802374	-0.05258671001254357	1.49069295930988	0.1021187317038798
HSPB1	-0.10294556577364897	-0.02690894837563982	1.485224269781267	0.19079837110492182
TNNT3	0.10643478833968868	0.1150806228731391	1.336835974725629	0.057556031783707474
SH3BGR	0.10505177244348746	0.10692954531112896	1.3378701189252358	0.09154373248730951
MT-ND2	0.5967034168189909	0.5898368330087496	0.8981053203060417	0.05824271543968725
COL14A1	0.1009456296648806	0.022376515096411316	1.340935770523793	0.5520291103748339
IFI27L2A	0.3750318464424844	0.34526145916901857	1.1180055040629413	0.2191848063057883
