	PCC	SSIM	RMSE	JS
CALR	0.7992865154726932	0.7710360497057568	0.6335826457965945	0.024193149548311605
S100A9	0.49535263142092173	0.08265727110610468	1.0046366194590741	0.10536019160278358
APRT	0.6632797259709681	0.6591857702233863	0.8206342352461687	0.038058941817589925
FXYD5	0.5954059522756846	0.5731680069299415	0.8995488288295588	0.0582144142125573
MUCL1	0.3656216427433686	0.08997170969626724	1.126391013153631	0.6410781201522484
TYMP	0.6074203059331923	0.5291226475413213	0.8860922006956253	0.03411667075653169
GOLT1B	0.5581390616025622	0.4330944631506507	0.9400648258470666	0.13368271610068336
SFRP1	0.3416581396873276	0.07158553075903738	1.14746839635144	0.21700602470998032
S100A8	0.36981255926013173	0.02149745344545975	1.1226641890965154	0.20859262242819063
IGLC2	0.6464536748077413	0.6156390483410764	0.8408880129865789	0.059854070128707394
HNRNPA3	0.6051424645671776	0.47387592854405314	0.888659142115606	0.07880514328671889
MARCO	0.666378263068301	0.5911609974524046	0.816849725386131	0.04405416401191549
RPL14	0.8245026919952959	0.7771288788803062	0.5924479859104997	0.02021839188594289
BST2	0.7345581539999662	0.6778556630903209	0.7286176583092592	0.033554433834664436
PSMD8	0.6516729858334082	0.5797571747650008	0.8346580307725935	0.06174986948569064
HEBP2	0.7582178649238392	0.4781161816956842	0.6953878559137495	0.04987376814870306
ELF5	0.6826016541633868	0.6445097604551944	0.7967412953231596	0.07756687918539541
RPL38	0.863027689500487	0.8287079115349075	0.5233971923874123	0.018737974765635886
TFRC	0.6126586267548775	0.43370795936784506	0.8801606367534538	0.12015577586974606
KRT23	0.47676776469586923	0.21457946967598426	1.022968460221654	0.18283988874653012
RBM8A	0.7321553470954589	0.6637870226093524	0.7319079899885521	0.053276426339965585
HSP90AB1	0.8361524022317919	0.7944545365758956	0.5724466748409117	0.02414850923585077
BSG	0.6842982339579985	0.664535071336712	0.7946090435453165	0.04612700117579429
TXNDC17	0.7691389385112726	0.6863688728248435	0.6795013782012915	0.05100222208847313
ATF4	0.6701537910003947	0.6045541075473047	0.8122145147676265	0.05870842148968053
SPARCL1	0.46507033030565376	0.391029191210036	1.0343400501714572	0.29061674090414324
HNRNPA1	0.7182329477929064	0.6823650925984038	0.750689086382763	0.04040871559072136
ITM2B	0.6236103056480721	0.5709074097728855	0.8676286006718866	0.040367114820677875
PSMB5	0.5741501944231795	0.24687497285856821	0.9228757289871918	0.08566613336061771
S100A7	0.09749520661468997	0.0015060524487319445	1.3435064520762898	0.43392622302493256
SERP1	0.7938403605835864	0.7655248175714943	0.6421209222824213	0.034132352129857345
POMP	0.6984043844868228	0.6337964772182355	0.7766538682233898	0.06389898488630417
MT-ND1	0.499160278129471	0.32703511479429165	1.0008393695998665	0.06130596818203285
TPT1	0.8991743016716651	0.7826452880456011	0.4490561174916447	0.011590909486049112
FUS	0.6009376375511937	0.5604208565211126	0.8933782652928224	0.06546256831616136
CLDN5	0.31109333171599823	0.32993179720720084	1.173802937706327	0.4506104786538585
PPP4C	0.6211667034440377	0.5195785000866675	0.8704404592572226	0.07831676799809154
H2AFJ	0.6049570252401207	0.5638792469902314	0.8888677907989231	0.05916338427656451
RPL15	0.8611443752302541	0.8497977314510012	0.526983158686776	0.01301146462963046
RPS13	0.9068668007400286	0.8496008888515164	0.4315859109377216	0.01226212228516239
NDUFB4	0.7471889427637495	0.6848080748427776	0.7110711036686141	0.047000293801719856
PYCARD	0.6830548481586624	0.6618998409251711	0.7961722826641705	0.039682248862234495
SERPING1	0.5702249525005589	0.5575469330043255	0.9271192452963547	0.09164045912706723
SERPINA3	0.6074437723481964	0.44268616999721805	0.8860657172600728	0.05050703970639671
COX6B1	0.7732002964868883	0.6657572583793601	0.6734978893999771	0.029880571712702524
APLP2	0.6342014429134184	0.5832451926619366	0.8553345042573479	0.09082491588822328
RPL3	0.8386082825469834	0.8306417938873497	0.5681403302935233	0.014965039027880314
MRPS17	0.6108692210115716	0.4707231794325932	0.8821913386430729	0.14113595121126676
YBX1	0.6824672455308195	0.6379777067073767	0.79690997542907	0.04366533613706873
TIMM17A	0.6190765069714442	0.45903905624109564	0.8728384650421358	0.12196283814652963
PDCD5	0.7082623122684415	0.5735092439632665	0.7638555985676332	0.06434059764118971
PCBP2	0.6172962233244325	0.5989988217990841	0.8748757359483318	0.05788625191716215
IGHG1	0.611872105498948	0.5921762762655389	0.8810537946130781	0.07192902581139025
