	PCC	SSIM	RMSE	JS
DNAJA1	0.8305253792571475	0.8025474093373113	0.5821934742726896	0.05140966968138314
BCL11A	0.6142509406526251	0.508361818626714	0.8783496562843013	0.21019888242679355
HNRNPK	0.7627791196035457	0.5680193353391474	0.6887973292579671	0.06164981744571124
MAGED1	0.8143343891711562	0.8141818107938041	0.6093695280022524	0.03678286994040328
GPI1	0.8194066775159865	0.7673767168965164	0.6009880572590666	0.03977340761433648
NSG1	0.7786687119513338	0.7765907762326948	0.6653289232382225	0.059355198963155276
PHF24	0.7637464876394803	0.7206111196972104	0.687391463957067	0.10382400780149743
NDUFC2	0.8241480794137597	0.7123619906468498	0.5930462386462632	0.05142506760299775
EIF4H	0.812704366602121	0.7278253923155986	0.6120386154449392	0.06323375543071516
EEF1B2	0.7428240876806129	0.6427087286453268	0.7171832573608883	0.07939289589776188
COX5B	0.8999542721255974	0.8904302704829264	0.4473158344489998	0.019976133451762326
TCEB2	0.884145066315291	0.8843085998175357	0.48136251138764224	0.01997086465709465
CHN1	0.8659790820629957	0.8299679741871823	0.5177275691654913	0.0527354638569883
POMP	0.7676272364849519	0.6330816010099365	0.6817224706800389	0.07509899654888477
SERPINI1	0.6539207557856296	0.6680753265953804	0.8319606291338196	0.1481136446971329
EIF5A	0.8367781742550323	0.7232652117819716	0.5713524757012396	0.054125107936819586
RPL18	0.7922845239455568	0.7260892760896323	0.644539333251964	0.05087622931532988
GNG13	0.6741391799650952	0.5417719457336707	0.8072927846016026	0.09214962433982873
GNB1	0.8917119575712195	0.8390218263311214	0.46537735748267894	0.028688413124368907
KCNJ4	0.6826260960014402	0.6812594616877662	0.7967106174748265	0.19146595255293336
MAL	0.7226997642411391	0.4789524021138784	0.7447150270524433	0.1914499200480268
CNBP	0.7811973536148349	0.7246395971420679	0.6615174168306757	0.06033357219553128
PRKAR1B	0.86218788527538	0.8375437312772456	0.5249992661416202	0.05300693366278418
FAM131A	0.7574342211012223	0.7544305974273067	0.6965138604489902	0.11388173193356377
NR4A2	0.28070867463879134	0.09919101060108632	1.1994092924112343	0.4016892419531711
RAMP1	0.6006292093107042	0.3966756006169384	0.8937234367401314	0.14568937488119818
CACNG3	0.6632968013484659	0.6367733786325929	0.820613427445023	0.18043555767180192
ATP2A2	0.7835861679364082	0.7848977914250722	0.6578963931556272	0.04800680684503106
