	PCC	SSIM	RMSE	JS
USP40	0.05676394864746262	0.04420031056953233	1.3734890253311363	0.4515117580355046
PANK2	0.2436973780955303	0.10647470628204607	1.2298801745734986	0.4215035617648924
NRIP2	0.12783952901872558	0.13592003102471892	1.3207274290944928	0.4640909178447039
TMEM245	0.08756324472027673	0.08975939061483389	1.35087879195709	0.4122074722427901
COL6A1	0.3363054043305633	0.3221060435054322	1.152123774313712	0.29732463235969664
SLC7A4	0.3438437021858232	0.1299869257805732	1.1455621308459676	0.2914656704831398
ADAM19	0.22656142324865758	0.06986009818029261	1.2437351621236272	0.36856397956220494
ABCF1	0.4860731271339338	0.2893732121547824	1.0138312215216752	0.15654471722138275
PIP4K2C	0.5490295974387871	0.35090691205251945	0.9497056413028332	0.1269195343932863
GM1966	-0.04596093040809788	-0.0013942224156378957	1.4463477662084578	0.6862901382062205
GRIPAP1	0.45067031381397465	0.22350739998450897	1.0481695341747204	0.1783288499609577
MAST2	0.4101864087030793	0.30493163540541557	1.0861064324428988	0.1709678228290619
RPUSD1	0.39321513825301674	0.22402669007522927	1.1016214066066286	0.2130121538646682
PIGQ	0.5091760567522268	0.3733198089229813	0.9907814524381985	0.19432060775029508
PDZRN3	0.44626812672430527	0.4501533875175196	1.0523610343182561	0.21215699775274272
PHACTR4	0.0462767392933188	0.06398273133191476	1.3811033710093397	0.5076646428023426
NACAD	0.39323119542356155	0.27626885005620744	1.1016068305674567	0.2535939921019348
NKTR	0.2791270358991543	0.1675798481992838	1.2007272497123114	0.23855199251575582
CALD1	0.2175333517422375	0.07819052338069193	1.2509729399613427	0.5091508883958146
SEMA4G	0.3260219651272362	0.32696006434149927	1.1610151031513445	0.39971313826607047
DYM	0.406668129731996	0.24854163089653042	1.0893409661515572	0.19350845213176968
HFE2	-0.0108470579430737	0.0024057497634011496	1.4218629033370789	0.565674005580889
MTFR1	0.029127580564123078	0.04892786172523283	1.3934650475960113	0.38460350724584635
COL1A1	-0.052581688773393725	-0.012743620681299549	1.4509181153830795	0.6587355171723179
FBXO25	0.3895130888086373	0.16238170832728255	1.104976842464459	0.1811661592181974
TACSTD2	-0.11825010459640009	-0.058113751316539605	1.4954932996148127	0.6349769833542729
KIRREL3	0.3713874132335163	0.38299108869804155	1.1212605288392914	0.2445972743223332
KCNT2	0.16407864672117684	0.10495540176504224	1.2929975663386402	0.3749340088038849
PCSK1	0.3189754073696172	0.19012886590660882	1.1670686291991426	0.2986341682782801
USO1	0.47279158582129527	0.2637195464397944	1.0268480064534427	0.199394239789203
SARS	0.25117672982316525	0.12220088725082262	1.2237836983526416	0.43744533450253154
