	PCC	SSIM	RMSE	JS
LIMA1	0.1673447842136277	0.022125287934888774	1.2904690742411244	0.39621930729805543
GSTP1	0.3210731809238303	0.06505835708545027	1.1652697705477217	0.22464759053670494
PFN1	0.23019170291263763	0.06726237164172598	1.2408128763736799	0.226971807156459
TAPBP	0.10279351498876002	0.014074686686653947	1.339557005141058	0.40126186500576627
DSG1	0.1696023030364105	0.11403216702992891	1.2887185084133692	0.2967037751356393
SERPINB2	-0.050801205087012094	-0.015268802822752215	1.4496904532257997	0.47275551015750306
DAZAP1	0.2217453173922293	0.0346266813574032	1.2476014448595116	0.41181458445983066
RPS23	0.1774335557324198	0.042916001573155206	1.2826273381365145	0.280622445326138
RHOC	0.25338813111377717	0.07109222670333323	1.2219753425386481	0.38969282047338205
EIF1	0.24575365576187747	0.048780979420987546	1.2282071032510131	0.29943072974867163
FLRT2	0.2784175096311619	0.09224647939314182	1.2013180181524277	0.4043001583899125
COX5A	0.1466734036808765	0.026267154354834746	1.306389372521932	0.40601896752798977
RPS18	0.13604380795653007	0.028783564893554717	1.3145008117483001	0.27156135914305923
CAST	0.18483379213948525	0.03666494189651578	1.2768447108873613	0.3192310653910313
MMP1	0.18242990934181752	0.07333592450313481	1.2787259993119577	0.45593290802344544
HNRNPA1	0.19928621908013516	0.020573058748606494	1.2654752316184343	0.3768032756171398
ARF6	0.1721126857702992	0.04594787163800923	1.2867690657065864	0.3648236231018971
RPL36	0.1554144681776799	0.04005617950482737	1.2996811392201706	0.28758736814854857
TGFBI	0.28537076384702637	0.05673114549878321	1.195515985801088	0.29385461896615805
SF1	0.2141222408969426	0.03780582453322494	1.2536967409250592	0.3697870265734843
FUS	0.20194389708273028	0.03376387077331641	1.2633733438040156	0.3815991935049884
CANX	0.22347865626287067	0.039311464042915696	1.2462113333918363	0.32090441565994493
COL3A1	0.14347278985779977	0.0271735256049541	1.30883704878965	0.3553827973989151
ATP6V0E1	0.05822620052925395	0.009532989539322183	1.3724239865804926	0.43182381009735243
ISG15	-0.09221733228671444	-0.015266634677786299	1.4779833099779676	0.4637076325919638
SPRR1B	0.3520240875056783	0.3443912151656457	1.1383987987470137	0.21262398870968827
SAT1	-0.1604785899741224	-0.03215315156290719	1.5234687984820185	0.2890279544723323
ODC1	0.31659583336704444	0.13898971682984362	1.1691057836081007	0.3468456650019538
EIF4G2	0.22565885845520622	0.051577891916284375	1.2444606394296236	0.27350468780232484
FAU	0.24953914267209512	0.046869523608719835	1.225121102036778	0.30060951524609575
LRRN1	-0.008289868425104954	0.0018255069940711105	1.420063286213051	0.6931471805599453
RP11-856M7.6		2.3619078015887407e-57	1.0	19.484161058470367
MAP2K2	0.17450192491427127	0.016797399254571275	1.284910950288563	0.44510525989954997
TOMM7	0.11365847277984108	0.02321581128354584	1.3314214413326524	0.4087791783045629
ASS1	0.039877445389065125	0.005387209655241357	1.3857290894045162	0.4727271602645634
DAZAP2	0.06716428946932039	0.015862853555431218	1.3658958309700484	0.4073375371368265
MALL	0.2795909925237514	0.08673867578747659	1.2003407911724475	0.31819870202582257
C1S	0.043370722892397524	0.001396871971122205	1.3832058972601313	0.5893545946863297
SH3BGRL3	0.27088646634817604	0.08231622018115985	1.2075707297312437	0.2863104468917404
TMBIM1	0.1780929497411186	0.02875570198134611	1.2821131387353313	0.3229484813414491
TMSB4X	-0.021275285046681254	-0.000317332761360341	1.4291782849222705	0.30225413366804793
FABP5	0.3272871944984743	0.10588657577559299	1.1599248298933218	0.2215328215869894
RPL3	0.11060403344313592	0.03058286091329692	1.3337135873618924	0.2979591116585103
FBL	0.13463659893755517	0.02496632036408567	1.3155709034958512	0.41827300167209014
SLC38A2	0.16256543133495913	0.03188034226594693	1.2941673529069113	0.3104519748655581
PSAP	0.09543042676797261	0.0485566559708547	1.3450424329604085	0.32231362436372635
COX6C	0.22765164009297897	0.034150167227429536	1.2428582862957636	0.33876293387615786
CTBP1	0.2901135719049916	0.034775708514410475	1.1915422175441441	0.4179551561079419
ACTN1	0.30216979505126407	0.09074854911291075	1.1813807218240324	0.2487173123843071
HNRNPD	0.23610847034881277	0.05757260363425636	1.236035217662658	0.30933883853297095
PRPF19	0.16527033950308162	0.014220514740207989	1.2920755864088744	0.4539920622979059
CKB	0.04447561259226202	0.023806344808853467	1.3824068774479805	0.4185511324944756
EIF5A	0.21718318783262067	0.03178449611688717	1.2512528219088093	0.3486944129798425
ZFP36L2	0.04534644422754408	0.018819183169884707	1.3817767951246365	0.3168571222274826
CSNK2B	0.18783787486563	0.02560060813094648	1.2744897999861515	0.4057936376579828
GAPDH	0.19156823651524063	0.024209546051416477	1.2715594862095594	0.44463906665422465
CTSC	0.1201935095163542	0.015026211765696221	1.3265040448363856	0.41204574846424097
SEPT9	0.25530106219734533	0.04530300397537565	1.2204088968887885	0.3532838085645347
ATP1A1	0.1772770805710849	0.022567315242643823	1.2827493281455382	0.3545099969107356
PSMD2	0.3155281736190617	0.07419397640384326	1.170018654877723	0.3258673979806965
SPP1	0.007529866165534479	0.09537882108185071	1.4088790819899808	0.6449706216275567
ANXA1	0.35348472047946417	0.18206054330510807	1.1371150157486583	0.1523000561920766
KRT1	0.21085561986568288	0.2155302170909809	1.2562996299723381	0.32326494306609765
PHLDA1	0.24047542639329006	0.13682773450969196	1.2324971185416296	0.34819856028499485
H1F0	0.15343800215402117	0.034530914160926476	1.3012009820515653	0.33384047183574295
DMKN	0.4141088039197665	0.34193470540284593	1.082488980156596	0.2660528569352833
PSMB1	0.17681669939761835	0.019229408951617	1.2831081798526431	0.44160961267519216
ITGA3	0.26404722725423674	0.10390253391005644	1.213221144512214	0.3657325108586946
CDSN	0.25240922857024156	0.19746745285612932	1.2227761622061157	0.4740767541967643
HLA-C	0.02729321624418891	0.008720465525663112	1.3947808313536654	0.32860649933337527
DSG3	0.18881360204411765	0.06604986292261354	1.2737239873346835	0.24406012539657634
LGALS1	0.2160010961685701	0.059487782161925934	1.2521971920040627	0.2849157168076593
TUFM	0.1834516370224603	0.026221227542800558	1.2779267294939405	0.41840854294218155
RBM3	0.16554585139823538	0.0356211524725635	1.2918623367849722	0.3379290099175462
MORF4L1	0.27691596529394275	0.040536324720553234	1.2025672826965295	0.3215989683781564
FGFBP1	0.2847398324439859	0.07716340856550444	1.1960436175625153	0.25056874870297624
TRAM1	0.22477915837399579	0.052268255809457105	1.2451673314265872	0.3994105843752632
SRSF7	0.15408274134171576	0.010125500245778168	1.300705392207078	0.4556992201106882
CXCL14	0.2017278969675484	0.13617506895986217	1.2635443031666533	0.20756298971921047
RPS4Y1	0.09015479942533063	0.009169315765549184	1.3489590064747479	0.47240049787846067
COMMD6	0.17905450494575442	0.015420736258263118	1.2813629423814672	0.4686366791130113
IL4R	0.20772599302773212	0.02420054819952354	1.25878831180804	0.4036787816235301
PXN	0.23431882863988285	0.02014289562453593	1.2374822595577821	0.4267454859788273
GRN	0.10620490750426323	0.028268086685704262	1.3370079225612215	0.33196983159537463
ID1	0.0876873312607663	0.01729053549459559	1.3507869326723838	0.432786240976765
LSM4	0.20461209898729793	0.01292852517587081	1.2612596092896198	0.4373953230267401
UBE2D3	0.1862236852755142	0.029352675546400846	1.2757557091578982	0.3347366397426438
APP	0.3169680166498119	0.10724700112216687	1.1687873915731535	0.27215318445273884
MT-CO3	0.2071599759534272	0.07625974644043974	1.2592378838381355	0.15965749060935436
RPL41	0.14169735235283457	0.022388685782388434	1.3101928466047779	0.34769372553010836
RPS16	0.18445328323931987	0.033553611968252385	1.27714268330573	0.3152775695352908
RP11-429J17.5	-0.013837522433418804	0.00036920266907497685	1.4239645518294468	0.6931471805599456
SPRR2B	0.3661363164946128	0.2634985612682777	1.125933997626315	0.46864626427802475
IFI27	0.14298071814245833	0.032775985647293504	1.3092129558307477	0.2393947380780741
RPS27	-0.14544065184309246	-0.03402240222398169	1.5135657579656672	0.30457656811937056
CTTN	0.20354356181934463	0.03251979648678009	1.2621065233811726	0.38927373283327127
IGFBP4	0.25031157181035046	0.20832447904623455	1.224490447647224	0.42738582792974655
FXYD3	-0.08339708681374103	-0.009247182630601404	1.4720034557118002	0.34699442973537864
YWHAQ	0.2418595124455101	0.023909518689903264	1.2313736131284363	0.2961773076034566
SLC16A1	0.2593330731946245	0.04410466147611189	1.2171005930533232	0.3632652412234558
RPL29	-0.10809036928429258	-0.01264226858083132	1.4886842306441568	0.3833625218309552
STON2	0.23777765061102138	0.05557585452134641	1.234684048158863	0.4302161617634017
LOXL2	0.16829065725672218	0.21212849686814916	1.2897358975722726	0.4525800185999872
CTSB	0.10961694906588802	0.03196308387951639	1.3344534843403963	0.2835804678623727
ABI3	-0.006326729304435533	0.0010030171339129635	1.4186801819327959	0.6919375326129527
DSC2	0.1673009598695369	0.07077849221831028	1.290503033805394	0.2369705947930147
MRPL14	0.05173297680430856	0.006770021087506489	1.3771470678149746	0.4630592399482236
YKT6	0.24531164340595132	0.03790288814087817	1.2285669347610237	0.40113155394961003
POSTN	0.1669458643494637	0.1159052574249869	1.29077816502336	0.5600847552751904
NAA50	0.06417888319762552	0.012974346289520057	1.3680797614191758	0.4320079862328834
PSMC3	0.07594692161085996	0.010833162986265984	1.3594506819955918	0.46098814407982114
RNH1	0.23336699669585778	0.026965750850115818	1.2382511888176342	0.3977199207366665
SUN1	0.19829958734625586	0.03724439812268358	1.2662546447328389	0.4105594341366753
SLC34A1	-0.026415915057978242	0.0002584529156919126	1.4327706830180313	0.6931471805599453
PSMB6	0.047127262400304126	0.00718316745543998	1.380487404940513	0.4287692983375567
KRT16	0.12650285325611937	0.1146914134604606	1.3217391170301955	0.22442229143613351
