	PCC	SSIM	RMSE	JS
CTH	0.02018731420526602	0.04397409724705003	1.3998661977451516	0.25757166240482615
PRELP	-0.01430729040036626	0.0006169685924268213	1.4242944150703998	0.43737239232278236
ENDOD1	0.019104101480488217	0.0055249136514446805	1.4006397813281697	0.6448501237044297
BC065397	0.01121728601567627	0.0003273829403186117	1.4062593743576066	0.6428482844302651
DDX55	-0.01901642334099483	0.000830391210865126	1.4275968782124702	0.6524097914802918
SSR4	0.025801483826699664	0.0683653844712042	1.395849931886161	0.3350750543458051
NDUFAF3	-0.00018763301960212977	0.029477175427999366	1.4143462327305873	0.6155493880980631
PDIA6	0.0949978354419482	0.11928910096866452	1.345364013609738	0.2738884639668222
PLXNA2	0.031545115655180415	0.06308473742459084	1.3917290572125163	0.5311609743527659
MED6	-0.005590535069741071	0.07143329171424512	1.4181611580280578	0.5870053838739004
DTWD1	-0.0031383804091640196	0.03700287649985259	1.4164309940192386	0.6507370338885878
GM4944	-0.001802999214225562	0.022179365928614893	1.4154879011946555	0.6485741589678553
CLCC1	-0.016655772997847408	0.021114475743153043	1.4259423361397525	0.5575972326443177
CMAH	-0.011769590115218866	0.059369528965908136	1.4225115747263493	0.4549421831736481
MRC1	-0.01904468332078658	-0.0001685388917136525	1.4276166735652722	0.4665703582004407
GM4951	0.024903767962706914	0.05818098550896748	1.3964929158698178	0.49302623170284665
NISCH	-0.0006621773859329647	0.05595487847489457	1.4146817150058404	0.4812476912851121
KEAP1	-0.032666040586739144	0.0068224048715434995	1.437126327492986	0.5565500269836092
ZBTB38	-0.008551274038475434	0.0005682280237173484	1.420247354539677	0.5717094373131063
2310033P09RIK	-7.558671020161038e-05	0.003530925656903649	1.414267009238497	0.65641902575024
1110035M17RIK	-0.006991979195950297	0.0645712634047451	1.4191490261392212	0.6796794266757784
GLG1	-0.026993483656689174	0.021677732337939022	1.4331737394026511	0.44068751098144776
ZFP872	0.024610285432933827	0.00942930051666782	1.3967030568929577	0.6779078982792865
RCOR3	-0.04441548810358404	0.0003058037064770617	1.4452788575936368	0.6254187477863699
FBXO44	-0.019742288987703024	0.0014881084023141654	1.4281052405111487	0.667057454326158
ORAOV1	0.009326979969526309	0.019413830165204232	1.407602941195047	0.6409828757663729
NFS1	-0.0064497829841808985	0.027444769222461876	1.4187669174210265	0.6498323705714506
GZF1	0.009912587494626167	0.03737824717908754	1.4071868479383778	0.598569833333001
DNAJC3	0.021834517999571163	0.050079287138882135	1.398689016186535	0.3282830199291648
HMGN5	0.001998717544196097	0.0379934261945697	1.4127995487370484	0.5701163255922038
PTEN	0.004121235613794907	0.01957604907740895	1.4112964000423192	0.3734891722205108
GGNBP2	0.011522079333172557	0.051416836027529875	1.4060426171825857	0.45649070362822686
MOV10	-0.00593714578242097	0.041887832962865496	1.4184055455210411	0.604887621934969
MOBP	-0.011411079377328217	0.001529750461348279	1.4222595258090753	0.6680659083155243
ABCA8B	0.016468702992713226	0.02717309218739077	1.4025200868488743	0.5122182840005957
TRMT2A	0.07311146588678516	0.0030509164176679353	1.361534820791018	0.6309312667661886
PLEKHO2	-0.00955620307882304	0.00043738815848523094	1.4209547516221783	0.6455630781149433
HMMR	-0.01679588337188582	0.006952280867826476	1.426040590847179	0.6632924338657498
RHBDD2	0.0007946841558972565	0.014556839047797122	1.413651524134645	0.5921421011077456
GYS2	0.060187315109472436	0.14558616103286867	1.3709942996894826	0.4154662980347623
VAMP5	0.0012822049075783075	0.02262012996617207	1.4133066157719787	0.6014171256055793
E130102H24RIK	0.007482120395490106	0.021721178694981764	1.4089129707718004	0.6709977884871641
PVR	0.01194895744799339	0.00312834018975969	1.4057389818540331	0.6213436504640408
L3MBTL2	0.0021891914914507083	0.0037437049678478475	1.4126647220827377	0.6166954051135733
KIDINS220	0.01513163378879852	0.02852256330936763	1.4034730964369795	0.5186973304097385
UGT1A10	-0.009485306568539159	0.0016683306327262993	1.4209048571727378	0.673396254510179
IL17RC	-0.00438335447225943	0.02792286061325702	1.41730967291715	0.6040480342762402
BC055111	-0.011748384366410233	0.00042751961745043503	1.4224966673890034	0.6831643383749241
STK39	0.00638448547533265	0.0014435245675881805	1.4096918205938966	0.527112157051668
CD300A	0.032657171517862425	0.0019493345005077622	1.3909297814642818	0.6140053805304226
RAD23A	0.007795147429644721	0.01463155080876723	1.4086907769772294	0.5169538343085304
DCBLD2	0.03622941370767187	0.0005986273032926983	1.3883591655564693	0.6344310535542306
MRM1	-0.02512615467685166	0.002174260267162929	1.431870213864966	0.6748215624862699
TUBB6	0.03365330806143647	0.04505355771780349	1.3902134310519112	0.6706969659454245
GC	0.12032242265409887	0.030571242016464516	1.326406858656801	0.09024430118240362
FAM198A	0.01494122954740665	0.15273423112587492	1.403608756350995	0.6393202219549932
AQP9	0.037829115379275094	0.07363029865106914	1.3872064623701297	0.2139667097980153
XRCC1	0.019462017962029184	0.029016872615738733	1.4003842201610033	0.6350436854875372
ARF4	0.03339799157228754	0.05831330525566066	1.3903970716509095	0.39197675264410325
BCL2L14	0.0044358720383230405	0.0023218491903653003	1.4110734410098413	0.6517143221512227
1110054M08RIK	0.009201170908664643	0.053783544034996814	1.4076923165886324	0.570520281816847
NDUFA9	-0.00495683591090479	0.05244686890958868	1.417714241947865	0.43800707519932003
CYP2C44	0.0069653058244586365	0.0364151799919845	1.4092797409851183	0.21778411180870522
TFE3	0.007341324268431564	0.02291309193975247	1.409012899679466	0.6163929421685386
ID3	-0.020911922030863145	0.010462940005481048	1.4289240161960068	0.5442700360666131
NCAPD3	-0.03148434060934324	0.0010615577359726833	1.4363038262215577	0.6325739604691858
EXTL1	-0.01451396239090517	0.0027687862193464256	1.4244395125037113	0.6458756780462667
MMP8	-0.03524610602418876	4.4407155267825165e-05	1.438920502337908	0.6814368620483838
MUP3	0.23377558475465135	0.0246913788141977	1.2379211729713235	0.11448423942784652
ATP6V0A2	-0.010366096458882682	0.04213531057213183	1.4215246015872414	0.6272018992676089
HSD17B6	0.11661330993209548	0.03570832702981461	1.3292002784139827	0.1534028361534593
MSL1	0.00415706886316931	0.02651291100239562	1.4112710095065586	0.6360918544857959
LRRC58	-0.048054168358714955	0.01045589917996767	1.4477943005542708	0.43141508294517134
FIGNL2	0.005293591938793725	0.013396558621602519	1.4104654608044866	0.6315198160057393
CD79A	0.007182425821821453	0.0002566232445898342	1.4091256680496445	0.6540773429226457
PITPNB	0.03639208787675781	0.04796418218614737	1.3882419905212795	0.5395603910109656
SEPHS2	0.001885538584472544	0.015255323842911837	1.4128796561742456	0.6578946102657693
CTR9	0.01206816417425499	0.018869377430637255	1.4056541792530233	0.6006285346536997
LRRC61	-0.012221893691189482	0.012158691836003132	1.4228295004610985	0.6597072735665073
