	PCC	SSIM	JS	RMSE
Htr3a	0.12041518255662333	0.15115952804032073	0.5771449912013784	1.32633692359323
Ngb	0.04088363139364189	0.09266199505421382	0.5246962488139231	1.3850027932147706
Hn1	0.11605335115378272	0.07862355921311781	0.3321295230010468	1.3296214866240823
Thsd7b	0.04375058872133311	0.08344762439918234	0.5001997634111675	1.3829312428885732
Ythdf2	0.04473186889863907	0.014966440910954384	0.5211601713925381	1.382221495348239
Myh4	-0.0012895309677846984	0.043479654703436364	0.6114130907124014	1.4151251046941289
Pbx3	0.005895695047526677	0.030295543582783017	0.5075137983025981	1.4100385136246978
Arl4a	-0.023660231934710733	0.02377177107866481	0.5360080045729652	1.4308460657490103
Dhrs3	0.03543662236466103	0.06379435682328916	0.5554870699152328	1.3889300757312002
Ndrg2	0.03447380662086129	0.04106455171412954	0.36487259544381945	1.3896231096086007
Lrrtm4	0.29911160721351426	0.1663980856441982	0.4046450575376976	1.1839665474889784
Bmp3	0.0012192644251728148	0.01700398622534718	0.618586230839016	1.4133511492724142
Dlx1	-0.05570685698865115	-0.026226084143228256	0.5920731964460949	1.4530704435702015
Klhl5	-0.022406361038213262	0.02801480503344817	0.5634957330434516	1.4299694829178793
Rhebl1	0.03568759719314045	0.02910868367298536	0.4845175278565423	1.3887493674575406
Pde1a	0.20032204380629012	0.16311891646093046	0.3702791982426276	1.264656440456229
Cdk6	-0.021736910111972638	0.019498373740923	0.5743908192506921	1.4295012487661372
Bsg	0.4425013984576189	0.4490241871045131	0.261909996099602	1.0559342797185638
Pcdha10	0.02467177854557292	0.061800105219055074	0.5168010973977971	1.3966590288645448
Homer1	0.34303697459324234	0.21160018285583465	0.2789047526934499	1.14626613437435
Cmtm5	0.10955906166883923	0.1163623478278482	0.5355797178217354	1.3344968627397822
Pllp	0.2601194302166949	0.2772922852629097	0.4637454551784381	1.2164543310649236
Pcdhb14	-0.0075010751953453235	0.02424849898326625	0.5358468993327907	1.4195077141004522
Phkg2	0.007830711039892087	0.013569143507070577	0.5613529118110558	1.4086655308909266
Nrn1	0.43512538798415995	0.3967064122706874	0.2302287709981949	1.0628966196350802
Luzp2	0.22322987775821307	0.2368936207074332	0.32887361969966744	1.2464109452678815
Pcdha1	0.06073731542012086	0.06792845265228001	0.5132244581289009	1.3705930720530286
Penk	-0.00935163454319814	0.0241572552894798	0.5502729749154095	1.420810778776117
Rgs2	0.18003457591123306	0.18109837576955806	0.4145336325471404	1.2805978479513132
Mrpl22	-0.07730216487395279	-0.03052874456953312	0.24186338303500224	1.46785705358114
Camk2d	0.15756067934086812	0.0790973262179651	0.4852044954348687	1.2980287521154006
Syt6	0.11467522725267625	0.1539873893659643	0.5033694091751932	1.3306575613187066
Htr5b	-0.02603279744058976	0.003306729424778769	0.545503766633706	1.4325032617349185
Cxxc4	0.07582199033502343	0.0319472542924762	0.4991689080683361	1.359542577240578
Chat	-0.026825607361735948	0.03845881592889832	0.6215039842086583	1.4330565985764383
Tnfrsf12a	-0.012691848400968576	0.013148971629422131	0.5237235932492417	1.4231597580039763
Rab27b	0.07759123435498871	0.08057602353080552	0.4908856319460258	1.3582406013994806
Depdc7	-0.021081063669574386	0.02518906109067745	0.6016394994243748	1.4290423812256754
Cck	0.0891368854044544	0.051680580536676665	0.5447057271121886	1.3497133877942722
Cygb	0.07140042335342826	0.08437897305090311	0.3885098873863596	1.3627909426222145
Tmem179b	-0.0138945205001708	0.039329460772467184	0.5269078660077435	1.4240045789955669
Hspd1	0.11725253386440668	0.07010613616610051	0.3466463434473628	1.3287192827197123
Aldh3a2	0.009638752342196688	0.03371519990244637	0.4476596642618402	1.4073814320629665
Efna5	0.2574690807249969	0.16832373630281752	0.3822868395207048	1.2186311330956574
Efemp1	-0.020842997157010327	0.021444255765314463	0.6357763653599148	1.4288757798752207
Egr1	0.4756984192589462	0.4462329824544938	0.19952028944855024	1.0240132623565514
Bcan	0.3637478921278754	0.33707925972802466	0.3995367007556667	1.128053285862086
Bdnf	0.14803601028328986	0.16612271265285805	0.41903074882258495	1.305345923283717
Eef1e1	0.2489101393756497	0.057664739834420164	0.4873171889236551	1.2256344158225572
Necab3	0.07992253703096501	0.024713002890875142	0.5505032475844217	1.3565231018814496
Slc2a13	0.08545097707807148	0.0546708728911999	0.454652638295359	1.3524415129105791
Npas4	0.3049255426805164	0.3128521577822497	0.4075165554331167	1.1790457644379064
Cartpt	0.024812505567816428	0.07961178976808021	0.5775968397186443	1.3965582654742217
Nrm	-0.025864126930076687	0.023331140744669143	0.4935397686623333	1.4323855116064783
Nrip3	0.12419803655425347	0.009077433983552544	0.5491323510392722	1.3234817440718603
Ptchd1	0.22432451999237835	0.1267882977513273	0.3779744226610721	1.2455324002270047
Nr4a1	0.31096376401716563	0.3123047682701641	0.2864556937962216	1.173913315354106
Elfn1	-0.04024675490738062	-0.003126009882161757	0.6109071631683012	1.442391593782618
Sln	0.029508422022930136	0.01678186929424324	0.615385934085568	1.3931917154340747
Crhbp	0.29839147918020803	0.3794101160169521	0.4584278441004301	1.1845746247660314
Adk	-0.05214300308056268	-0.0036517639615362735	0.5529920471816061	1.4506157334598042
Serpinb11	-0.0003860285661033119	0.08488929477940414	0.6619938829048766	1.4144864994520827
Atp6v0e	-0.04412311187102317	-0.01624317913300358	0.5576293720535845	1.4450765459801935
Spint2	0.0843121068752328	0.04748060533193346	0.4664936485593214	1.353283335539729
Gadd45a	0.09843094480863146	0.1049929078880598	0.5049988866767938	1.3428097819061109
Tox3	0.07510527593597069	0.08699736671967273	0.4896654344119252	1.3600696482636685
Nrsn2	0.14566919581846474	0.08757962848789262	0.40295585505698656	1.3071578360561782
Tsc22d3	0.12520595938855167	0.1289943135385025	0.3760252251106717	1.3227199557060052
Gm765	0.13917207805227094	0.1809429333942448	0.4637449729710976	1.3121188375659645
Cyr61	0.047271227514469084	0.06705454844668703	0.5085334674639409	1.3803831152875865
Eif4e	0.061224430865712075	0.012597160992228023	0.4390472920072565	1.370237621096639
Aif1	0.07881281976859322	0.06790950569175573	0.6141201482199665	1.3573409153424991
Ddah1	0.12260403383269143	0.10395180600210094	0.3972692068798457	1.3246855975417782
Inpp4b	0.0009332894129147859	0.022458669123033417	0.5258136156530997	1.413553473050868
Rit2	0.16318816612099732	0.06056089796620976	0.3618138019071222	1.293686077747614
Arf5	0.22537422256383766	0.1012027902706658	0.3329422748963804	1.244689340708084
Cpne2	0.0041779796126923995	0.03883529824344125	0.5308326581652126	1.4112561924663485
Slc6a11	0.20560132981838725	0.22545646429396565	0.44979134704334944	1.2604750455138831
Pkig	0.1679233990081294	0.06837593575620173	0.3583223132986633	1.2900206207591185
Cdca7	-0.007941429678444151	0.04607143101681364	0.6097764588767607	1.4198178965476131
Exosc9	0.2014349796547324	0.0443474438795723	0.4218281653998961	1.2637761038611766
S100b	-0.003243137362894864	0.02559746418796318	0.5063466585143968	1.416504950476979
Afap1	0.08600897642120256	0.05565047591586888	0.5073569418104953	1.35202886328569
Syndig1	0.1944243351845127	0.06527200162541368	0.41253356208691866	1.2693113603962485
Gucy1b3	0.3553116609546447	0.2692968545902359	0.2725338829242088	1.1355072338346024
Tmtc4	0.04237234895388324	0.07287835723706618	0.5500433715927734	1.3839274916310584
Elmo1	0.26291375441383746	0.16897572179007092	0.08906886870136796	1.2141550523604163
Calb1	0.1953514906275542	0.19666877821243756	0.4509688102901824	1.2685807103786861
