	PCC	SSIM	JS	RMSE
Vstm4	0.07390181896386723	0.10257322833413857	0.5663665765148569	1.360954210130622
Htr3a	0.06595733787265305	0.10604445388419063	0.6048785870468354	1.3667791790390624
Iqcg	0.24637990450550426	0.28610730280513874	0.5458683211344819	1.2276971088134856
Gm29375	-0.01095179371461803	0.028984807795497176	0.6931471805599452	1.4219365623786582
Fap	0.4698208643172246	0.4677789229957929	0.5255293972806965	1.0297369913553418
Ncf2	0.015411540395669759	0.03979738049322254	0.6136570543267676	1.4032736437376212
Fes	-0.036183699755425215	-0.0010843833405521249	0.6727694788700949	1.439571950098657
Treml2	-0.007340314190450856	0.06797555494631269	0.6931471805599453	1.4193944583451428
Dlx1	0.21052118722764285	0.22663087958449946	0.44502544320846055	1.2565658062929752
Hopx	0.1242506331533586	0.10530091223430244	0.31962255337888457	1.3234420023912203
Hspb3	0.03655457054873814	0.03857326752951399	0.6482497225749442	1.388124943548859
Cdk6	-0.04849506778792792	0.0002339316205543063	0.6722655660145934	1.4480988003502575
Erbb4	0.11769342325678615	0.1050066727473178	0.3848485214105937	1.3283874259742252
Cmtm5	0.18336600198511416	0.19069672223697606	0.3702433242214098	1.2779937386504567
Procr	0.12204944761011605	0.038250989683337296	0.6239703716519863	1.3251041863867792
Igfbp2	0.6647540968632427	0.5537955693998209	0.3810049040683029	0.8188356405735612
Dnase2a	0.10179457787798066	0.1209048963309894	0.5758387142051776	1.3403025196738378
Nckap1l	0.13640818042997846	0.10366561385444488	0.5754057899877749	1.3142235879560382
mt-Nd4l	0.0	0.0	1.0	1.5
Acaa1b	0.05051015342591793	0.06806744034145337	0.5865303953181352	1.3780347213144393
Cacna2d2	0.21776873396455626	0.2107442257809893	0.35723497613540955	1.2507847664849805
Rgs2	0.3363245293337982	0.30970900302744603	0.22764225074709354	1.1521071744123477
Tgfa	0.046966678114328364	0.057609827656891176	0.4560913652706443	1.3806037243797884
Gm3764	0.1437063211211581	0.1486075212233989	0.3114401793194154	1.3086586100880868
Sp100	0.031723267302466496	0.04744959933561927	0.6258583103822596	1.3916010439041309
Dcx	0.12055116229840344	0.0870130996201778	0.4468390327888649	1.3262343968556969
Lrp5	0.03853074050481914	0.03129893578347153	0.6449253384987714	1.3867005873620886
Lhfp	0.2839527510764868	0.2782725316200527	0.29827553803595946	1.196701507414036
Sntn	0.0017272659997045314	0.08085473341374322	0.6714394582249676	1.4129916730117664
Gadd45g	0.11091378669188036	0.12019593127121138	0.43961007379162337	1.33348131843541
Adgrg6	-0.04403367245533159	-0.010812074340662278	0.6817968247137383	1.4450146521439369
Ebf1	0.061910814142430826	0.08833607598116144	0.5719570281554169	1.3697366066931038
Depdc7	0.2048651934884755	0.0768631770827351	0.5018562869034786	1.2610589252778988
Dnah12	0.02306727740252206	0.09506181643732904	0.6677207928564745	1.3978073705611072
Arhgap6	0.010632234970358454	0.02520680391848561	0.5130598435370326	1.4066753463608024
Cck	0.3831051485987413	0.2987602254993999	0.21608186444913874	1.110760866614645
Pard3b	-0.013726063145168277	0.036283348377990944	0.6536210906425144	1.4238862757574204
Il1r1	0.0674414323705174	0.10962660941512807	0.5525945355169883	1.36569291396674
Emcn	0.1920328139929597	0.2089162874219701	0.4567706422259573	1.2711940733082736
Errfi1	0.22831389397119614	0.2375200331006553	0.33390802264258285	1.2423253245658352
Clic6	0.7798066801538418	0.5757120713654236	0.4034261646945382	0.6636163347087807
Pla2g16	0.4760845591737908	0.4364335437925557	0.22681476991326802	1.0236361080249263
Vcan	0.026539920539538468	0.05877071320307501	0.5405547732515785	1.3953208086031408
Nrm	-0.031895779514227555	0.007931046086193477	0.67765823526724	1.4365902543970057
Trim12c	0.03913753908966342	0.04796206277318078	0.6208596392610752	1.386262933869572
Vwf	0.13020778726377458	0.13650023730137448	0.5451761098918434	1.3189330633024752
Timp1	0.007261436042356291	0.010838081263038968	0.6726695863650832	1.4090695965477669
Elfn1	0.14981214398434636	0.17547508033946024	0.4304128134485321	1.3039845520677409
Bst2	0.2758660856572926	0.18620971276983334	0.5090481716579653	1.2034399979581096
Gpr37	0.5016285570122094	0.4435775629159317	0.2240453113255783	0.9983701147247854
Crhbp	0.13652884770579454	0.15456279629059733	0.5247782492086823	1.3141317683506522
Egfl8	0.14909284540700454	0.0799000037872818	0.5610334424882684	1.3045360513170925
Tcn2	0.2935194512619151	0.2919380891018024	0.4820034954851144	1.188680401738066
Zic1	0.297901406982612	0.18743205442734528	0.32919206444946264	1.18498826409158
Cmtm8	0.030118397939609774	0.052763979416418666	0.6212565084322388	1.3927538203576324
Maob	0.05476036861747655	0.07321853812376733	0.3907036411902077	1.37494700362052
Aga	0.03652252996733685	0.0692755634282171	0.5122213862230696	1.388148025271558
Cyr61	0.030495735026699205	0.03251352433085285	0.6030616011621381	1.392482865225494
Arap1	0.08805357343599819	0.06722032547369934	0.5364206546515584	1.3505157730023014
Trim59	0.3440355314875717	0.3376215081266597	0.30302444079293844	1.1453946643078343
Aif1	0.01262771985958324	0.04459511400596648	0.5835284219944941	1.4052560479431615
Slc6a11	0.4401632955818656	0.3218542161720486	0.22737892946608346	1.0581462133544064
Vsig10l	-0.028780515507247056	0.002255360389872905	0.6931471805599453	1.4344201026946373
S100b	0.18172798382476127	0.07493525179679164	0.2627667548369325	1.279274807205425
Hk1os	-0.011037897591618693	0.04237908131338595	0.6747145473925913	1.421997115040406
Gm5083	-0.03663320109533635	-0.007956917923610026	0.6931471805599453	1.4398841627681973
Ccl24	-0.006175096622307667	0.11002387387969258	0.6931471805599453	1.4185732949850056
Phldb1	0.4840346749489851	0.4761864869403083	0.22335515573017287	1.0158398742429977
Tbxas1	0.11672143449913205	0.15146227868493195	0.5932206365433638	1.3291189303451123
Elf1	0.16463684028195752	0.09016974867670276	0.4801721143874035	1.2925657892100058
Col8a1	0.7861361455181987	0.7541933081153285	0.3700777118352151	0.6540089517457713
Elmo1	0.13755456352869586	0.1006819614592986	0.2164461364828702	1.3133510090385616
Calb1	0.22555557319912303	0.21347022771363036	0.26615097816903033	1.2445436326628947
Bmp4	-0.006207279077788298	0.044784221425997	0.6598161522196146	1.418595981298261
Traf4	0.12534359452116167	0.1404364829723159	0.5583357098929901	1.3226158969850907
Pitpnc1	0.2409560149132333	0.2242907521861605	0.21388745704029344	1.232107126094778
Ezr	0.2775328190516484	0.19126815449763815	0.4004679357496935	1.2020542258553493
Tjp3	0.05850842324853	0.12424119724969628	0.6378884470797249	1.3722183330297475
Mfsd7c	-0.030655098437214662	0.002103390320567117	0.6931471805599452	1.4357263655984136
Ctsc	0.041249502039424304	0.06320293584402599	0.537131561738392	1.3847386020188617
Nuak2	0.0056719540720769355	0.03294997865256922	0.6476511980252769	1.4101971819060786
Col9a3	0.5542899395267294	0.5750781340368684	0.4314909335558553	0.9441504757963856
Rhoc	0.06662470643365273	0.06841999252451901	0.5142871527337045	1.3662908135286187
Vav1	0.008861126392339377	0.05138031288750766	0.651095442997962	1.4079338575427902
Slc40a1	0.14087998095893695	0.13840894638573986	0.5234240176964721	1.3108165539396144
Zfp217	0.02444872164848961	0.03355734314556589	0.6382171412421429	1.3968187272166064
Trp53i11	0.1519376126606042	0.08321219076306402	0.33471383421070555	1.3023535521043401
Tmem173	-0.026697036874446814	-0.0033012855697022764	0.6597927785008226	1.4329668781060132
Pip4k2a	0.32066033981185466	0.30860511018096537	0.183381676592476	1.1656240047186277
Emp1	0.12990625995590147	0.11282363792991693	0.5912592250364991	1.319161658057191
Sox8	0.12098554410410513	0.1354317244632481	0.3763575118390868	1.325906826210571
Col14a1	-0.010672067610369044	0.010910945640504287	0.6831748813129566	1.4217398268391932
Cxcl16	-0.03464643917440253	0.014357896446503104	0.6840738243036569	1.4385036942423208
Prdx6	0.2671012208496767	0.1442351870580148	0.20845007873737734	1.2107012671590984
Sept4	0.5888994085890643	0.4915460367462231	0.1945934901378001	0.9067530991520634
Sostdc1	0.6485606131728953	0.6324834534138398	0.37148256655037293	0.8383786576805314
Tcirg1	-0.018101552875725374	-0.00042854297812794113	0.5874907162727219	1.426955887808537
Dct	0.07972381260187557	0.10901758902596892	0.6209583221097081	1.3566695893975986
4930599N23Rik	-0.00947754685673492	0.006619692134046925	0.6931471805599453	1.4208993960564094
Cast	0.10626394622510447	0.06006162521615475	0.5758753637812445	1.3369637644864545
Mob3a	0.056127587448986736	0.02988055578783928	0.5639398194613692	1.3739522644917572
Akr1b3	0.04521142680778153	0.013374239364038323	0.6177280356002327	1.3818745045713945
Spc24	-0.005904234624253115	0.07503541890483728	0.6565862885381879	1.4183823424057795
Myoc	-0.021645483402629357	0.0067065517975571295	0.6275050768113736	1.4294372902667882
Bcl11b	0.28751501422954817	0.29395222409546473	0.28963613427762586	1.1937210610276183
Bmp2k	0.24486935688472544	0.18190594287085804	0.3219359718392954	1.2289268840051262
Espl1	-0.01753381693178684	0.02168430112820473	0.6931471805599454	1.4265579672286626
Mfng	-0.002521515621521616	0.020001028206979236	0.6119074456976389	1.4159954206292629
Abtb2	0.11374221205066445	0.06483016651828169	0.4858525577677595	1.331358545208116
Megf11	0.09193554618605496	0.10369946913082777	0.4742410484871034	1.3476382703188161
Gltp	0.3841274254141551	0.2817983417805537	0.23510389014289956	1.1098401457740164
Xlr	0.0005582082711165295	0.02050357334112293	0.6546746271352935	1.4138187944209002
BC043934	-0.007172923232093826	0.03065703487462405	0.6931471805599453	1.419276522198612
Ifitm1	0.18200501666985047	0.1959912540843808	0.5414722858504217	1.2790582342725054
Rasip1	0.03370822726635321	0.05484216163611959	0.6035517299096926	1.3901739263370227
Arhgap4	-0.042393693471155736	-0.010556938551321357	0.6931471805599453	1.4438792840616252
Slc11a1	-0.03929116119480132	0.028292006370218267	0.6931471805599455	1.4417289351294864
Cd209f	0.015299779282115178	0.059847455194873736	0.6520496479242649	1.4033532846135963
Sncg	0.11740562062715075	0.1073768508600578	0.5764402637720853	1.3286040639504677
Gkn3	0.10834509259580118	0.0754195032593259	0.5991662716669494	1.3354062358729641
Tgfbr1	0.058419918310315164	0.08771486212077959	0.3938571515367679	1.372282829222668
N4bp2	0.01956096888106705	0.059748754241983136	0.5529601319340252	1.4003135585424664
Tmem88b	0.4784763255349466	0.4508985348117204	0.2773888289735688	1.0212968955842894
Plekho1	0.11748585137100327	0.12872839744242046	0.4022257606163821	1.3285436753294917
Gypc	-0.02155551270978797	0.006085142405010614	0.6717296977290643	1.4293743475449583
Lmcd1	0.031004080468968718	0.039966224323895384	0.5902350011024626	1.392117753303241
Calml4	0.8088046643764268	0.8186363299829525	0.2634629809736366	0.6183774504678733
Pdlim1	0.16885165521835727	0.17575502781794633	0.4519376928739772	1.2893008530064989
Kcnq1ot1	0.09926641834733912	0.03017056914921965	0.5249043912166361	1.342187454607337
Gm9945	0.032076414016385814	0.02401461081917319	0.6024379497064727	1.391347250677281
Cfap126	0.4688858094776375	0.4345290346254195	0.3963322015147461	1.0306446434366818
Sp5	0.0107438836264947	0.02999690338367787	0.6721494402460912	1.4065959735286495
Rasgrp2	0.0544968349891287	0.057756768491636114	0.4573876847363733	1.3751386584711165
Gfap	-0.04032545278198907	-0.008301262761662142	0.4845172937649872	1.4424461534365771
Cldn10	0.21380118913178892	0.14080405389281625	0.3529129152385634	1.2539527988470789
Il33	0.5174439626006309	0.4542954613205479	0.22307222061774126	0.9824011781338304
Foxs1	0.039201152442873616	0.05444394184366972	0.6633755244146766	1.38621704473515
Ier3	0.19106213387544807	0.08533392011468348	0.4149041992404704	1.271957441209848
Txnip	0.17372186763602845	0.18364852323475347	0.4430403856779056	1.285517897474766
Tgm2	0.1775405446398487	0.194679838866686	0.5253968726428924	1.2825439215560233
Hbp1	0.12706267221944872	0.12218686162603627	0.3152638634237178	1.3213155018999447
Gsn	0.4056463236865657	0.40476762579405545	0.2653845734020128	1.0902785665264032
Gm11639	-0.006334140447205003	0.030673167757760536	0.6931471805599452	1.41868540589322
Slc25a13	0.18489039156625026	0.1449155593160843	0.5153767685126549	1.2768003825451728
Gm9946	-0.009363737667450814	0.01992824044360954	0.6931471805599453	1.4208192972137244
Clic4	0.32882692675570396	0.3197803099336442	0.22294929162992336	1.158596628032635
Mpzl1	0.1942112132743507	0.08960897318134392	0.3918628740100425	1.269479252863669
Cd9	0.3247873086109145	0.3313040991673131	0.25470112312998605	1.162078045046102
Ttr	0.6535117150011664	0.287181341226714	0.456784798339456	0.8324521427671785
Tmem125	0.2528333561095853	0.2623279257904926	0.40892335262331575	1.2224292567591917
Cep192	0.06289553981793894	0.039729635965750236	0.5548062211283864	1.3690175018472637
Adgrg1	0.2337005330077627	0.21373656115332998	0.2662098354828792	1.2379817987290744
Zfp882	0.060978486665418	0.019939030019830543	0.6348758647392934	1.3704170995245075
Dock10	0.26437249116099004	0.2416268234131534	0.267953737224063	1.2129530154453716
Kcna5	0.08647903735236871	0.09926150625558104	0.564547001487835	1.3516811477916169
Rnase6	-0.01205784552879114	0.032456335332175006	0.6931471805599453	1.4227141986560694
P2ry6	-0.023072286876099114	0.0194745720643276	0.6762746314637935	1.4304350994547772
Pou2f2	0.03644846081838768	0.039211081781465686	0.5416727094252962	1.3882013824957908
S100a16	0.4085909448850937	0.3899261999507999	0.21198977504544048	1.087574415950381
Il6ra	-0.00354991245654406	0.016356546533163915	0.5981575722156225	1.4167215057706608
3222401L13Rik	0.08490318270252717	0.05505488781340489	0.6029183563382212	1.3528464933594446
Csrp1	0.5444438425697964	0.4867791919030833	0.18466196116584752	0.9545220347694481
Cthrc1	0.1284966648874959	0.14490105705190498	0.39858785202364616	1.3202297793282078
Ms4a6b	0.03163642690794143	0.05714563546474875	0.6517977231645662	1.391663445731085
Fibin	-0.01647076787026841	0.005431267512657097	0.6437553386590411	1.4258125878742047
Mylk	0.1979861820810264	0.0994213726605664	0.446964434136753	1.2665021262666507
Tmem88	0.07279575120626484	0.09799809661191082	0.5506595551948756	1.3617666825074957
Zfp729b	0.12847396212210055	0.11383881948890735	0.4496266705607563	1.3202469752875023
Mag	0.5663042135065842	0.4747546756898438	0.2422662846120032	0.931338592020556
Hcar1	0.034709128989302986	0.08911493174754571	0.6521878632232719	1.3894537567049123
Il16	0.03257856210535502	0.0516702194025225	0.6052728225357998	1.3909862960465462
Prrx2	-0.023705106647952175	0.02225439837223058	0.6931471805599453	1.4308774277679774
Hapln1	0.008358776646871877	0.03848087686764005	0.5078057411053558	1.4082906115948712
Sgk1	0.3454067351059448	0.33668708864434305	0.19562613022079745	1.1441968929288833
Zar1	-0.009553191060897892	0.050737545054453874	0.6931471805599452	1.420952631906425
Pmel	0.021175569609774316	0.04120172056585058	0.6670274914795239	1.3991600554548618
