	PCC	SSIM	JS	RMSE
Sulf2	0.2973341438300565	0.07208521782233163	0.30747824733463075	1.185466875260497
Arc	0.29240279168732525	0.09242720463993044	0.27683919750457203	1.1896194419331545
Wfs1	0.2657951928496244	0.07921287657373106	0.31096136707980593	1.2117795237999158
Itgam	0.047330870926898194	0.0135646832818477	0.5725434037651433	1.3803399067426123
Rgs12	-0.017701106252979267	0.007597377355302613	0.5136132194405688	1.4266752302139258
Crispld2	0.0962537328432353	0.054250702493187024	0.4314901527498465	1.3444301894533346
Lhx6	0.12914727259475933	0.018084953960364143	0.5858413160991941	1.3197368884783367
Kcna1	0.17063274055576086	0.06725358827266632	0.3051957000698726	1.2879186771254147
Rprm	0.08538848602844654	0.004807438464190204	0.6060187511488793	1.352487718222649
Tnfaip8l3	0.1026283299079302	0.01834969814938924	0.54738627943864	1.3396803126806558
Mgp	0.35696335616485764	0.08408109444717586	0.4431409180629031	1.134051712961223
Pvalb	-0.0034710975474402943	0.00899601122039902	0.5810832502255495	1.416665872778363
Csrnp1	0.0038409331051503935	0.0022282735567253306	0.5865423892365667	1.411494999562414
Ctgf	0.023899340689920955	0.012675117971635872	0.42532169608942905	1.397211980559914
Fam19a1	0.18623206702861195	0.039686479160695766	0.3872013177641369	1.2757491391111249
Gad2	0.47012494448859005	0.08665579882679911	0.453113017311282	1.029441650130215
Mylk	0.2612173653402397	0.08636894670081581	0.4774369961603111	1.2155514260283358
Tnfaip6	0.03310647103749128	0.007625421139061351	0.4573301874877067	1.3906067229540555
Enpp2	0.06103259963314131	0.004833489113533366	0.4331138419537843	1.3703776124607834
Egr4	0.3019428024495393	0.03879535609036761	0.3590870784860206	1.1815728479873433
Nectin3	0.0916769825019281	0.018263233093197502	0.4315275934743922	1.3478301209707937
Pcdhgc4	-0.03817014238842829	0.00315441178532086	0.5277021235873955	1.44095117362694
Npy	0.1125006551085756	0.01627864851954354	0.5574858533008958	1.3322907677315974
Mdga1	0.12833395656840754	0.045324422098682204	0.4244069417139419	1.3203530160010937
Htr3a	0.08265670392143283	0.046440084365932416	0.5550628382790145	1.354506032528883
Foxp2	0.198728872913026	0.02955651744392452	0.5094624787025066	1.2659155794024923
Bcl6	0.06986813927352703	0.033383558273502874	0.20979728426555996	1.3639148512473005
Pcdhgc3	0.022767976952402732	0.10324947624125123	0.25114848260155376	1.398021475548639
Sccpdh	0.16769404310729852	0.016640451290888852	0.3939043278494666	1.2901984009389422
Rerg	0.0004769836781166673	0.001925842818833054	0.6760349321680758	1.4138762437511163
Myl4	-0.05794157817162408	-0.0036100545727271267	0.447164206471356	1.4546075609398048
Rgs10	0.03477866628335618	0.0036110931932134866	0.5522361084065475	1.3894037093060057
Thsd7a	0.04151279241873963	0.01235737324995811	0.578833372805018	1.3845484517208204
Ctxn3	0.008598094650851876	0.0072865296199252265	0.6214230220874376	1.408120666242171
Ndnf	0.11716415018545945	0.009115328969267516	0.6146566838265428	1.3287857990018859
Rgs2	0.14338445965172794	0.028515601685551555	0.4191791669308761	1.3089045346000387
Ddit4l	0.011053772174565784	0.010508348052800084	0.5905201098793991	1.4063756452850245
Deptor	0.17409080093199478	0.03652998647041696	0.4666942184931764	1.28523087347605
Pcp4	0.3614615791380057	0.06562964713183775	0.3263634516054336	1.1300782458414058
