	PCC	SSIM	JS	RMSE
LIMA1	0.6764850561025639	0.441373309769562	0.2523279140529402	0.8043816804197321
GSTP1	0.9314189150006456	0.8668158395129832	0.0802292797548615	0.3703541143266926
PFN1	0.8882928250631971	0.8082461614335659	0.10215479473571028	0.4726672718452233
TAPBP	0.7242958233124474	0.5595212187595617	0.2940130147346942	0.7425687532983768
DSG1	0.7910824494853536	0.6705359470196944	0.153058800479481	0.6464016561158342
SERPINB2	0.5181300954187062	0.4892377744731254	0.2715900486123116	0.981702505427478
DAZAP1	0.6830926820969024	0.6043899635459122	0.27709007045715955	0.7961247614577726
RPS23	0.8805277161349495	0.8008969870928135	0.14034633563883392	0.4888195656171109
RHOC	0.6955578641999987	0.5751166194295557	0.2695860704446123	0.7803103687636113
EIF1	0.8116865656167565	0.6957658581471646	0.1880054768987358	0.6136993309157891
FLRT2	0.5328352390764168	0.433292835930245	0.3265649548962113	0.9666072221161844
COX5A	0.6742776348783994	0.5808781936065094	0.2622757508322449	0.8071212611765355
RPS18	0.8963071744343171	0.781566979787758	0.1253699588215862	0.4553961474709314
CAST	0.6347391193165608	0.5435129888840046	0.22348278142925496	0.8547056577365556
MMP1	0.4818992885805742	0.4629200179372684	0.3260508909862613	1.017939793327116
HNRNPA1	0.7145416266486497	0.5914276609825703	0.2470440522457578	0.7555903299425559
ARF6	0.7036105140214964	0.5908424460369692	0.251624148078855	0.7699214063506788
RPL36	0.8927951173916204	0.8167177473576527	0.1375971624185702	0.463044020819575
TGFBI	0.6268896273268983	0.5516990370390306	0.2173194804431637	0.8638406944258897
SF1	0.717925412893266	0.6080011370690914	0.2572530201551032	0.7510986447953875
FUS	0.6709872370922634	0.5458588560303275	0.2729877785850117	0.8111877253851126
CANX	0.7403047602827241	0.6710442695244707	0.21059027105740266	0.7206875047026639
COL3A1	0.8071188875934028	0.6915596015133222	0.19021759842495573	0.6210975968502812
ATP6V0E1	0.5810282003735754	0.4285143983722633	0.3352789532456968	0.9153925929637236
ISG15	0.5088961812299352	0.31520495725595804	0.27503357927653593	0.9910638917547798
SPRR1B	0.8738841604324318	0.8434145975176017	0.052012383118951816	0.5022267208493952
SAT1	0.5414633035180593	0.4909091149019433	0.19871385705700176	0.9576394900816704
ODC1	0.6409792697201433	0.4943852529822206	0.2444710091926757	0.8473732710911487
EIF4G2	0.8115448212239993	0.7566594348181934	0.15109089902501635	0.6139302546315838
FAU	0.8041256027884169	0.7032474462047844	0.18680581312367614	0.6258983898550673
LRRN1	-0.013076478692421031	0.008972934784489382	0.6931455049462028	1.423429997360194
RP11-856M7.6	-0.0065907764058665075	0.0048349467271860255	0.6931468751032287	1.4188662913790475
MAP2K2	0.6253377602244921	0.37062178134508295	0.31427135529175765	0.8656353040114618
TOMM7	0.6757647995296976	0.5556785484874605	0.2846220623857485	0.8052765990270702
ASS1	0.5566247244956154	0.3673458774971165	0.3421618073847815	0.9416743338377496
DAZAP2	0.5819516624092537	0.42424434981752107	0.3165115331565315	0.9143832211832698
MALL	0.7394890068397105	0.6334721969318821	0.17184195586750714	0.7218185272771673
C1S	0.4975518110158415	0.11399702421949495	0.4749291644095341	1.0024451994839003
SH3BGRL3	0.7733297143746578	0.6866779028831802	0.1807381617806263	0.6733057041572458
TMBIM1	0.7072784362980508	0.59218776048739	0.21184617157469104	0.7651425536485985
TMSB4X	0.6831728786879949	0.5208052573850466	0.1928824394900814	0.7960240213862956
FABP5	0.8959191854320705	0.7744975748425649	0.06564294923719269	0.4562473332917781
RPL3	0.8842190506205941	0.7879187756632786	0.14500168596794252	0.4812087891537433
FBL	0.6780637996155146	0.6008250109223457	0.2726357222157841	0.8024166005068509
SLC38A2	0.7618593286664497	0.5361531540613473	0.2057630763748029	0.6901313952191279
PSAP	0.7850522448427273	0.6598101096429703	0.2157664086240828	0.655664174951282
COX6C	0.7759666191712621	0.6129897487861691	0.2128824520655068	0.6693778915212811
CTBP1	0.6726526115065206	0.4876839936237807	0.31008759432283645	0.8091321134320151
ACTN1	0.7916121351730209	0.7855993402705601	0.13432358884832565	0.6455816986671464
HNRNPD	0.7421127951060347	0.6738961875979343	0.1946794850926176	0.7181743589045285
PRPF19	0.6185849853948531	0.410569287135766	0.3294721255911636	0.8734014135609659
CKB	0.5410721057175785	0.3824609534121589	0.30838717603970545	0.9580479051513254
EIF5A	0.8412110392169275	0.7644668475913959	0.18744720765413572	0.5635405234463137
ZFP36L2	0.5618572187399293	0.4644150088839832	0.24234902655884946	0.9361012565530192
CSNK2B	0.608862743886436	0.4807920470958148	0.2951072232162346	0.8844628382397575
GAPDH	0.6580586966342816	0.5506183932590597	0.2863147301147967	0.8269719503897558
CTSC	0.5951322848571501	0.4813598277349409	0.2964732473421689	0.8998530048211761
SEPT9	0.7098172343379742	0.6091806883428094	0.24948956554457816	0.7618172558586815
ATP1A1	0.8185613523954893	0.6953304839578339	0.19599961291374116	0.6023929740701012
PSMD2	0.7724470644208355	0.7176855139241272	0.19007720020152294	0.6746153505208199
SPP1	0.15235575400980353	0.1942729186027238	0.5405219316656587	1.3020324465927848
ANXA1	0.8893571207389794	0.8175269733807435	0.059128595185180474	0.4704102024000342
KRT1	0.7737371989510413	0.3171272915598221	0.17852679449064507	0.6727002319740327
PHLDA1	0.5912706101950123	0.5334105746753891	0.2542873821273531	0.9041342707861344
H1F0	0.6613407818612742	0.4908095759458382	0.2295080536104473	0.8229935821605483
DMKN	0.8323263985306874	0.6575130300307479	0.15533396424787524	0.5790917051198585
PSMB1	0.7238925395782325	0.5480985777253572	0.2892883482874542	0.7431116476301087
ITGA3	0.7076874597155665	0.6540333427921298	0.23723596319167414	0.7646077952577172
CDSN	0.3691783150658395	0.21932239034200646	0.3328993267014448	1.1232289926227514
HLA-C	0.6476360798275134	0.5833686527230549	0.22549256161211664	0.8394806968268974
DSG3	0.8471820670395236	0.7780876730428964	0.11080538142957112	0.552843437078666
LGALS1	0.7321790963552873	0.6486608617016469	0.1876335077983204	0.7318755408465468
TUFM	0.6742102922504241	0.5821446066076946	0.2752344731406265	0.8072046924412368
RBM3	0.7440623728139831	0.6813567823488643	0.205603754487438	0.7154545788322509
MORF4L1	0.7630893354042091	0.5254426630323318	0.2123853213161928	0.6883468088046766
FGFBP1	0.8693375554739777	0.7503924316359687	0.10777282062991686	0.5111994611226078
TRAM1	0.5603409044409553	0.45579384651427796	0.3126398745954009	0.9377196761922452
SRSF7	0.6141075166603294	0.35408547638428656	0.3403043987497174	0.8785129291475119
CXCL14	0.7627930091849864	0.7439166517803817	0.09631083064683384	0.6887771639870381
RPS4Y1	0.6359585612436578	0.3855363784676605	0.32629704371774504	0.8532777258974268
COMMD6	0.6431810966007055	0.33854247946600585	0.3588083853487704	0.8447708605288117
IL4R	0.6338610657486156	0.4938560593503418	0.29401275908515345	0.8557323579851172
PXN	0.6105284844529412	0.29502375030345024	0.30921308537098624	0.8825774929682477
GRN	0.7213798190825582	0.6060079561875924	0.21167418038406727	0.7464853393301731
ID1	0.5685913607381634	0.36847735460226094	0.3184174659928326	0.9288795823591308
LSM4	0.7467416118546626	0.525484949375313	0.2841850510155304	0.7116999201142817
UBE2D3	0.7257636388990891	0.6104002049788688	0.22333783401222085	0.7405894424050494
APP	0.8164494675595059	0.7626927437272633	0.14819332851574846	0.6058886571648198
MT-CO3	0.8723805870241982	0.8115657439946589	0.07303040471899677	0.5052116645046942
RPL41	0.8056999927645168	0.6135758454625674	0.21093358348792668	0.6233779066272453
RPS16	0.8435127102660565	0.7076370860109047	0.17554015662489447	0.5594413101192002
RP11-429J17.5	-0.007423971587001411	0.016462731105846243	0.6931457575480098	1.4194533959147808
SPRR2B	0.6286275283776332	0.6303562502381034	0.18055539764318884	0.8618265157470693
IFI27	0.8240839834297655	0.6653887237138796	0.10462458641432323	0.5931543080349909
RPS27	0.8325853913350556	0.7407596921299616	0.14683755011499336	0.5786442925752304
CTTN	0.6495597485998137	0.44653026826317016	0.2598970943533486	0.8371860622348971
IGFBP4	0.7365245317455016	0.6571214190951647	0.2714601167617116	0.7259138630092395
FXYD3	0.7957806746355711	0.6177863430135648	0.16549145310753274	0.6390920518429702
YWHAQ	0.8518634933997099	0.6910609282574588	0.13486132839951315	0.5443096666426013
SLC16A1	0.7481789691523134	0.6856991291323311	0.20793985618054292	0.7096774349627956
RPL29	0.8205310661895742	0.6358952702351562	0.18156467762773965	0.5991142358689634
STON2	0.6266717186190376	0.5459413665558709	0.29177945879250844	0.8640929132691255
LOXL2	0.5448968749913157	0.4314305731091579	0.32863268294385417	0.9540472996751096
CTSB	0.7952448260399927	0.7617902561212977	0.15386122034959931	0.6399299554795156
ABI3	0.4857026832098612	0.031745028548559893	0.6520597129014613	1.0141965458333395
DSC2	0.8902183744617661	0.8546200666819672	0.07673464550518477	0.46857576876794205
MRPL14	0.6110224988995612	0.3929456428815487	0.3139961779908366	0.8820175747687103
YKT6	0.6774103903108171	0.5019092224794808	0.2708596171173255	0.8032304895721812
POSTN	0.41114620521345335	0.22605788357037165	0.4344085887172677	1.0852223687213112
NAA50	0.6723903426956062	0.5755974372861441	0.27778858288590197	0.8094561844898016
PSMC3	0.6180662345200034	0.4926956965826833	0.3088711379942115	0.8739951549980086
RNH1	0.6877411918246255	0.473188071249196	0.2750391469064597	0.790264269944396
SUN1	0.5688975857689494	0.362110899946457	0.3175566754778329	0.9285498524377144
SLC34A1	-0.011066529320831651	0.0051040870735853715	0.6931469132879917	1.4220172497693773
PSMB6	0.6834353061063051	0.451277909132476	0.2810833521208697	0.7956942803535727
KRT16	0.9515133977739724	0.9524143576195552	0.0269868492987292	0.3114052094170152
RNF11	0.5644527695678541	0.2915207977422045	0.2998965400039537	0.9333244135156282
TXNL4A	0.6670472850296925	0.5141455272788801	0.3066374294782585	0.8160302873917211
RPL37A	0.8787267256869432	0.8095682824359216	0.12837671794217334	0.4924901507909712
CBR1	0.6492632705329014	0.5672171619719648	0.2776746070654881	0.8375401237756894
UQCRB	0.7126768255809961	0.4897053800415945	0.2626857572612201	0.7580543178677948
SFPQ	0.7101414949043371	0.5669571177132495	0.2413397815290942	0.7613914960067035
CCT8	0.6644310611667562	0.5811746266751846	0.2916431264544934	0.8192300517354619
FAT1	0.7427712163426942	0.7002108813384051	0.19163065709098814	0.71725697439245
TMBIM6	0.7328066919262073	0.6902735655629014	0.17714884422440094	0.7310175210947993
C1orf162	0.19493856665973075	0.05639706040530861	0.6455501512539689	1.2689061693760253
IFFO2	0.6714729711539926	0.4271387492880402	0.2382722909780422	0.8105887105628939
