	PCC	SSIM	JS	RMSE
ems	0.4420904639483162	0.3189410601597133	0.4149349090971556	1.0563233747784662
CG14427	-0.2812462566478234	-0.0761543197406021	0.18100009461145244	1.6007787209029385
Mdr49	0.7364314601653101	0.604743938284905	0.196766579499933	0.7260420646693827
E(spl)m5-HLH	0.4180800343519532	0.2463211144651729	0.43248407336403005	1.0788141319504922
ImpL2	0.27337399344307445	0.11248571914998436	0.1444533877558818	1.205509026558429
gt	0.22422154181979487	0.1362709910893276	0.334743571448791	1.245615075519083
Cyp310a1	0.7819539315824344	0.7069672540159886	0.20228142156744264	0.6603727256899175
mfas	0.3161426371897233	0.17548957012942634	0.45607333326391	1.1694933627945705
fj	-0.060880715639500926	-0.031435027179160316	0.44951821921587853	1.4566267302500668
rau	0.51090928765066	0.34846257712753514	0.4062601548073707	0.98903054790976
nub	0.5012076502378442	0.3231705101731181	0.2338473174749694	0.9987916196706458
CG17786	0.7103003662392133	0.2533127347341061	0.4707085275950732	0.7611828082146714
sna	0.9226419794029326	0.8519795653837612	0.13488531335960444	0.3933396003380979
croc	0.5140366976637196	0.3804369320222343	0.4024252858318696	0.9858633803284108
noc	0.5372535043410577	0.3417502430690861	0.244263564280494	0.962025462925948
exex	0.3932084224826771	0.09457082971605704	0.537497919909047	1.1016275028496
peb	0.5768212523524738	0.4921706673106894	0.3789420686486312	0.919976899326854
CG11208	0.698626176322045	0.4583604457075764	0.2986029454543381	0.7763682421093164
zfh1	0.4461375196085602	0.18139641928534966	0.5036175527850542	1.0524851356588747
run	0.3801733168994581	0.2296235319927785	0.25149519516181096	1.1133972185168617
odd	0.4858135950194762	0.27345979048464303	0.2649560574190454	1.0140871806511742
Dfd	0.26742210165497826	0.1904437171579768	0.4770698299761529	1.2104362009994758
bmm	0.4770027876863174	0.2799091786976546	0.28743695595012	1.0227386883399714
danr	0.5818452854847687	0.3339243060159036	0.061314965660231924	0.9144995511373762
ftz	0.7146274272578981	0.4187963879828709	0.12468660462102335	0.7554767670049185
CG10479	0.4915511392590458	0.3136444698429132	0.29389494558015683	1.0084134675230734
fkh	0.7180310393363102	0.4285397289055363	0.2518280451351857	0.7509580023725558
Btk29A	0.5806686436583708	0.3046795602722772	0.14341029526567875	0.9157852983550556
trn	0.5518429166206926	0.27017528475589325	0.14035855998290614	0.946738700359616
Traf4	0.4051495452173121	0.30562687596648297	0.2384818075228136	1.0907341149727443
oc	0.7131749657065856	0.3610914279723938	0.2202517849664123	0.7573969029424591
Mes2	0.8857013885409731	0.7907994511503942	0.1382764654617562	0.4781184193461426
lok	0.4982156470120289	0.2327007317375637	0.23694252880496466	1.001782763864473
hb	0.4572493328415307	0.19538558321918187	0.2663673134339313	1.0418739531809684
tsh	0.7306602973634668	0.4841852306546108	0.13895273174103714	0.733947821900894
Doc2	0.6553417444827988	0.3574349859393816	0.2312572911365443	0.8302508723478719
eve	0.5071453552921406	0.2962206377963777	0.2228289387244998	0.9928289326040608
h	0.3742306808802456	0.1244860276474694	0.22058066859098485	1.1187218770720042
CG8147	0.3775140030371715	0.14459337727856986	0.13784224866571698	1.1157831303284955
aay	0.02970720671595302	0.02032494146899016	0.3371498533971177	1.3930490251847183
dan	0.6733304014720364	0.4737464239500269	0.061374855029275074	0.8082940040949996
ImpE2	0.7479681961946731	0.43486498769515497	0.17342841376646595	0.7099743710942341
srp	0.4839160592606311	0.3772872470149827	0.3913526625554684	1.0159566336604815
MESR3	-0.07987899104127252	-0.03977770272337161	0.3431108946609007	1.4696115071958795
twi	0.8205699812012937	0.6923914570499332	0.11538138245028495	0.5990492781044083
apt	0.6778955178644369	0.4660604756249447	0.2551751291752568	0.8026262917891027
Kr	0.4137271203920242	0.18219028122868602	0.22157821774444192	1.0828415208219306
ken	0.6773657512577449	0.4907286548811868	0.38095182680234935	0.8032860620504441
knrl	0.6324352619891062	0.4657300620008083	0.3134417768019745	0.8573969185982578
pxb	0.4136325896522201	0.2304898945681833	0.2016008847117612	1.0829288160795982
CenG1A	0.5643764811821899	0.3173014370237385	0.4670690493069301	0.9334061482739548
Nek2	0.4370191911234113	0.2107233398961849	0.13008708603302951	1.0611133859080175
hkb	0.7178081442929882	0.6029281800326688	0.26265816976115963	0.7512547579975939
Ama	0.5776665495517346	0.35812211994645576	0.12089482882793222	0.919057615656674
erm	0.4832630922178261	0.18984757863037852	0.5189830536805355	1.0165991420242042
bowl	0.7195926372324196	0.5224927519527406	0.30872245967044937	0.7488756409011853
cnc	0.5626737931300172	0.446092104906589	0.3723239438615412	0.9352285355676256
Antp	0.4944110637053232	0.3740032176584194	0.3784789894850679	1.0055734048737337
CG43394	0.6008116626113329	0.3330850145552767	0.07843665862049876	0.8935192637975603
Esp	0.3155847139637108	0.1815637178734845	0.40149859847731423	1.1699703295693349
zen2	0.6189603466882002	0.3207586983009783	0.4457498582730095	0.8729715382666262
zen	0.8026186720070502	0.6209083181825091	0.2337672559394619	0.628301405366803
htl	0.848458956391865	0.7388698013757387	0.21324414261700664	0.5505289158766051
dpn	0.31848480767789344	0.13118590083648352	0.21337696201250672	1.167488922707283
Doc3	0.6024034518087641	0.36211438781144173	0.2577095922223934	0.8917360015063162
Ance	0.7449058936993399	0.6302988534510628	0.29376242020869625	0.7142746058774034
numb	0.3504622673126723	0.1724497742677638	0.17946024264815752	1.1397699177354417
edl	0.3517349138390857	0.1888273405275774	0.5148169196191754	1.138652788308108
Blimp-1	0.40476631973944543	0.26500784031056146	0.2432891196831105	1.0910854047787044
