	PCC	SSIM	JS	RMSE
Gad2	0.09178880589912593	0.10991451333915453	0.23254386172987465	1.3477471529191771
Slc32a1	0.11773533825103898	0.07104927699556361	0.3509039982321794	1.3283558723090445
Crhbp	-0.0011358570288193173	0.012169179992337431	0.4395031512715343	1.4150165066378693
Cnr1	0.17447779431627994	0.21352801440822108	0.15340460500194347	1.2849297301282434
Vip	0.2697707117576932	0.35647596351203864	0.20120935102964504	1.2084943427606991
Cpne5	0.24438216377036545	0.03254826478111373	0.19997765730224906	1.2293232579184652
Pthlh	0.413207314069295	0.24002920602117825	0.3111696210483087	1.0833214536144893
Crh	0.29643605522701744	0.3827036554743226	0.3194459830668999	1.186224215545259
Tbr1	0.02572218245889505	0.011802612087556159	0.09065987109005152	1.3959067429746908
Lamp5	0.06392285810175116	0.04384958927264808	0.1826391332240519	1.3682668905577222
Rorb	0.16807695738904233	0.03235650965713733	0.2532529889147021	1.2899015796648654
Syt6	0.021772687134533328	0.014390491788061822	0.3012921106793364	1.398733221787105
Kcnip2	0.0833882319579691	0.0267366075348066	0.12246646501665336	1.3539658548442284
Aldoc	0.22306627296164167	0.21133004957791124	0.13279641567115374	1.2465421990757939
Gfap	0.07877927517845368	0.005863463323290945	0.2898572889453733	1.3573656285773164
Serpinf1	0.21227002951585466	0.1742158407998653	0.1365094575035216	1.255173271292968
Mfge8	0.12243787069452952	0.03954825243102913	0.2266688707692565	1.3248110275095617
Sox10	0.3877107769431221	0.08860273931757358	0.2731595893129624	1.1066067260385488
Plp1	0.020589018965118867	0.008551403431217118	0.24379267085062836	1.3995792089302277
Pdgfra	0.1741357432756464	0.20754792137666114	0.2534729466039406	1.2851959046965202
Bmp4	-0.0049413722324914994	0.16708892417899526	0.4392226732235378	1.4177033344338943
Itpr2	0.15490091425366506	0.18586200184840265	0.2214875105823833	1.3000762175705969
Tmem2	0.09925610024879447	0.1151231534140733	0.1370519813207502	1.3421951421095262
Ctps	0.2790255959081305	0.4045823580090022	0.0729837446857298	1.2008117288666609
Anln	0.06163929232825821	0.09073252149486148	0.15348964966920808	1.3699348215676117
Mrc1	0.0397585871922012	0.07752144977860664	0.2374742925413923	1.385814859790296
Hexb	-0.06493103537532686	0.06258471642875095	0.15025088066833311	1.4594046973854284
Ttr	-0.025607044926244826	0.009953539169341044	0.20058750639282852	1.4322060221394441
Foxj1	0.0753007134162808	0.05847260342654768	0.25108593598693274	1.3599259440011573
Vtn	0.07762928532709874	0.0622812988847281	0.2692957702533725	1.3582125862124097
Flt1	0.017820098061940896	0.09549039123155366	0.5715826213943189	1.4015562078903998
Apln	0.003221014595895675	0.035222071586148485	0.2074344680938429	1.4119341241036032
Acta2	0.2626522438251019	0.16408519245456274	0.1690753557520422	1.2143704180972938
