,RCTD,Cell2location,Tangram,Seurat,Stereoscope,SPOTlight,SpatialDWLS,DestVI,STRIDE,DSTG,dataset
Astro_L1_6_FGFR3_AQP1,,0.6872598377124678,0.5501079141958835,0.7318193662582525,0.6488207535890272,0.8325546111576977,0.526017724624354,0.6011668799969183,,0.8053955151374199,1
Astro_L1_6_FGFR3_PLCG1,0.33945289881958995,0.34593740788152694,0.3128728738152106,0.39703132699403165,0.3343466525038214,0.8325546111576977,0.26294329158764584,0.2774745733102406,,0.7235104185004456,1
Astro_L1_FGFR3_SERPINI2,,0.6298726241900516,0.46173902993089005,0.6956018946358217,0.6346774119831209,0.6526550453030011,0.6932784108453441,0.5720758482132668,,0.7935904242048045,1
Endo_L2_5_NOSTRIN_SRGN,,0.40675066143473876,0.18563557326860028,0.7537455260437178,0.548145216722273,0.4554627127983581,0.30404315364787543,0.4786213605602881,,0.8171523181010432,1
Exc_L2_3_LINC00507_DSG3,0.3764241715241174,0.5425522382444071,0.44930710698493537,0.6711341336524681,0.6256499704508101,0.6713320890300807,0.40369159986174613,0.629648464310489,,0.7820070565600127,1
Exc_L2_3_RORB_CCDC68,0.2551623388324784,0.38191507761438626,0.4159327908525697,0.6368469477220701,0.43872838300549055,0.3740743980901183,0.5144018995922062,0.4508309909918089,,0.7251553059350417,1
Exc_L2_3_RORB_PTPN3,0.5613258295842694,0.5707170382899674,0.5549103303813586,0.7796641836591904,0.6346381341544945,0.6152007392288875,,0.7392097585649317,,0.7597587645743101,1
Exc_L2_3_RORB_RTKN2,0.546407401620096,0.6373212705448238,0.5796613292071925,0.7825341055568843,0.7057093926466392,0.6696608323177258,0.6757186300247882,0.7120274108811041,,0.785009967998814,1
Exc_L2_LAMP5_KCNG3,0.6099413105439756,0.6469120327390464,0.5584963385533368,,0.648391668556719,0.7230732428234,0.6165078317992405,0.7054041019768873,,0.8050895142095744,1
Exc_L2_LINC00507_ATP7B,,0.6645402994031875,0.5534671737522606,,0.7260508219403713,0.6944064147383161,0.6954637426612879,0.7391323793552763,,0.8094082582717077,1
Exc_L2_LINC00507_GLRA3,0.4262619202573443,0.29507464376694015,0.4120316706887695,0.5810392501167988,0.36253342075490835,0.3152740553004984,0.5266588447685594,0.4464037693571508,,0.5643854475902567,1
Exc_L3_5_FEZF2_ASGR2,0.3050978732706254,0.33258623199045767,0.5777810180064146,0.6279652884299547,0.5739102025895386,0.6440563688302567,0.6654110683379216,0.7110964179955543,,0.798492262782674,1
Exc_L3_5_FEZF2_LINC01107,,0.7849780678416398,0.825261161426232,,0.8166486375650943,0.8092835856431204,,0.8258293136035073,,0.8278358323130441,1
Exc_L3_5_RORB_LAMA4,0.5476154548899138,0.5726127779485048,0.5665388998630438,,0.7346095706730741,0.7386083965391866,0.6813867606621806,0.7237102099246052,,0.8189716739822303,1
Exc_L3_5_RORB_LINC01202,0.469065363363592,0.5605930581951862,0.5532460677289034,0.7166695815179842,0.7291645745457536,0.673614487206014,0.6234784865839552,0.677590660656843,,0.8058583045958,1
Exc_L3_5_RORB_LNX2,0.4855322276961436,0.44980484258386905,0.4456596026790277,0.6191925900312573,0.5076929974080717,0.4137384499271277,0.8050458751263858,0.6136374188904951,,0.6935559285750162,1
Exc_L3_5_RORB_RPRM,0.7411876617046782,0.6988158150035992,0.5425033408321672,0.7116770988812804,0.7485358866946754,0.7319132250668433,0.7745530005992969,0.6126429450788339,,0.7844631859133473,1
Exc_L3_5_RORB_TNNT2,0.42572766762108144,0.5557147887198847,0.5657872966475925,0.7870391493119566,0.7029479804623099,0.7179201554824515,,0.7107932748167072,,0.8069138793352151,1
Exc_L3_LAMP5_CARM1P1,0.35191707717369425,0.37093904782011283,0.43194068130276575,0.6308338866493821,0.4574796350438045,0.3738642975075418,0.6463439643242429,0.5287805530991867,,0.6947687034938214,1
