,RCTD,Cell2location,Tangram,Seurat,Stereoscope,SPOTlight,SpatialDWLS,DestVI,STRIDE,DSTG,dataset
Astro_L1_6_FGFR3_AQP1,,0.4436424066119861,0.6330831308706754,0.24295259149708529,0.4730507813475092,-0.008328028190493747,0.6180804939690819,0.579906373461952,,0.191806598961897,1
Astro_L1_6_FGFR3_PLCG1,0.800142420652191,0.8235754318000399,0.8116665792122603,0.7086052459170628,0.7952727071969197,-0.026800295526878168,0.8831448861873775,0.9154723739765176,,0.23917083749474508,1
Astro_L1_FGFR3_SERPINI2,,0.5433396991171464,0.783866057683268,0.3075384032329672,0.49208887090443654,0.4478055874834709,0.28832071103847806,0.6771091258259359,,0.20782928468367365,1
Endo_L2_5_NOSTRIN_SRGN,,0.9129485330959308,0.9524755044502056,0.28927507202205716,0.8138561090417201,0.9619981562354466,0.9252759981644922,0.8910893849181774,,0.06758149974893385,1
Exc_L2_3_LINC00507_DSG3,0.8267173575424372,0.8022944609512768,0.8328706957414419,0.3871835569368426,0.5506464960132751,0.6493891248167014,0.7902168814325509,0.6212743824074072,,-0.17600160024928085,1
Exc_L2_3_RORB_CCDC68,0.9058431848579174,0.8568636323093686,0.7782790333763983,0.4969874832319765,0.7306831076291945,0.9224591854233191,0.620940245919908,0.80461270634336,,0.13869555655779797,1
Exc_L2_3_RORB_PTPN3,0.5975371964061335,0.6395239464690754,0.6428623961620966,0.07728597971175044,0.4460849415857363,0.5173785850380421,,0.17277686974063783,,0.07067153107824638,1
Exc_L2_3_RORB_RTKN2,0.627593261659047,0.5698999936288317,0.6292074165287662,0.11187809902949421,0.3097944366998665,0.541831421357807,0.32104171408052135,0.3254908675767476,,0.019334451237779427,1
Exc_L2_LAMP5_KCNG3,0.6732672289921258,0.6970714607024902,0.6633201329238246,,0.5336942053876413,0.5647338845865789,0.5418255690970907,0.4967853161104662,,-0.07247181520895721,1
Exc_L2_LINC00507_ATP7B,,0.6779181550284247,0.5575335820308179,,0.38126357260414084,0.5880202350998436,0.3902128366333965,0.5797627446999443,,0.0021923766865851397,1
Exc_L2_LINC00507_GLRA3,0.7293453252961752,0.8249909667352076,0.6427582488613037,0.45167292401319376,0.7289266790429212,0.835614503317647,0.5293679316514277,0.5535015676257753,,0.27170229881524155,1
Exc_L3_5_FEZF2_ASGR2,0.9056060904708452,0.8875275261287943,0.6413376155711202,0.49845417955192295,0.6536467448501362,0.8209297899271726,0.4082045690611893,0.583033637509968,,-0.010691564277542122,1
Exc_L3_5_FEZF2_LINC01107,,0.2193904896777099,0.009865919389808913,,0.020180599373067123,0.16526640300280201,,0.022195147238566797,,0.035808746297745206,1
Exc_L3_5_RORB_LAMA4,0.7362369004801917,0.7983773627069979,0.7255857604738828,,0.33309846963598894,0.4451105088489827,0.331588354202892,0.6611621138389769,,-0.010467746497090523,1
Exc_L3_5_RORB_LINC01202,0.8381757621851653,0.8099359843213337,0.7413542509783496,0.2870938489209005,0.3530524379376217,0.6627456606696791,0.5061593449574268,0.5954611343473823,,-0.013521220107957912,1
Exc_L3_5_RORB_LNX2,0.6350534228583958,0.7146883637255622,0.71893763039145,0.4628760494837191,0.6114976225562215,0.8133390384190782,0.128519259837685,0.3946835575151685,,0.06793229145184707,1
Exc_L3_5_RORB_RPRM,0.4398516002899645,0.4406263513176487,0.6773667720700843,0.3111508686884586,0.21260803966887143,0.5377752227403098,0.1430430781754013,0.649109085968417,,0.11204271481895675,1
Exc_L3_5_RORB_TNNT2,0.8110849017629174,0.8431874451723672,0.6825908758676893,0.08396637728492987,0.35389595697775167,0.5364810267229341,,0.6016585413609606,,-0.051734766609501076,1
Exc_L3_LAMP5_CARM1P1,0.812227034830944,0.8208170798121925,0.7179317966816976,0.43911891166745776,0.7269687641147011,0.8339063553281395,0.4347231098222174,0.6602469896193944,,0.13945476951144423,1
Exc_L3_RORB_OTOGL,0.8899679376261769,0.8351358408746838,0.8185484432501255,0.41053818044682716,0.6008481181133479,0.903449715453401,0.5588742417518507,0.7278870912847076,,0.11548599804839592,1
Exc_L3_THEMIS_ENPEP,0.6892560147187572,0.6420007076656198,0.5953826362438203,0.159564987584278,0.38217493649527445,0.582681231953431,,0.3174178684109913,,-0.04099315856037582,1
Exc_L5_6_FEZF2_C9orf135_AS1,0.8631456225080646,0.8209238785222726,0.7311534613643843,0.4959652711089367,0.7599521846175763,0.898902882839383,0.5300837327796695,0.35302801741324275,,0.14185181159295643,1
Exc_L5_6_FEZF2_CFTR,,0.3344361551600612,0.4167349041612251,-0.01130791638775315,0.27614325273873824,0.27975555031953897,0.01216038053071989,0.2813940158472072,,-0.023453652217935283,1
Exc_L5_6_FEZF2_FILIP1L,0.5073924275908759,0.43840351535609573,0.30234341142219484,0.11213701697360684,0.22707556864636985,0.40610954484085005,-0.0032027100682232574,0.469701478127571,,0.020629260694731418,1
Exc_L5_6_FEZF2_IFNG_AS1,0.9242610425488961,0.8353902144358827,0.8836220979045477,0.5184783647710134,0.7396243513022723,0.9182885705500968,0.7753950060872632,0.8969174125799229,,0.014788735771410846,1
Exc_L5_6_FEZF2_LPO,,0.9362785508845218,0.4484290966015113,0.09939147061090836,0.5538470574861378,0.7937972771267449,,0.8209004521598127,,0.008047964963814049,1
Exc_L5_6_FEZF2_OR1L8,0.6917229767210207,0.7424262202004803,0.7552835147344156,,0.5429541814327722,0.7056318098373913,0.265311064037682,0.15558677122735654,,0.053767421886359835,1
Exc_L5_6_FEZF2_SH2D1B,,0.6324860115709153,0.24686788508530408,,0.24041241799465696,0.45539816899506824,0.23350003834961128,0.48599319214856873,,-0.11484696395348273,1
Exc_L5_6_THEMIS_SMYD1,0.9372365051852123,0.9174291105283595,0.7000629046215903,,0.9084557421749425,0.9617098918627082,0.7055249709531979,0.892331908775928,,-0.014381443434575052,1
Exc_L5_6_THEMIS_TNFAIP6,0.6083781770555066,0.6342881995522982,0.5621896936371377,0.12634776473475837,0.4675600435352888,0.5822094808704751,,0.0579736423351687,,0.0024053163466637205,1
Exc_L5_FEZF2_CSN1S1,,0.5986538308930086,0.16403691914292423,,0.11369197329935823,0.31307081634706013,0.5388872255448616,0.38255026409596493,,-0.03839504079178976,1
Exc_L5_FEZF2_NREP_AS1,0.8507842106102613,0.5728344609429223,0.4708569147894029,,0.34215150976191117,0.5781472677994467,0.5079100485481275,0.6201035211636302,,-0.010174841269204237,1
Exc_L5_FEZF2_PKD2L1,0.5914793336132125,0.5674362616747728,0.5890467752146794,0.02759705576667236,0.47713141646824714,0.6356782132830296,0.5632636923905563,0.45579750773839056,,0.04089424916758854,1
Exc_L5_FEZF2_RNF144A_AS1,,0.6342691750221656,0.6176803262099028,0.25131519208232306,0.39861415705533454,0.6315059319328564,0.5188692172653707,0.3778067491048215,,-0.03356657771226201,1
Exc_L5_RORB_MED8,0.6943617010646768,0.7878538532904666,0.784770877225913,0.04592272638541877,0.49885845633769527,0.5491437419986364,0.4544748596032878,0.6112537555529205,,0.011432234045307863,1
Exc_L5_THEMIS_FGF10,,0.5641048197700412,0.4558212239825386,0.11077195637998272,0.3873735244331008,-0.005769328427703613,0.3973588567466752,0.3143549743529673,,0.008726660200340844,1
Exc_L5_THEMIS_LINC01116,0.6161381574186781,0.4760917137416809,0.25620680819983344,,0.5659669394825781,0.3234466667609708,0.61204073415276,0.23798721417872024,,-0.02409424497225828,1
Exc_L5_THEMIS_RGPD6,,0.5122820450800866,0.4748564127760506,,0.416462823651539,0.5494201588894913,0.613571826326814,0.45714777403349705,,-0.06918230591835323,1
