,RCTD,Cell2location,Tangram,Seurat,Stereoscope,SPOTlight,SpatialDWLS,DestVI,STRIDE,DSTG,dataset
Astro_L1_6_FGFR3_AQP1,,0.08931286413115576,0.368357508245269,0.02458706537478667,0.14792421581059784,0.09319904686755268,0.5768306663421056,0.3878691747027573,,0.005757032578424812,1
Astro_L1_6_FGFR3_PLCG1,0.8014746976601207,0.5657367333443696,0.6881650570346118,0.4948420763499614,0.7861681961895017,0.005689779884669131,0.8792136563679191,0.8542952655070686,,0.01423066245452168,1
Astro_L1_FGFR3_SERPINI2,,0.18727873388308214,0.7687782827104371,0.06362354356713884,0.24437904701218685,0.16722430310830932,0.21472510288409116,0.439153202064524,,0.008423721097324843,1
Endo_L2_5_NOSTRIN_SRGN,,0.9062068493797704,0.9569286224476664,0.10325256605295995,0.6591702225045539,0.8763782332820651,0.9321755058346818,0.7817892625875056,,0.0019115087233733629,1
Exc_L2_3_LINC00507_DSG3,0.7952868609090482,0.6598241630810023,0.8222720425747458,0.40312771706069284,0.3460842915527739,0.2055294520840616,0.7436280125548125,0.46830693023967834,,0.001787613129176291,1
Exc_L2_3_RORB_CCDC68,0.8863589123816185,0.8361422041197075,0.7528451163973034,0.3511987041466075,0.7083384642049152,0.8630437831092126,0.3829053948005097,0.7932919862987378,,0.010882001975168441,1
Exc_L2_3_RORB_PTPN3,0.39156435134797746,0.6257311797372951,0.6180623969555834,0.1252538785098429,0.35323737449690973,0.3905603537060745,,0.06522966766263122,,0.005345490407333885,1
Exc_L2_3_RORB_RTKN2,0.6236177669405312,0.404058344299155,0.556632278617721,0.13130229132678725,0.10230314796895315,0.17365302841704752,0.21386744437122499,0.23690309447337482,,0.003116867881554768,1
Exc_L2_LAMP5_KCNG3,0.44799078703516276,0.36446780547543517,0.6866965944220563,,0.24041567741264952,0.1623877580431006,0.5518816795526683,0.22384985704191152,,0.0008461110854345204,1
Exc_L2_LINC00507_ATP7B,,0.38941492903136377,0.5936358941221005,,0.2384018765649428,0.23869468606572458,0.27723188027544954,0.252299491807822,,0.0018077658481948442,1
Exc_L2_LINC00507_GLRA3,0.5104330121320445,0.7772960554905616,0.39411583222437857,0.41375468247075026,0.7229529749148873,0.8272903890366514,0.30027703943040085,0.4260373486928798,,0.061529451668449885,1
Exc_L3_5_FEZF2_ASGR2,0.8783783147065582,0.869063993465997,0.6115583241568697,0.27361223214771657,0.46918734549076657,0.3929719844708738,0.2103687629168446,0.3409706746580991,,0.002372073533607171,1
Exc_L3_5_FEZF2_LINC01107,,0.07103939854380657,0.05909441548773482,,0.09613927852872231,0.006481661011330842,,0.005805021612884127,,0.000599044839060592,1
Exc_L3_5_RORB_LAMA4,0.6907431725147103,0.7756182461866691,0.5579650702807655,,0.3130641728297866,0.09496363592660327,0.38659089743528213,0.2995358207520164,,0.0012949678076182333,1
