,RCTD,Cell2location,Tangram,Seurat,Stereoscope,SPOTlight,SpatialDWLS,DestVI,STRIDE,DSTG,dataset
Astro_L1_6_FGFR3_AQP1,,0.6872598377124679,0.5501079141958833,0.7318193662582525,0.6488207535890272,0.8325546111576977,0.526017724624354,0.6011668799969183,0.6599829074682965,0.8053955151374199,1
Astro_L1_6_FGFR3_PLCG1,0.3394528988195898,0.34593740788152694,0.31287287381521084,0.3970313269940317,0.3343466525038214,0.8325546111576977,0.26294329158764584,0.2774745733102406,0.3622421587439096,0.7235104185004456,1
Astro_L1_FGFR3_SERPINI2,,0.6298726241900516,0.46173902993089017,0.6956018946358217,0.6346774119831209,0.6526550453030011,0.6932784108453443,0.5720758482132668,0.6528875757341424,0.7935904242048045,1
Endo_L2_5_NOSTRIN_SRGN,,0.4067506614347385,0.18563557326859972,0.7537455260437177,0.548145216722273,0.45546271279835776,0.3040431536478754,0.4786213605602881,0.47349372075253415,0.8171523181010432,1
Exc_L2_3_LINC00507_DSG3,0.3764241715241174,0.542552238244407,0.44930710698493487,0.6711341336524681,0.6256499704508101,0.6713320890300806,0.40369159986174613,0.629648464310489,0.6879454376131503,0.7820070565600127,1
Exc_L2_3_RORB_CCDC68,0.2551623388324784,0.38191507761438626,0.41593279085256896,0.6368469477220701,0.43872838300549055,0.374074398090118,0.5144018995922063,0.4508309909918089,0.4476327691905224,0.7251553059350417,1
Exc_L2_3_RORB_PTPN3,0.5613258295842695,0.5707170382899674,0.5549103303813584,0.7796641836591904,0.6346381341544945,0.6152007392288875,,0.7392097585649317,0.7125228788039085,0.7597587645743101,1
Exc_L2_3_RORB_RTKN2,0.5464074016200959,0.6373212705448238,0.579661329207192,0.7825341055568843,0.7057093926466392,0.6696608323177257,0.6757186300247882,0.7120274108811041,0.738608656270693,0.785009967998814,1
Exc_L2_LAMP5_KCNG3,0.6099413105439755,0.6469120327390464,0.5584963385533367,,0.648391668556719,0.7230732428233998,0.6165078317992404,0.7054041019768873,0.7420271136426776,0.8050895142095744,1
Exc_L2_LINC00507_ATP7B,,0.6645402994031874,0.5534671737522604,,0.7260508219403713,0.694406414738316,0.6954637426612877,0.7391323793552763,0.7996909302856059,0.8094082582717077,1
Exc_L2_LINC00507_GLRA3,0.4262619202573443,0.29507464376694015,0.4120316706887693,0.5810392501167988,0.36253342075490835,0.3152740553004984,0.5266588447685595,0.4464037693571508,0.4044047379516648,0.5643854475902567,1
Exc_L3_5_FEZF2_ASGR2,0.30509787327062526,0.33258623199045734,0.577781018006414,0.6279652884299533,0.5739102025895387,0.6440563688302564,0.6654110683379217,0.7110964179955543,0.532389115215474,0.798492262782674,1
Exc_L3_5_FEZF2_LINC01107,,0.7849780678416398,0.8252611614262321,,0.8166486375650943,0.8092835856431203,,0.8258293136035073,0.8003429369137784,0.8278358323130441,1
Exc_L3_5_RORB_LAMA4,0.5476154548899137,0.5726127779485045,0.5665388998630435,,0.7346095706730741,0.7386083965391865,0.6813867606621806,0.7237102099246052,0.792102379688194,0.8189716739822303,1
Exc_L3_5_RORB_LINC01202,0.469065363363592,0.5605930581951861,0.553246067728903,0.7166695815179842,0.7291645745457535,0.6736144872060137,0.6234784865839553,0.677590660656843,0.7573860447635558,0.8058583045958,1
Exc_L3_5_RORB_LNX2,0.4855322276961436,0.449804842583869,0.44565960267902727,0.6191925900312574,0.5076929974080717,0.4137384499271274,0.8050458751263858,0.6136374188904951,0.5500672904680518,0.6935559285750162,1
Exc_L3_5_RORB_RPRM,0.7411876617046782,0.6988158150035992,0.5425033408321668,0.7116770988812805,0.7485358866946754,0.7319132250668433,0.7745530005992969,0.6126429450788339,0.6815998080217122,0.7844631859133473,1
Exc_L3_5_RORB_TNNT2,0.4257276676210814,0.5557147887198846,0.5657872966475921,0.7870391493119568,0.7029479804623099,0.7179201554824514,,0.7107932748167072,0.7674590331498966,0.8069138793352151,1
Exc_L3_LAMP5_CARM1P1,0.35191707717369425,0.3709390478201128,0.4319406813027654,0.6308338866493821,0.45747963504380457,0.3738642975075418,0.6463439643242429,0.5287805530991867,0.5200841942304512,0.6947687034938214,1
Exc_L3_RORB_OTOGL,0.2981599021445811,0.452267644030417,0.4437527284029583,0.6730881861766623,0.5594655897872849,0.3508537881974358,0.5290145675328745,0.5911628251588671,0.5636323276337989,0.7659135870496124,1
Exc_L3_THEMIS_ENPEP,0.5122111800611283,0.5777517662798856,0.5907189038259424,0.7644140239400814,0.6889311926736101,0.6418928243146892,,0.7483010158588583,0.730280506719667,0.7889112656852154,1
Exc_L5_6_FEZF2_C9orf135_AS1,0.2928040379771321,0.30285876732223965,0.34999529400884677,0.565459969119782,0.3582784188137715,0.2667604411811056,0.5910162941479297,0.5794089700670618,0.3611173881742987,0.6217288702018811,1
Exc_L5_6_FEZF2_CFTR,,0.7287513059499743,0.6549868416455503,0.8325546111576977,0.7293022729988147,0.7942500375567411,0.8182825219374525,0.762209251394307,0.7907791943946295,0.8218314488115581,1
Exc_L5_6_FEZF2_FILIP1L,0.6357832281955773,0.7236478750331445,0.7091511511835855,0.797770951014985,0.7550598264945907,0.7417878037655475,0.8325546111576977,0.7613868601285054,0.7757495725379167,0.8106185901768987,1
Exc_L5_6_FEZF2_IFNG_AS1,0.26743046643929796,0.36093801084235116,0.2922996438721708,0.5893226202090615,0.4418209017238276,0.37803611206493093,0.38984071421838395,0.4577272574966259,0.4631066313224736,0.7725306469269432,1
Exc_L5_6_FEZF2_LPO,,0.4268617906127117,0.6826062368387009,0.78153733597929,0.6762470887762349,0.7088719725282328,,0.7186418469776699,0.729132251079037,0.8215506401897787,1
Exc_L5_6_FEZF2_OR1L8,0.4910329675426485,0.5297582116539556,0.4469718873510819,,0.6073275198030486,0.621550066963291,0.7110192417316485,0.7611235310205874,0.7707476494572103,0.8008506552130581,1
