,RCTD,Cell2location,Tangram,Seurat,Stereoscope,SPOTlight,SpatialDWLS,DestVI,STRIDE,DSTG,dataset
Astro_L1_6_FGFR3_AQP1,,0.44364240661198606,0.6330831308706752,0.24295259149708526,0.47305078134750933,-0.008328028190493744,0.6180804939690823,0.5799063734619518,0.5426937597292021,0.1918065989618969,1
Astro_L1_6_FGFR3_PLCG1,0.800142420652191,0.8235754318000399,0.81166657921226,0.7086052459170635,0.7952727071969197,-0.026800295526878144,0.8831448861873773,0.9154723739765175,0.8247639879398473,0.23917083749474524,1
Astro_L1_FGFR3_SERPINI2,,0.5433396991171464,0.7838660576832679,0.30753840323296744,0.4920888709044365,0.447805587483471,0.2883207110384778,0.6771091258259357,0.4927136455514531,0.20782928468367362,1
Endo_L2_5_NOSTRIN_SRGN,,0.912948533095931,0.9524755044502056,0.28927507202205727,0.8138561090417202,0.9619981562354463,0.9252759981644921,0.8910893849181771,0.9408547543610213,0.06758149974893388,1
Exc_L2_3_LINC00507_DSG3,0.8267173575424372,0.8022944609512767,0.8328706957414419,0.387183556936842,0.5506464960132751,0.6493891248167012,0.7902168814325506,0.6212743824074073,0.5173665396202147,-0.17600160024928127,1
Exc_L2_3_RORB_CCDC68,0.9058431848579176,0.8568636323093689,0.778279033376398,0.49698748323197656,0.7306831076291946,0.9224591854233192,0.620940245919908,0.8046127063433599,0.9117618920823227,0.13869555655779792,1
Exc_L2_3_RORB_PTPN3,0.5975371964061333,0.6395239464690754,0.6428623961620968,0.07728597971175061,0.44608494158573636,0.517378585038042,,0.17277686974063783,0.3046182256062085,0.07067153107824638,1
Exc_L2_3_RORB_RTKN2,0.6275932616590473,0.5698999936288316,0.6292074165287664,0.11187809902949407,0.30979443669986645,0.5418314213578073,0.321041714080522,0.3254908675767476,0.3510543322321087,0.019334451237779108,1
Exc_L2_LAMP5_KCNG3,0.6732672289921258,0.69707146070249,0.6633201329238247,,0.5336942053876413,0.5647338845865786,0.5418255690970911,0.49678531611046617,0.4423560910671317,-0.07247181520895712,1
Exc_L2_LINC00507_ATP7B,,0.6779181550284246,0.5575335820308179,,0.38126357260414095,0.5880202350998438,0.39021283663339623,0.579762744699944,0.1188425602088218,0.0021923766865850954,1
Exc_L2_LINC00507_GLRA3,0.7293453252961752,0.8249909667352076,0.6427582488613037,0.45167292401319376,0.7289266790429213,0.8356145033176463,0.5293679316514275,0.5535015676257753,0.793228660603227,0.27170229881524155,1
Exc_L3_5_FEZF2_ASGR2,0.9056060904708452,0.8875275261287942,0.6413376155711202,0.498454179551923,0.6536467448501362,0.8209297899271725,0.4082045690611895,0.5830336375099678,0.8941029126897028,-0.01069156427754202,1
Exc_L3_5_FEZF2_LINC01107,,0.2193904896777098,0.00986591938980888,,0.020180599373067112,0.16526640300280263,,0.022195147238566793,0.1458670719507421,0.03580874629774519,1
Exc_L3_5_RORB_LAMA4,0.7362369004801916,0.7983773627069979,0.7255857604738829,,0.3330984696359888,0.44511050884898296,0.3315883542028918,0.6611621138389773,0.2587219758103171,-0.010467746497090452,1
Exc_L3_5_RORB_LINC01202,0.8381757621851654,0.8099359843213338,0.7413542509783494,0.2870938489209003,0.35305243793762164,0.6627456606696787,0.5061593449574256,0.5954611343473823,0.2815085538856116,-0.013521220107957997,1
