,RCTD,Cell2location,Tangram,Seurat,Stereoscope,SPOTlight,SpatialDWLS,DestVI,STRIDE,DSTG,dataset
Astro_L1_6_FGFR3_AQP1,0.04073162706267957,0.03666535191942352,0.031908694155513506,0.157052489959704,0.03802535252594881,0.04073162706267957,0.03399937494392567,0.033793741365878996,0.03523437925549937,0.040529915550666075,1
Astro_L1_6_FGFR3_PLCG1,0.0596987904464241,0.10052735306660708,0.07339032736111163,0.06667860655981163,0.06096256022276731,0.09780665301279458,0.044111930072967286,0.03877105151532949,0.05952769294110852,0.09589400380936411,1
Astro_L1_FGFR3_SERPINI2,0.04954410431262147,0.04127580349359736,0.030541193149477727,0.05685984316979579,0.04371990986776406,0.06683161581801686,0.0476537725849218,0.03686743975784209,0.04467885467565281,0.049175124535899215,1
Endo_L2_5_NOSTRIN_SRGN,0.022691654083614107,0.00974945169650347,0.024124136569267183,0.06232271953546217,0.013248775467318239,0.015801559548935584,0.00883002069624872,0.02263837675423217,0.013399324366096371,0.022636579315558455,1
Exc_L2_3_LINC00507_DSG3,0.038025312599557805,0.042917423047575794,0.036696081672369985,0.06363214427611673,0.05556304854155065,0.053663990499420146,0.04542797286925609,0.05205452740661834,0.06054965703190185,0.0660927629164236,1
Exc_L2_3_RORB_CCDC68,0.04150215985256139,0.04937993802501212,0.0667441023780554,0.08481703821010797,0.06827118276904251,0.06986090017175496,0.08502346186220928,0.06781031962492642,0.052324237859985696,0.09448657514837087,1
Exc_L2_3_RORB_PTPN3,0.06626349707567057,0.0681800511577082,0.057693229041032204,0.07965837349017325,0.06639013297707178,0.06591128399430206,0.07575304466157977,0.07357151980063568,0.07065211480592945,0.07401657380745842,1
Exc_L2_3_RORB_RTKN2,0.04450321646566976,0.04239496496980994,0.041177776216962926,0.05142398557249347,0.05521845193819775,0.043753215794299444,0.16196552114371637,0.050697797044414364,0.048411561540576444,0.05211698241121437,1
Exc_L2_LAMP5_KCNG3,0.036314464081176494,0.0327894006886241,0.0366761325566711,0.044703021028016585,0.03756896533701908,0.03884138371796809,0.037916375087349345,0.04477279909425425,0.0433615326684172,0.044401336777668346,1
Exc_L2_LINC00507_ATP7B,0.034218384733091724,0.027969328712067337,0.047403642521825023,0.034218384733091724,0.03145820653746364,0.028655140096684757,0.04352464627468908,0.029415214001583784,0.03390308745768341,0.03402550148669116,1
