,RCTD,Cell2location,Tangram,Seurat,Stereoscope,SPOTlight,SpatialDWLS,DestVI,STRIDE,DSTG,dataset
Astro_L1_6_FGFR3_AQP1,,0.08931286413115558,0.36835750824526914,0.024587065374786662,0.14792421581059784,0.09319904686755268,0.5768306663421054,0.3878691747027573,0.17479231963016484,0.005757032578424809,1
Astro_L1_6_FGFR3_PLCG1,0.8014746976601208,0.5657367333443692,0.6881650570346117,0.4948420763499617,0.7861681961895017,0.005689779884669134,0.8792136563679191,0.8542952655070686,0.7932147379990288,0.014230662454521686,1
Astro_L1_FGFR3_SERPINI2,,0.18727873388308203,0.7687782827104368,0.06362354356713884,0.24437904701218685,0.16722430310830946,0.21472510288409122,0.439153202064524,0.15298914253147117,0.008423721097324841,1
Endo_L2_5_NOSTRIN_SRGN,,0.9062068493797703,0.9569286224476663,0.10325256605295995,0.6591702225045539,0.8763782332820655,0.9321755058346817,0.7817892625875055,0.8697103710690919,0.0019115087233733633,1
Exc_L2_3_LINC00507_DSG3,0.795286860909048,0.6598241630810027,0.8222720425747457,0.40312771706069284,0.3460842915527739,0.20552945208406173,0.7436280125548124,0.46830693023967834,0.15058854830376292,0.001787613129176287,1
Exc_L2_3_RORB_CCDC68,0.8863589123816183,0.8361422041197074,0.752845116397303,0.3511987041466075,0.7083384642049152,0.8630437831092131,0.38290539480050956,0.7932919862987377,0.7509912232945387,0.01088200197516844,1
Exc_L2_3_RORB_PTPN3,0.39156435134797746,0.6257311797372953,0.6180623969555838,0.1252538785098429,0.35323737449690973,0.39056035370607445,,0.06522966766263122,0.06626325315599453,0.005345490407333885,1
Exc_L2_3_RORB_RTKN2,0.6236177669405313,0.404058344299155,0.5566322786177217,0.13130229132678728,0.10230314796895315,0.1736530284170476,0.21386744437122496,0.23690309447337488,0.061887796527319884,0.0031168678815547647,1
Exc_L2_LAMP5_KCNG3,0.4479907870351627,0.364467805475435,0.6866965944220563,,0.24041567741264952,0.16238775804310068,0.5518816795526683,0.2238498570419115,0.06343762067466692,0.0008461110854345235,1
Exc_L2_LINC00507_ATP7B,,0.38941492903136415,0.5936358941221004,,0.2384018765649428,0.23869468606572503,0.2772318802754496,0.252299491807822,0.005550737969953109,0.0018077658481948438,1
Exc_L2_LINC00507_GLRA3,0.5104330121320445,0.7772960554905618,0.3941158322243778,0.4137546824707502,0.7229529749148873,0.8272903890366512,0.3002770394304008,0.4260373486928798,0.6818035909988329,0.061529451668449885,1
Exc_L3_5_FEZF2_ASGR2,0.878378314706558,0.8690639934659969,0.6115583241568701,0.27361223214771097,0.46918734549076674,0.3929719844708747,0.2103687629168445,0.3409706746580991,0.6638510295991511,0.002372073533607172,1
Exc_L3_5_FEZF2_LINC01107,,0.07103939854380653,0.059094415487734864,,0.09613927852872231,0.006481661011330942,,0.005805021612884127,0.031568645105962315,0.000599044839060592,1
Exc_L3_5_RORB_LAMA4,0.6907431725147104,0.7756182461866691,0.5579650702807661,,0.3130641728297866,0.09496363592660359,0.38659089743528213,0.2995358207520164,0.025215198348409077,0.001294967807618234,1
