,Astro,Endo,Excitatory L2/3,Excitatory L4,Excitatory L5,Excitatory L6,Inhibitory Other,Inhibitory Pvalb,Inhibitory Sst,Inhibitory Vip,Micro,Neuron Other,Olig,Other,Smc
0,0.06387296,0.22277354,0.015034162,0.031048538,0.05338671,0.010870464,0.015796643,0.05188155,0.08374829,0.053105436,0.0413529,0.25444344,0.02521099,0.025080262,0.052394085
1,0.02830819,0.44388878,0.0073364875,0.029760849,0.04411284,0.0520418,0.033529278,0.018785056,0.056796905,0.04106101,0.069783926,0.056215145,0.024685448,0.04343038,0.05026384
2,0.07606253,0.17210762,0.049755365,0.015546972,0.0710813,0.02005278,0.1081341,0.1153,0.0322198,0.064736046,0.07501345,0.027628604,0.093621776,0.057002503,0.021737164
3,0.055367555,0.20976262,0.04230066,0.007957804,0.16891061,0.042774886,0.078709185,0.054795794,0.085439764,0.068934426,0.041718975,0.061471168,0.025515396,0.042128924,0.014212273
4,0.017314142,0.1620572,0.05653421,0.033134043,0.17778713,0.15295872,0.022183096,0.031790007,0.033580642,0.06293961,0.039998632,0.031880606,0.06177084,0.014755042,0.10131608
5,0.014002819,0.053187847,0.014512382,0.010884575,0.055749472,0.042736363,0.05174961,0.049986105,0.03045564,0.056917317,0.022707181,0.2178383,0.23502302,0.04289902,0.10135028
6,0.014536938,0.22528617,0.021523245,0.024755789,0.15905516,0.046603665,0.05137258,0.041615188,0.08392203,0.03748406,0.009611855,0.109264,0.042323507,0.07035547,0.06229047
7,0.06625777,0.20865144,0.045421455,0.022728942,0.052101072,0.018048814,0.018048875,0.0488865,0.03266575,0.057319093,0.11769782,0.046660807,0.061535757,0.06661684,0.1373591
8,0.011824562,0.11058888,0.018720705,0.027927954,0.109771155,0.02808021,0.07380875,0.032587055,0.010994687,0.09242654,0.13780624,0.12838085,0.1273126,0.028478675,0.06129114
9,0.053021833,0.1453709,0.08472891,0.04945245,0.03612109,0.005049593,0.03908885,0.023213401,0.03564566,0.117032304,0.030651374,0.038300816,0.066910766,0.11948998,0.15592204
10,0.045524742,0.05641473,0.13669366,0.034144543,0.042239424,0.040055543,0.04279012,0.077717744,0.06680599,0.028849833,0.028202927,0.13483869,0.0086253,0.10334148,0.15375529
11,0.04618615,0.13421579,0.03183447,0.019693464,0.15262145,0.0354644,0.09292211,0.00952637,0.044759877,0.040383153,0.019649172,0.06871687,0.03584592,0.17096862,0.09721216
