"","predicted.id","prediction.score.Inhibitory.Vip","prediction.score.Inhibitory.Other","prediction.score.Inhibitory.Sst","prediction.score.Inhibitory.Pvalb","prediction.score.Endo","prediction.score.Other","prediction.score.Excitatory.L6","prediction.score.Excitatory.L2.3","prediction.score.Neuron.Other","prediction.score.Excitatory.L5","prediction.score.Excitatory.L4","prediction.score.Olig","prediction.score.Astro","prediction.score.Micro","prediction.score.Smc","prediction.score.max"
"0","Endo",0,0.204954136144732,0,0,0.323831813376255,0.151759479203623,0.105621176801936,0,0,0,0,0,0.213833394473454,0,0,0.323831813376255
"1","Olig",0,0,0,0,0.00100210537649384,0.00417271837308097,0,0,0,0,0,0.933900226962576,0.0609249492878491,0,0,0.933900226962576
"2","Olig",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"3","Olig",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"4","Excitatory L6",0.0120533513787712,0.0490667951981834,0.302861022858439,0,0,0,0.636018830564607,0,0,0,0,0,0,0,0,0.636018830564607
"5","Excitatory L6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"6","Excitatory L5",0,0,0,0,0,0,0.1700081631737,0,0.00220620867205716,0.827785628154243,0,0,0,0,0,0.827785628154243
"7","Excitatory L5",0,0,0,0,0,0,0.117750584332898,0,0.00197620308689197,0.88027321258021,0,0,0,0,0,0.88027321258021
"8","Inhibitory Sst",0,0,0.864019791332344,0.0764294449723047,0,0,0.0354951331521007,0,0,0.0240556305432506,0,0,0,0,0,0.864019791332344
"9","Excitatory L6",0,0.0335419245123811,0,0.0248378389668111,0,0.259271776170923,0.461375586690049,0,0,0.115960974972219,0,0,0,0.105011898687617,0,0.461375586690049
"10","Inhibitory Vip",0.398332439997002,0,0.00258426138265234,0.0667804392831054,0,0,0.216017930479369,0,0,0.316284928857871,0,0,0,0,0,0.398332439997002
"11","Inhibitory Sst",0,0,0.495010592937915,0,0,0,0,0,0,0.0317231629037608,0.473266244158324,0,0,0,0,0.495010592937915
"12","Excitatory L4",0,0,0,0,0,0,0,0.00920829194600539,0,0.0237194405088556,0.967072267545139,0,0,0,0,0.967072267545139
"13","Excitatory L4",0,0,0,0,0,0,0,0.172969875102162,0,0,0.827030124897838,0,0,0,0,0.827030124897838
"14","Excitatory L2/3",0,0,0.374714688574461,0,0,0,0,0.615375888217957,0,0,0.00990942320758184,0,0,0,0,0.615375888217957
"15","Excitatory L2/3",0,0,0,0,0,0,0,0.96569480122118,0,0,0.0343051987788196,0,0,0,0,0.96569480122118
"16","Excitatory L2/3",0,0,0,0,0,0,0.0998427603262471,0.841411106966018,0,0,0.0587461327077348,0,0,0,0,0.841411106966018
"17","Inhibitory Other",0.0031918429886984,0.914134059748725,0,0,0.000118139607683061,0,0,0.0665790122173545,0,0.0159635708555132,0,0,0,1.33745820265419e-05,0,0.914134059748725
"18","Micro",0,0,0,0,0.0102012779039475,0.111904721574766,0.0251174086879328,0,0,0,0,0,0.1121008088188,0.740675783014554,0,0.740675783014554
