"","cell_ID","Inhibitory Vip","Inhibitory Other","Inhibitory Sst","Inhibitory Pvalb","Endo","Other","Excitatory L6","Excitatory L2/3","Neuron Other","Excitatory L5","Excitatory L4","Olig","Astro","Micro","Smc"
"1","0",0.110178542301477,0.0606051655106079,0.204832199528454,0.0264048183851875,0,0,0,0.388049205157433,0,0,0.0946617160999367,0,0.115268353016904,0,0
"2","1",0.105006123811669,0.0600968950717022,0.100747390627708,0.0486624818865412,0,0,0,0.394829864876536,0,0.072938587769701,0,0.0773452837728701,0.140373372183272,0,0
"3","2",0,0,0,0,0,0.0581666966701818,0,0,0,0,0,0.619683571794207,0.17972345351748,0,0.14242627801813
"4","3",0,0,0,0,0,0,0,0,0,0,0,0.525526583129543,0.34986391603803,0,0.124609500832427
"5","4",0.0853817877400953,0,0.177359127277627,0,0,0,0.17380464498917,0.475491636212172,0.0879628037809362,0,0,0,0,0,0
"6","5",0.0527234869900289,0,0.00132482079942188,0.13150521678612,0,0,0.250782431214449,0.406133268870978,0.0343907002374793,0.0596744514763936,0,0,0.0634656236251293,0,0
"7","6",0,0.0916312772905874,0,0.0401488479518231,0,0,0.104317530037179,0.704059165272156,0,0,0,0,0.0598431794482542,0,0
"8","7",0.0630047796633117,0,0,0,0,0,-2.72719888724844e-19,0.520606913580735,0.101098373113897,0.247087201861586,0,0,0.0682027317804702,0,0
"9","8",0,0,0,0.0996175623836812,0,0,7.07443634195478e-19,0.581618183636705,0.113124091564723,0.121937233934422,0,0.0837029284804694,0,0,0
"10","9",0,0,0,0.102761551052693,0,0,0,0.547213648041705,0.0976672843612804,0.155306836758569,0,0,0.0970506797857524,0,0
"11","10",0.0915558735121967,0.0617120904417843,0,0.0610345999883288,0,0,0,0.37668841583887,0.0893515906977184,0.270888926374179,0,0,0.0487685031469221,0,0
"12","11",0,0,0.110440144975184,0.0546764979834016,0,0,0,0.355961437757852,0,0.190870753107826,0.185664562064711,0,0.0601498863227153,0,0.0422367177883096
"13","12",0.0549961308116565,0,0,0.0824058341850859,0,0,0,0.414418646489575,0.0716254339636118,0.106193954356173,0.218666974905963,0,0.0516930252879346,0,0
"14","13",0.11315454100032,0,0,0,0,0,0.0220069896468944,0.524772938979597,0,0.159815178003993,0.180250352369195,0,0,0,0
"15","14",0,0,0.279234593120044,0,0,0,0,0.637972180715794,0,0,0.043402764505163,0,0,0,0.0393904616589997
"16","15",0,0,0,0,0,0,0,0.88396557421566,0.00537301307607476,-9.90151978675435e-23,0.0302196056429533,0,0.0804418070653118,0,0
"17","16",0.0869296570426252,0,0,0,0,0,0.081681705676294,0.604979382373643,0.126226109936879,0,0,0,0.100183144970558,0,0
"18","17",0.144193265424198,0,0,0,0,0,0,0.485545264805365,0.166410194472744,0.100286867286063,0.103564408011629,0,0,0,0
"19","18",0.180040625788194,0,0,0,0,0,0,0.413306750054486,0,0,0,0,0.0931280850434062,0.251866704584043,0.0616578345298703
"20","19",0.35034895079812,0.085578533951759,0,0.0504164167606679,0,0,0,0.239835897914408,0,0.116270840686375,0,0,0.15754935988867,0,0
