X	Y
1632.02	-1305.7
1589.47	-669.51
1539.89	-1185.9
1513.94	-710.24
1477.85	-763.87
1304.03	-1142.4
1291.34	-957.71
1282.49	-1725.4
1218.73	-806.56
1192.59	-1800.1
1202.12	-1886.0
1183.07	-950.97
1162.46	-593.51
1128.82	-1596.5
1115.86	-1021.4
1102.88	-1696.0
1074.92	-391.16
1045.9	-597.81
1037.4	-1865.2
1024.7	-469.54
1017.8	-1636.6
1006.0	-344.12
992.9	-1293.3
980.8	-1378.9
938.6	-1594.2
922.8	-822.23
923.3	-560.36
912.5	-742.3
913.1	-1751.6
882.0	-668.36
810.5	-241.57
800.9	-624.11
802.4	-103.12
798.2	-449.39
752.7	-1342.6
704.5	-407.86
618.2	-894.7
610.6	-1272.8
612.9	-1363.8
565.4	-421.27
553.6	-271.42
531.9	-1069.0
460.6	-426.59
417.4	-669.71
359.3	-782.61
348.1	-228.25
354.2	-442.86
341.4	-973.21
321.0	-1201.2
321.4	-854.77
1924.97	-855.84
1838.05	-469.57
1831.19	-1090.2
1801.58	-267.56
1785.95	-981.25
1769.95	-390.59
1734.44	-1117.0
1687.25	-520.51
1664.57	-980.24
1657.9	-799.96
1508.52	-527.31
1482.67	-621.1
1369.49	-571.13
1839.07	-1458.0
1802.32	-1738.7
1805.0	-1561.7
1812.68	-1319.2
1797.44	-1875.4
1712.56	-1428.9
1679.39	-152.2
1649.39	-334.16
1632.03	-1623.4
1575.96	-228.45
1575.84	-1829.6
1556.42	-1741.8
1566.09	-1418.1
1551.13	-363.87
1492.65	-291.89
1474.76	-1745.0
1466.01	-1617.6
1449.26	-1238.0
1457.75	-1875.9
1457.65	-402.8
1444.82	-238.72
1440.75	-1298.3
1427.06	-1401.0
1414.83	-312.93
1400.12	-448.36
1357.53	-699.92
1351.5	-1923.8
1339.72	-370.94
1298.05	-781.88
1244.38	-191.29
1232.85	-1960.0
1228.13	-739.38
1210.65	-374.81
1208.0	-1502.4
1171.89	-266.0
1156.03	-1357.2
1142.25	-446.9
1109.02	-1308.9
1124.85	-745.68
1106.51	-1460.8
1064.34	-799.79
992.3	-996.9
990.5	-886.81
969.6	-1198.5
956.3	-113.16
939.4	-280.75
907.5	-1444.0
894.4	-234.96
891.1	-404.65
874.3	-1127.0
786.5	-921.13
775.7	-796.06
490.8	-1336.0
421.9	-1794.6
270.0	-1383.3
1915.47	-1378.7
1896.97	-1547.5
1811.07	-1634.0
3248.83	-681.3
3142.78	-773.77
3121.48	-861.26
3076.52	-682.46
3023.19	-495.56
3013.1	-594.86
2990.89	-837.63
2904.34	-667.59
2865.11	-575.64
2863.69	-830.55
2773.15	-822.66
2719.27	-926.19
3561.82	-1601.6
3523.37	-1354.5
3495.02	-1800.3
3492.02	-1675.2
3423.84	-1597.6
3420.45	-911.59
3388.07	-1512.5
3289.95	-1083.2
3286.12	-1606.3
3229.47	-1456.6
3163.33	-1464.7
3140.89	-1080.9
3155.23	-1255.1
3144.8	-1814.4
3126.12	-1320.5
3099.55	-376.66
3054.52	-301.91
3054.32	-1376.3
3039.23	-1224.7
3011.5	-407.08
2997.63	-1439.6
2906.28	-1660.6
2897.63	-1213.6
2869.05	-1581.2
2865.05	-1496.8
2853.74	-375.37
2856.53	-451.05
2847.87	-508.2
2836.59	-1402.5
2807.27	-1159.9
2746.73	-1495.1
2729.73	-366.94
2729.87	-1388.5
2722.57	-513.53
2710.83	-1039.8
2700.37	-289.92
2686.47	-1555.4
2657.27	-397.93
2639.67	-1816.8
2637.67	-1311.8
2633.27	-1223.2
2621.07	-1954.9
2624.17	-1410.2
2615.77	-1675.7
2607.77	-1002.1
2599.27	-1103.8
2590.07	-247.23
2583.17	-1534.7
2569.37	-493.17
2563.67	-176.2
2543.37	-1197.8
2528.47	-1370.7
2530.87	-324.83
2529.57	-1443.6
2503.17	-427.71
2501.77	-1535.1
2463.47	-900.27
2445.37	-224.88
2421.67	-1461.1
2414.97	-1021.7
2408.07	-1117.7
2413.27	-440.01
2407.37	-1737.6
2385.87	-945.65
2364.97	-368.95
2376.57	-561.77
2323.37	-1802.9
2332.07	-1326.7
2309.97	-1687.2
2296.57	-514.6
2285.47	-1241.1
2279.77	-861.75
2251.07	-590.72
2252.07	-743.94
2247.57	-1463.2
2240.87	-1109.0
2226.67	-464.69
2203.27	-918.22
2197.37	-1748.9
2162.97	-1205.4
2153.47	-743.17
2126.17	-1087.2
2099.27	-856.63
2104.27	-531.71
2086.87	-1751.5
2082.07	-653.89
2083.87	-1625.7
2067.77	-751.4
2052.37	-1164.1
2034.97	-1536.8
1986.67	-1020.7
1965.17	-918.24
1876.87	-1046.5
5195.67	-1033.1
5159.8	-794.27
5119.29	-892.49
4970.61	-1037.7
4997.85	-1174.9
4899.09	-864.35
4879.9	-1112.1
4851.6	-1240.8
4823.56	-1365.4
4804.11	-713.46
4721.72	-1351.7
4682.87	-874.24
4669.97	-1231.8
4637.17	-1699.3
4607.14	-1336.0
4547.35	-568.71
4537.9	-1744.9
4510.15	-1145.7
4483.3	-1047.9
4442.22	-493.04
4436.92	-999.3
4418.12	-1623.1
4406.42	-1437.8
4392.42	-752.18
4317.02	-490.18
4240.52	-1073.6
4243.82	-1585.5
4222.32	-761.15
4172.12	-529.72
4192.32	-872.18
4158.92	-800.37
4094.92	-1122.9
4082.02	-1281.7
4032.92	-1487.7
3993.32	-1168.7
3968.02	-1620.9
3946.22	-998.12
3877.72	-906.57
3829.02	-1769.8
3810.52	-974.49
3812.72	-1879.2
3740.62	-1473.7
3661.02	-873.9
3673.02	-1327.8
5210.52	-1507.3
5074.16	-1522.7
5049.17	-1655.5
5024.13	-1415.4
4952.79	-1309.2
4929.39	-1484.8
4888.54	-1668.2
4759.77	-1474.1
4016.92	-876.46
3962.02	-1734.5
3828.12	-1652.8
3823.62	-1371.3
5297.77	-707.72
5288.5	-520.95
5266.38	-623.17
5149.68	-1818.8
5134.28	-551.91
5101.7	-633.05
5019.92	-1820.3
5016.97	-703.15
5003.98	-573.52
4872.74	-539.39
4802.82	-420.87
4800.77	-325.13
4685.65	-1042.1
4653.69	-300.32
4630.36	-713.42
4570.03	-756.36
4554.35	-414.39
4510.78	-257.98
4278.02	-1904.6
4219.92	-1273.9
4218.32	-1803.1
4212.72	-174.8
4131.72	-1936.0
3967.12	-695.89
3950.32	-602.98
3957.12	-212.18
3943.12	-355.41
3871.12	-496.92
3774.32	-644.44
3734.02	-374.85
3632.42	-546.78
