	louvain	celltype
0	13	ExcitatoryL2and3
1	3	ExcitatoryL2and3
2	3	ExcitatoryL2and3
3	7	Inhibitory
4	6	ExcitatoryL4
5	7	Inhibitory
6	3	ExcitatoryL2and3
7	7	Inhibitory
8	3	ExcitatoryL2and3
9	3	ExcitatoryL2and3
10	3	ExcitatoryL2and3
11	3	ExcitatoryL2and3
12	20	Micro
13	3	ExcitatoryL2and3
14	3	ExcitatoryL2and3
15	7	Inhibitory
16	19	Astro
17	3	ExcitatoryL2and3
18	20	Micro
19	9	ExcitatoryL2and3
20	3	ExcitatoryL2and3
21	7	Inhibitory
22	2	Endo
23	7	Inhibitory
24	6	ExcitatoryL4
25	7	Inhibitory
26	6	ExcitatoryL4
27	6	ExcitatoryL4
28	3	ExcitatoryL2and3
29	6	ExcitatoryL4
30	3	ExcitatoryL2and3
31	3	ExcitatoryL2and3
32	3	ExcitatoryL2and3
33	3	ExcitatoryL2and3
34	2	Endo
35	23	Inhibitory
36	10	Astro
37	2	Endo
38	20	Micro
39	10	Astro
40	3	ExcitatoryL2and3
41	10	Astro
42	10	Astro
43	2	Endo
44	10	Astro
45	20	Micro
46	7	Inhibitory
47	10	Astro
48	7	Inhibitory
49	20	Micro
50	10	Astro
51	3	ExcitatoryL2and3
52	7	Inhibitory
53	25	OPC
54	3	ExcitatoryL2and3
55	13	ExcitatoryL2and3
56	3	ExcitatoryL2and3
57	3	ExcitatoryL2and3
58	3	ExcitatoryL2and3
59	7	Inhibitory
60	3	ExcitatoryL2and3
61	7	Inhibitory
62	3	ExcitatoryL2and3
63	3	ExcitatoryL2and3
64	13	ExcitatoryL2and3
65	20	Micro
66	13	ExcitatoryL2and3
67	6	ExcitatoryL4
68	3	ExcitatoryL2and3
69	6	ExcitatoryL4
70	6	ExcitatoryL4
71	13	ExcitatoryL2and3
72	9	ExcitatoryL2and3
73	3	ExcitatoryL2and3
74	6	ExcitatoryL4
75	6	ExcitatoryL4
76	6	ExcitatoryL4
77	20	Micro
78	3	ExcitatoryL2and3
79	3	ExcitatoryL2and3
80	6	ExcitatoryL4
81	6	ExcitatoryL4
82	6	ExcitatoryL4
83	6	ExcitatoryL4
84	3	ExcitatoryL2and3
85	7	Inhibitory
86	2	Endo
87	9	ExcitatoryL2and3
88	3	ExcitatoryL2and3
89	3	ExcitatoryL2and3
90	3	ExcitatoryL2and3
91	6	ExcitatoryL4
92	6	ExcitatoryL4
93	7	Inhibitory
94	9	ExcitatoryL2and3
95	3	ExcitatoryL2and3
96	3	ExcitatoryL2and3
97	3	ExcitatoryL2and3
98	3	ExcitatoryL2and3
99	10	Astro
100	3	ExcitatoryL2and3
101	3	ExcitatoryL2and3
102	3	ExcitatoryL2and3
103	3	ExcitatoryL2and3
104	25	OPC
105	25	OPC
106	7	Inhibitory
107	13	ExcitatoryL2and3
108	3	ExcitatoryL2and3
109	7	Inhibitory
110	6	ExcitatoryL4
111	3	ExcitatoryL2and3
112	3	ExcitatoryL2and3
113	7	Inhibitory
114	3	ExcitatoryL2and3
115	2	Endo
116	2	Endo
117	10	Astro
118	3	ExcitatoryL2and3
119	18	ExcitatoryL5and6
120	6	ExcitatoryL4
121	9	ExcitatoryL2and3
122	9	ExcitatoryL2and3
123	25	OPC
124	19	Astro
125	2	Endo
126	9	ExcitatoryL2and3
127	13	ExcitatoryL2and3
128	9	ExcitatoryL2and3
129	6	ExcitatoryL4
130	19	Astro
131	9	ExcitatoryL2and3
132	9	ExcitatoryL2and3
133	9	ExcitatoryL2and3
134	13	ExcitatoryL2and3
135	13	ExcitatoryL2and3
136	10	Astro
137	9	ExcitatoryL2and3
138	13	ExcitatoryL2and3
139	9	ExcitatoryL2and3
140	19	Astro
141	13	ExcitatoryL2and3
142	6	ExcitatoryL4
143	6	ExcitatoryL4
144	9	ExcitatoryL2and3
145	25	OPC
146	23	Inhibitory
147	3	ExcitatoryL2and3
148	19	Astro
149	6	ExcitatoryL4
150	7	Inhibitory
151	9	ExcitatoryL2and3
152	9	ExcitatoryL2and3
153	9	ExcitatoryL2and3
154	2	Endo
155	2	Endo
156	6	ExcitatoryL4
157	3	ExcitatoryL2and3
158	9	ExcitatoryL2and3
159	10	Astro
160	3	ExcitatoryL2and3
161	3	ExcitatoryL2and3
162	6	ExcitatoryL4
163	9	ExcitatoryL2and3
164	9	ExcitatoryL2and3
165	9	ExcitatoryL2and3
166	20	Micro
167	2	Endo
168	19	Astro
169	6	ExcitatoryL4
170	10	Astro
171	9	ExcitatoryL2and3
172	3	ExcitatoryL2and3
173	6	ExcitatoryL4
174	3	ExcitatoryL2and3
175	6	ExcitatoryL4
176	7	Inhibitory
177	2	Endo
178	6	ExcitatoryL4
179	9	ExcitatoryL2and3
180	9	ExcitatoryL2and3
181	19	Astro
182	9	ExcitatoryL2and3
183	6	ExcitatoryL4
184	6	ExcitatoryL4
185	9	ExcitatoryL2and3
186	6	ExcitatoryL4
187	3	ExcitatoryL2and3
188	6	ExcitatoryL4
189	19	Astro
190	9	ExcitatoryL2and3
191	3	ExcitatoryL2and3
192	10	Astro
193	19	Astro
194	6	ExcitatoryL4
195	19	Astro
196	6	ExcitatoryL4
197	2	Endo
198	7	Inhibitory
199	6	ExcitatoryL4
200	13	ExcitatoryL2and3
201	10	Astro
202	9	ExcitatoryL2and3
203	2	Endo
204	9	ExcitatoryL2and3
205	2	Endo
206	9	ExcitatoryL2and3
207	13	ExcitatoryL2and3
208	3	ExcitatoryL2and3
209	6	ExcitatoryL4
210	9	ExcitatoryL2and3
211	19	Astro
212	2	Endo
213	6	ExcitatoryL4
214	20	Micro
215	6	ExcitatoryL4
216	13	ExcitatoryL2and3
217	6	ExcitatoryL4
218	13	ExcitatoryL2and3
219	7	Inhibitory
220	2	Endo
221	6	ExcitatoryL4
222	6	ExcitatoryL4
223	13	ExcitatoryL2and3
224	13	ExcitatoryL2and3
225	6	ExcitatoryL4
226	2	Endo
227	9	ExcitatoryL2and3
228	13	ExcitatoryL2and3
229	9	ExcitatoryL2and3
230	18	ExcitatoryL5and6
231	12	Neuroblast
232	5	ExcitatoryL5and6
233	6	ExcitatoryL4
234	9	ExcitatoryL2and3
235	18	ExcitatoryL5and6
236	13	ExcitatoryL2and3
237	11	ExcitatoryL5and6
238	19	Astro
239	2	Endo
240	19	Astro
241	18	ExcitatoryL5and6
242	5	ExcitatoryL5and6
243	8	NSC
244	10	Astro
245	7	Inhibitory
246	19	Astro
247	5	ExcitatoryL5and6
