,predicted.id,prediction.score.Inhibitory,prediction.score.Endo,prediction.score.VLMC,prediction.score.ExcitatoryL5and6,prediction.score.ExcitatoryL2and3,prediction.score.Peri,prediction.score.ExcitatoryL4,prediction.score.Olig,prediction.score.Astro,prediction.score.Micro,prediction.score.Smc,prediction.score.max
1,Inhibitory,0.493004935216902,0.0318997991131617,0,0.274890100939984,0,0,0.00849847586907893,0.158892272377098,0.0328144164837755,0,0,0.493004935216902
2,Endo,0.181366740575205,0.555497911044167,0,0.074538151311425,0,0,0.0141139240596497,0.00892935525490374,0.159519762405328,0.00603415534932054,0,0.555497911044167
3,Astro,0.029724072903841,0.0470437068710027,0,0.00157935480502665,0.00371925508262781,0,0,0.139246699571805,0.772468453475051,0.00621845729064651,0,0.772468453475051
4,Inhibitory,0.449961451466277,0.100534453783945,0,0.0844259455821922,0.0647626178807783,0,0.0112386194399782,0,0.220031987573472,0.0690449242733569,0,0.449961451466277
5,Inhibitory,0.50804447434371,0.00705788310899659,0,0.232859248446526,0.0539809213200805,0,0.0519054705993058,0.146152002181381,0,0,0,0.50804447434371
6,Inhibitory,0.565037765152985,0,0,0.103038914312017,0.0611023962692696,0,0.100090531018492,0.112673590692222,0.0560073028381271,0.00204949971688836,0,0.565037765152985
7,Inhibitory,0.424166326743418,0.0844243712565552,0,0.098671572344172,0.101684352289045,0,0.00795183098131057,0.242029875075234,0.0410716713102665,0,0,0.424166326743418
8,Inhibitory,0.782263963989571,0.0727874633148797,0,0.0210834629728481,0.118707002613298,0,0.000400783861855509,0,0,0.00475732324754694,0,0.782263963989571
9,ExcitatoryL2and3,0.0910819407534831,0,0,0.124085449541981,0.74837710970805,0,0.00468715337347996,0.0180019083010213,0.00786017467635404,0.0059062636456305,0,0.74837710970805
10,ExcitatoryL2and3,0.176571777313357,0,0,0.0926395670063554,0.717893332344441,0,0.00290958960841708,0.00998573372742947,0,0,0,0.717893332344441
11,ExcitatoryL2and3,0.0634396963966314,0,0,0.0564810559970607,0.785157901787942,0,0.0100163167636382,0.0849050290547279,0,0,0,0.785157901787942
12,ExcitatoryL2and3,0.0378515632989971,0,0,0.100109828256752,0.782812161824808,0,0.00789915257558897,0.0713272940438545,0,0,0,0.782812161824808
13,ExcitatoryL2and3,0.0234806162946469,0,0,0.08271236969619,0.882130263721886,0,0.0116767502872767,0,0,0,0,0.882130263721886
14,ExcitatoryL2and3,0.16054205864574,0,0,0.109990435348817,0.680327855249969,0,0.0170556532326032,0.0320839975228706,0,0,0,0.680327855249969
15,Inhibitory,0.576273188436584,0,0,0.0428867822888942,0.262434431050186,0,0.00482029366608037,0.0931376394522196,0.0162003043562549,0.00424736074978052,0,0.576273188436584
16,ExcitatoryL2and3,0.00591635851644052,0,0,0.0760800728937934,0.847223363198364,0,0.000456730958314606,0.0703234744330873,0,0,0,0.847223363198364
17,ExcitatoryL4,0.193432478185717,0.0310813363067385,0,0.280975526097395,0.0084900856565416,0,0.380427789310859,0,0.0960966265134666,0.00949615792928262,0,0.380427789310859
18,Inhibitory,0.483140801007719,0,0,0.0310872259982768,0.0946324127691922,0,0.305194255252164,0.0615473932817221,0.0243979116909261,0,0,0.483140801007719
