,Inhibitory,Endo,Peri,ExcitatoryL5and6,ExcitatoryL2and3,CR,ExcitatoryL4,Olig,Astro,Micro,VLMC,Smc
0,0.46352023,0.011686305,0.0038707855,0.33305174,0.05300849,7.359063e-08,0.06963066,0.0014699362,0.02094166,0.001607763,0.00031204592,0.00054958026
1,1.4839077,0.048040796,0.012495692,0.7981065,0.17778367,7.951197e-06,0.19954552,0.014130379,0.08628272,0.010294937,0.00862449,0.007243163
2,1.9839215,0.030851938,0.008487218,0.91052234,0.22032356,1.2537623e-08,0.45100608,0.011617933,0.13192187,0.01030478,0.007417474,0.0057489537
3,1.5757842,0.016098734,0.006864607,0.7828806,0.15296412,2.8721255e-08,0.18609506,0.008041774,0.09542247,0.014418497,0.0045557376,0.0042920127
4,0.8463318,0.033239692,0.01491671,0.57411236,0.21220908,2.8555134e-05,0.2460948,0.015392467,0.041591726,0.016277548,0.009493962,0.0039530513
5,4.4260807,0.06917323,0.016316293,2.054998,0.57396877,6.177679e-09,0.96256787,0.03384901,0.16536473,0.03442411,0.02211627,0.012965377
6,4.656275,0.08693616,0.026287204,2.5008163,0.8158039,2.1132388e-05,1.0406983,0.04825942,0.17422867,0.038363997,0.027625391,0.013202082
7,4.6800566,0.08929551,0.028242432,2.6199932,1.0447205,0.00094010984,0.72802734,0.03770123,0.20267922,0.04775351,0.029942114,0.014814908
8,5.6363564,0.11253462,0.049115088,3.732719,1.3012267,1.6249103e-05,1.1028664,0.06756611,0.2471175,0.07290956,0.0452893,0.020995675
9,3.487486,0.088714324,0.023474483,2.2732508,0.83275354,8.11941e-05,0.7621113,0.046991736,0.18277773,0.04654112,0.0362592,0.01546511
10,5.641753,0.11644317,0.040586278,3.452945,1.3717718,5.5782206e-05,1.3425505,0.052060783,0.2562603,0.07083436,0.045357022,0.02272351
11,5.895285,0.093540475,0.03284741,3.2535388,1.1030693,5.0880008e-06,1.3448316,0.041231353,0.19957939,0.04847746,0.029467203,0.019515535
12,3.4143872,0.11302443,0.049619254,2.4195538,1.0891541,0.00021926209,0.9530357,0.07221335,0.21889892,0.064051636,0.04961276,0.02852587
13,4.739227,0.1315338,0.04299525,3.2967594,1.2239087,0.00012016751,1.1712976,0.07263008,0.24873915,0.08045158,0.052724373,0.025727578
