	Astro	Endo	Ependymal	ExcitatoryL2and3	ExcitatoryL4	ExcitatoryL5and6	Inhibitory	Micro	NSC	Neuroblast	Neuroblasts	Non-known	OPC	Olig
0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
3	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	1.0	3.0	0.0	1.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
6	1.0	0.0	0.0	2.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
7	1.0	0.0	0.0	7.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	8.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
9	0.0	0.0	0.0	5.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	0.0	0.0	0.0	9.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
11	2.0	1.0	0.0	5.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
12	0.0	0.0	0.0	3.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
13	0.0	0.0	0.0	8.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	1.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
16	3.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	2.0	2.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
18	1.0	2.0	0.0	6.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
