	Cluster	celltype
0	0	ExcitatoryL4
1	1	ExcitatoryL2and3
2	2	ExcitatoryL6
3	0	ExcitatoryL4
4	0	ExcitatoryL4
5	1	ExcitatoryL2and3
6	3	ExcitatoryL6
7	2	ExcitatoryL6
8	4	ExcitatoryL5
9	2	ExcitatoryL6
10	10	Olig
11	11	Endo
12	1	ExcitatoryL2and3
13	4	ExcitatoryL5
14	2	ExcitatoryL6
15	12	Micro
16	0	ExcitatoryL4
17	1	ExcitatoryL2and3
18	1	ExcitatoryL2and3
19	1	ExcitatoryL2and3
20	1	ExcitatoryL2and3
21	2	ExcitatoryL6
22	11	Endo
23	10	Olig
24	11	Endo
25	13	Astro
26	2	ExcitatoryL6
27	0	ExcitatoryL4
28	0	ExcitatoryL4
29	2	ExcitatoryL6
30	0	ExcitatoryL4
31	13	Astro
32	1	ExcitatoryL2and3
33	11	Endo
34	1	ExcitatoryL2and3
35	4	ExcitatoryL5
36	1	ExcitatoryL2and3
37	14	Other
38	11	Endo
39	0	ExcitatoryL4
40	13	Astro
41	4	ExcitatoryL5
42	4	ExcitatoryL5
43	10	Olig
44	2	ExcitatoryL6
45	4	ExcitatoryL5
46	4	ExcitatoryL5
47	10	Olig
48	10	Olig
49	1	ExcitatoryL2and3
50	11	Endo
51	3	ExcitatoryL6
52	0	ExcitatoryL4
53	12	Micro
54	1	ExcitatoryL2and3
55	11	Endo
56	1	ExcitatoryL2and3
57	2	ExcitatoryL6
58	11	Endo
59	1	ExcitatoryL2and3
60	13	Astro
61	10	Olig
62	2	ExcitatoryL6
63	0	ExcitatoryL4
64	10	Olig
65	0	ExcitatoryL4
66	2	ExcitatoryL6
67	11	Endo
68	4	ExcitatoryL5
69	0	ExcitatoryL4
70	1	ExcitatoryL2and3
71	2	ExcitatoryL6
72	11	Endo
73	1	ExcitatoryL2and3
74	12	Micro
75	10	Olig
76	10	Olig
77	4	ExcitatoryL5
78	10	Olig
79	5	HPC
80	1	ExcitatoryL2and3
81	10	Olig
82	6	Vip
83	2	ExcitatoryL6
84	10	Olig
85	0	ExcitatoryL4
86	0	ExcitatoryL4
87	2	ExcitatoryL6
88	0	ExcitatoryL4
89	2	ExcitatoryL6
90	11	Endo
91	2	ExcitatoryL6
92	0	ExcitatoryL4
93	2	ExcitatoryL6
94	3	ExcitatoryL6
95	1	ExcitatoryL2and3
96	13	Astro
97	1	ExcitatoryL2and3
98	0	ExcitatoryL4
99	0	ExcitatoryL4
100	10	Olig
101	3	ExcitatoryL6
102	0	ExcitatoryL4
103	5	HPC
104	11	Endo
105	2	ExcitatoryL6
106	7	Pvalb
107	1	ExcitatoryL2and3
108	10	Olig
109	0	ExcitatoryL4
110	0	ExcitatoryL4
111	6	Vip
112	3	ExcitatoryL6
113	2	ExcitatoryL6
114	10	Olig
115	8	Sst
116	8	Sst
117	4	ExcitatoryL5
118	0	ExcitatoryL4
119	0	ExcitatoryL4
120	4	ExcitatoryL5
121	0	ExcitatoryL4
122	13	Astro
123	8	Sst
124	10	Olig
125	3	ExcitatoryL6
126	13	Astro
127	11	Endo
128	2	ExcitatoryL6
129	10	Olig
130	2	ExcitatoryL6
131	2	ExcitatoryL6
132	0	ExcitatoryL4
133	10	Olig
134	4	ExcitatoryL5
135	3	ExcitatoryL6
136	8	Sst
137	0	ExcitatoryL4
138	1	ExcitatoryL2and3
139	10	Olig
140	11	Endo
141	1	ExcitatoryL2and3
142	10	Olig
143	13	Astro
144	2	ExcitatoryL6
145	1	ExcitatoryL2and3
146	1	ExcitatoryL2and3
147	2	ExcitatoryL6
148	1	ExcitatoryL2and3
149	4	ExcitatoryL5
150	11	Endo
151	10	Olig
152	2	ExcitatoryL6
153	10	Olig
154	4	ExcitatoryL5
155	10	Olig
156	14	Other
157	11	Endo
158	11	Endo
159	8	Sst
160	2	ExcitatoryL6
161	14	Other
162	8	Sst
163	1	ExcitatoryL2and3
164	11	Endo
165	1	ExcitatoryL2and3
166	11	Endo
167	11	Endo
168	11	Endo
169	4	ExcitatoryL5
170	14	Other
171	10	Olig
172	2	ExcitatoryL6
173	13	Astro
174	2	ExcitatoryL6
175	0	ExcitatoryL4
176	1	ExcitatoryL2and3
177	0	ExcitatoryL4
178	14	Other
179	11	Endo
180	2	ExcitatoryL6
181	11	Endo
182	11	Endo
183	0	ExcitatoryL4
184	2	ExcitatoryL6
185	0	ExcitatoryL4
186	8	Sst
187	8	Sst
188	13	Astro
189	13	Astro
190	2	ExcitatoryL6
191	2	ExcitatoryL6
192	13	Astro
193	11	Endo
194	10	Olig
195	2	ExcitatoryL6
196	4	ExcitatoryL5
197	7	Pvalb
198	11	Endo
199	11	Endo
200	14	Other
201	1	ExcitatoryL2and3
202	2	ExcitatoryL6
203	11	Endo
204	13	Astro
205	11	Endo
206	1	ExcitatoryL2and3
207	11	Endo
208	1	ExcitatoryL2and3
209	2	ExcitatoryL6
210	11	Endo
211	0	ExcitatoryL4
212	2	ExcitatoryL6
213	1	ExcitatoryL2and3
214	1	ExcitatoryL2and3
215	2	ExcitatoryL6
216	11	Endo
217	4	ExcitatoryL5
218	2	ExcitatoryL6
219	0	ExcitatoryL4
220	13	Astro
221	2	ExcitatoryL6
