"","predicted.id","prediction.score.Vip","prediction.score.Lamp5","prediction.score.Sst","prediction.score.Sncg","prediction.score.Serpinf1","prediction.score.Pvalb","prediction.score.Endo","prediction.score.Peri","prediction.score.L6CT","prediction.score.L6b","prediction.score.L6IT","prediction.score.L2and3IT","prediction.score.CR","prediction.score.L5PT","prediction.score.NP","prediction.score.L4","prediction.score.L5IT","prediction.score.Oligo","prediction.score.Meis2","prediction.score.Astro","prediction.score.Macrophage","prediction.score.VLMC","prediction.score.SMC","prediction.score.max"
"1","L4",0.12498354456412,0,0.224837948055957,0,0,0.164289175102764,0.00323654212720931,0,0,0,0.00869995977628025,0.0332485595059579,0,0.186608189679234,0,0.227878217809145,0.0126256195830627,0.0135922437962695,0,0,0,0,0,0.227878217809145
"2","Astro",0.000253888792549024,0,0.00733958999981891,0,0,0.00571350964062187,0,0.0127979739257699,9.52117877096614e-05,0,0.000520219150707717,0,0,0.0109217814188969,0.0745783002308771,0.0287577209291392,0,0.022880352572454,0,0.836141451551456,0,0,0,0.836141451551456
"3","Oligo",0,0.00926126529425543,0.00841041686652073,0,0,0.00352455986868572,0,0.0137670502244654,0,0,0.000940337686663308,0,0,0.065356416382286,0.0196945335141054,0,0,0.864709687988915,0,0,0,0.0107428768527278,0.00359285532137526,0.864709687988915
"4","Astro",0.0374202856947341,0.105237320011605,0.00930693456987321,0,0,0.0307037681429614,0,0.00905140503486951,0,0,0.00234506567516648,0,0,0.0279199451231851,0.0502201313499665,0.0278559750963591,0,0.0412657879806779,0,0.658673381320601,0,0,0,0.658673381320601
"5","L6b",0.000177259694277529,0.00292636313249826,0.000814942645886294,0,0,0.000827057599035384,0,0,0.0184788780722514,0.863112332175281,0.0476613958418758,0,0,0.00761107606685156,0.000370500801959973,0.0477432565039767,0,0,0.010276937466106,0,0,0,0,0.863112332175281
"6","L6CT",5.66690525359898e-05,0.00541190528239871,0.005919299358956,0,0,0,0,0,0.732123984632268,0.169847819082298,0.0376173512007009,0.00296853176678835,0,0,0,0,0,0,0.00236013821397395,0.0436943014100797,0,0,0,0.732123984632268
"7","L6IT",0,0,0.0103572552991884,0,0,0.0173498478889383,0,0.00293477188096726,0,0.0275765542004165,0.835508647144685,0.00661496040278093,0,0,0.050507619279784,0,0.00280890912709527,0.0453598807623128,0.000981554013831176,0,0,0,0,0.835508647144685
"8","Vip",0.399065163822162,0,0.0269256657695273,0,0,0.0123721933045995,0,0.0239393072512128,0.121714604775086,0.00447644846317658,0.10870693684225,0,0,0,0.26020758983383,0.0272228577598935,0.00103054184589428,0,0,0,0,0.0107517270318218,0.00358696330054609,0.399065163822162
"9","L5IT",0.00869941132547277,0,0.237701083840899,0,0,0.28245360901558,0,0,0,0,0.0019269132337848,0.0404862870252731,0,0,0.00623720654846988,0,0.328691674381594,0,0.0938038146289265,0,0,0,0,0.328691674381594
"10","NP",0.0103965748431417,0,0.0110975231061674,0,0,0.00226633544794637,0,0.0231132408637978,0,0,0.00373499253691568,0,0,0.00877439079858507,0.78078499916591,0,0.000131409743158621,0,0,0.146677760017266,0,0.00976263399991519,0.00326013947719604,0.78078499916591
"11","L5IT",0,0,0.000888969047630728,0,0,0.000410318225109485,0.0189062662153734,0.00026461031856103,0,0,0,0,0,0,0.0566013176892134,0.0119194462803214,0.798653827762831,0,0,0.112355244460959,0,0,0,0.798653827762831
