,Vip,Lamp5,Sst,Sncg,Serpinf1,Pvalb,Endo,Peri,L6CT,L6b,L6IT,L2and3IT,CR,L5PT,NP,L4,L5IT,Oligo,Meis2,Astro,Macrophage,VLMC,SMC
0,0.36467886,0.5033255,0.7645396,0.07029625,4.265897e-06,0.40905333,0.0027093748,6.9516614e-07,0.17596658,0.27412203,0.42182577,0.34527907,0.003613456,0.40237236,1.7648346e-05,0.5959952,0.26169094,0.0020314388,0.075853266,0.20520823,0.013537883,0.008546146,0.01026312
1,2.22389,1.192128,2.9150813,0.08052185,5.784211e-07,1.5517398,0.05484783,6.409067e-06,0.1777462,0.5904123,1.6954076,0.48847288,0.061334092,0.5289097,0.7159505,1.8662386,0.99610835,0.13287617,0.041868165,0.5581259,0.029404067,0.048351876,0.074721314
2,0.46191502,1.0476612,1.2791908,0.07372479,4.128897e-06,0.90919626,0.022827351,6.1925994e-06,0.14187452,0.10253828,0.9908712,0.4860207,0.016339289,0.37384146,0.12420824,0.65047264,0.31957525,0.22439653,0.07955546,0.16022435,0.028998766,0.049799345,0.050908808
3,1.8962045,0.85669684,1.5134778,0.0011074459,2.606268e-07,1.860696,0.07109812,0.038435634,0.92439646,0.3640459,1.3084174,1.2323513,0.0038605912,0.22911832,0.22454539,1.2682292,0.6811441,0.14756128,0.060508672,0.4039752,0.003957507,0.10571663,0.063517146
4,1.5609143,0.8568736,2.3687122,0.081816025,3.443355e-06,0.5407239,0.10913348,1.4333034e-06,0.92861825,1.3992213,1.6686459,0.9510685,0.09075734,0.28588608,0.49319053,0.90508366,0.9617021,0.0953518,0.05189689,0.27909452,0.008731805,0.06941961,0.04638177
5,0.90207595,0.5359442,0.87593555,0.011981753,3.4046656e-07,0.44856796,0.009711982,3.318046e-07,1.8287282,0.3608909,2.2222228,0.5033407,0.008623283,0.58724475,0.32510746,0.6974846,0.16908714,0.045833193,2.3097498e-06,0.24333003,0.05989686,0.04104538,0.06541029
6,0.8855473,0.7415513,1.0681751,0.10229127,3.2301136e-06,0.68429524,0.030605845,2.7539488e-07,0.9601187,0.3155924,2.8531199,0.4834077,0.0059415884,0.2524858,0.18020688,0.58534026,0.5172621,0.02912415,0.0129598,0.16724998,0.021142665,0.038056865,0.023395672
7,1.4103701,0.7123127,1.012594,0.004652234,1.7113553e-06,0.602396,0.06629118,1.502581e-07,0.55882615,0.3827055,2.0400333,0.13465601,0.0036984337,0.59339267,0.6193669,0.71103716,0.5129118,0.060559064,0.03626097,0.16328,0.03842111,0.072436176,0.025865002
8,0.4707554,0.44721818,0.48004296,0.0037603267,4.297476e-07,0.721609,0.0014431662,1.6486278e-07,0.33294767,0.09213353,0.6110243,0.35234845,0.013473676,0.13420606,0.2350623,0.2146695,0.6112703,0.03870243,0.019812038,0.14375463,0.00091455533,0.042218823,0.029448226
9,0.7954007,0.6081007,0.72848165,0.028874211,3.4399056e-07,0.69645166,0.0029067544,0.04816849,0.3948839,0.3722165,0.99742943,0.20174618,1.8323717e-06,0.97680485,0.46010196,0.64970535,0.40027902,0.047066867,3.6327403e-06,0.22881243,0.031093394,0.05254315,0.011683215
10,1.257056,0.8082144,0.9700705,0.019550782,2.6892e-07,0.7180418,0.021093735,3.084806e-07,0.45687443,0.18621504,1.2932146,0.2958142,0.00646545,0.16105692,0.6774422,0.90721923,1.2878039,0.00523023,0.034575555,0.15876718,0.014120456,0.04278745,0.036712658
11,1.1899195,0.6878289,1.5251658,0.0013800683,4.4437334e-07,0.59196925,0.07704119,0.05174481,0.3424707,0.19231196,1.4803661,0.6585502,0.0025222702,0.32206297,0.15758942,1.7698438,1.2269568,0.044340003,0.121990845,0.2053723,0.074716486,0.07037791,0.057443336
12,1.4751964,0.9442809,0.7665242,0.057694707,3.3070442e-06,0.7524177,1.7716245e-06,4.7747517e-07,0.2386823,0.15224004,1.355904,0.6369904,0.005342385,0.50268334,0.35641614,2.63797,0.64559704,0.031327687,0.03919641,0.16732723,0.012117434,0.0558277,0.049763665
13,0.9305135,0.4703209,1.0604752,0.057492264,1.2259105e-07,0.5556648,0.008601159,2.113356e-05,0.35860366,0.10863066,1.2907262,0.75739425,0.009542439,0.0938471,0.099775724,1.2180891,0.5919888,0.018358607,0.021242376,0.11396928,0.035890695,0.032284256,0.01732903
14,0.80690455,0.6754967,2.0422895,0.031780522,1.772154e-07,0.60304886,0.11057423,0.0021748457,0.21359375,0.5526394,1.5507114,1.8620999,0.0075932746,0.2096358,0.1279945,1.0609359,0.41033015,0.048683014,0.11631441,0.14525868,0.07809584,0.101227395,0.06317077
15,0.9953031,0.5980622,1.1562418,0.022057738,5.5428313e-07,0.6528059,0.07729022,0.026506627,0.4353844,0.07689843,1.5140584,1.8314316,0.0336362,0.14316995,0.15858734,0.6777389,0.3547339,0.026656223,0.028804088,0.2204668,0.02566428,0.031802673,0.06528583
16,0.5340331,0.78369105,0.81134975,0.038545735,6.500185e-07,0.48452947,0.032231834,2.0573171e-07,0.3262028,0.27425256,1.8699716,1.0202416,0.003659028,0.40249416,0.29115462,0.53284174,0.22698355,0.031358328,0.07803729,0.24090417,0.014960604,0.05622581,0.048272427
